Species,AgeGroup,Rehab,Season,State,Flyway,WW Lead (µg/dL),Below LOD,Above or Below 40 µg/dL
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,7.85,FALSE,0
Bald Eagle,Adult,FALSE,Spring,Maine,Atlantic,3.81,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,18.32,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,14.64,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,16.13,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,17.22,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,5.58,FALSE,0
Bald Eagle,Adult,FALSE,Fall,Maine,Atlantic,7.76,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,10.18,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,11.01,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,7.49,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,6.46,FALSE,0
Bald Eagle,Adult,FALSE,Summer,Maine,Atlantic,9.63,FALSE,0
Bald Eagle,Adult,TRUE,Summer,Maryland,Atlantic,45.97,FALSE,1
Bald Eagle,Adult,FALSE,Winter,Maryland,Atlantic,50.40,FALSE,1
Bald Eagle,Juvenile,TRUE,Fall,Maryland,Atlantic,35.59,FALSE,0
Bald Eagle,Subadult,FALSE,Spring,New Jersey,Atlantic,3.53,FALSE,0
Bald Eagle,Adult,FALSE,Spring,New Jersey,Atlantic,28.99,FALSE,0
Bald Eagle,Adult,TRUE,Fall,Virginia,Atlantic,6.67,FALSE,0
Bald Eagle,Adult,TRUE,Winter,Virginia,Atlantic,8.93,FALSE,0
Bald Eagle,Adult,TRUE,Winter,Virginia,Atlantic,280.80,FALSE,1
Bald Eagle,Adult,TRUE,Spring,Virginia,Atlantic,11.15,FALSE,0
Bald Eagle,Adult,TRUE,Winter,Virginia,Atlantic,376.60,FALSE,1
