Species,AgeGroup,Rehab,State,Flyway,DW Lead (µg/g),Below LOD,Above or Below 10 µg/g
Bald Eagle,Adult,FALSE,Arizona,Pacific,18.70,FALSE,1
Bald Eagle,Adult,FALSE,Arizona,Pacific,38.72,FALSE,1
Bald Eagle,Adult,FALSE,Arizona,Pacific,16.46,FALSE,1
Bald Eagle,Adult,FALSE,Arizona,Pacific,24.51,FALSE,1
Bald Eagle,Adult,TRUE,Arkansas,Mississippi,19.18,FALSE,1
Bald Eagle,Subadult,FALSE,California,Pacific,0.20,FALSE,0
Bald Eagle,Subadult,FALSE,California,Pacific,1.98,FALSE,0
Bald Eagle,Juvenile,FALSE,Colorado,Central,0.97,FALSE,0
Bald Eagle,Subadult,FALSE,Florida,Atlantic,5.54,FALSE,0
Bald Eagle,Juvenile,TRUE,Florida,Atlantic,1.16,FALSE,0
Bald Eagle,Adult,TRUE,Florida,Atlantic,20.79,FALSE,1
Bald Eagle,Subadult,FALSE,Florida,Atlantic,0.30,FALSE,0
Bald Eagle,Subadult,TRUE,Florida,Atlantic,2.02,FALSE,0
Bald Eagle,Juvenile,TRUE,Florida,Atlantic,0.69,FALSE,0
Bald Eagle,Subadult,FALSE,Florida,Atlantic,3.74,FALSE,0
Bald Eagle,Juvenile,FALSE,Florida,Atlantic,1.12,FALSE,0
Bald Eagle,Adult,FALSE,Florida,Atlantic,3.48,FALSE,0
Bald Eagle,Adult,FALSE,Florida,Atlantic,10.50,FALSE,1
Bald Eagle,Adult,TRUE,Florida,Atlantic,2.53,FALSE,0
Bald Eagle,Adult,TRUE,Florida,Atlantic,6.13,FALSE,0
Bald Eagle,Juvenile,FALSE,Florida,Atlantic,0.88,FALSE,0
Bald Eagle,Juvenile,TRUE,Florida,Atlantic,4.49,FALSE,0
Bald Eagle,Adult,TRUE,Florida,Atlantic,11.61,FALSE,1
Bald Eagle,Subadult,TRUE,Florida,Atlantic,15.44,FALSE,1
Bald Eagle,Adult,TRUE,Florida,Atlantic,8.75,FALSE,0
Bald Eagle,Adult,TRUE,Florida,Atlantic,103.94,FALSE,1
Bald Eagle,Adult,FALSE,Georgia,Atlantic,1.17,FALSE,0
Bald Eagle,Juvenile,FALSE,Idaho,Pacific,1.68,FALSE,0
Bald Eagle,Adult,FALSE,Idaho,Pacific,85.42,FALSE,1
Bald Eagle,Juvenile,FALSE,Idaho,Pacific,0.50,TRUE,0
Bald Eagle,Adult,FALSE,Idaho,Pacific,35.79,FALSE,1
Bald Eagle,Adult,FALSE,Idaho,Pacific,13.67,FALSE,1
Bald Eagle,Subadult,FALSE,Idaho,Pacific,3.67,FALSE,0
Bald Eagle,Adult,FALSE,Idaho,Pacific,5.12,FALSE,0
Bald Eagle,Adult,FALSE,Idaho,Pacific,7.97,FALSE,0
Bald Eagle,Subadult,FALSE,Idaho,Pacific,4.11,FALSE,0
Bald Eagle,Subadult,FALSE,Idaho,Pacific,88.86,FALSE,1
Bald Eagle,Adult,FALSE,Iowa ,Mississippi,6.95,FALSE,0
Bald Eagle,Adult,FALSE,Kansas,Mississippi,3.12,FALSE,0
Bald Eagle,Adult,FALSE,Kansas,Mississippi,3.91,FALSE,0
Bald Eagle,Adult,FALSE,Kansas,Mississippi,1.40,FALSE,0
Bald Eagle,Adult,FALSE,Kansas,Mississippi,26.01,FALSE,1
Bald Eagle,Adult,FALSE,Kansas,Mississippi,3.72,FALSE,0
Bald Eagle,Adult,FALSE,Kentucky,Atlantic,11.97,FALSE,1
Bald Eagle,Adult,TRUE,Kentucky,Atlantic,4.65,FALSE,0
Bald Eagle,Adult,TRUE,Kentucky,Atlantic,2.31,FALSE,0
Bald Eagle,Juvenile,FALSE,Kentucky,Atlantic,0.26,FALSE,0
Bald Eagle,Adult,TRUE,Kentucky,Atlantic,2.90,FALSE,0
Bald Eagle,Juvenile,FALSE,Kentucky,Atlantic,10.27,FALSE,1
Bald Eagle,Adult,TRUE,Kentucky,Atlantic,9.42,FALSE,0
Bald Eagle,Adult,FALSE,Kentucky,Atlantic,2.33,FALSE,0
Bald Eagle,Adult,FALSE,Kentucky,Atlantic,0.92,FALSE,0
Bald Eagle,Adult,TRUE,Kentucky,Atlantic,5.30,FALSE,0
Bald Eagle,Adult,FALSE,Kentucky,Atlantic,2.01,FALSE,0
Bald Eagle,Adult,FALSE,Kentucky,Atlantic,3.96,FALSE,0
Bald Eagle,Adult,TRUE,Kentucky,Atlantic,2.30,FALSE,0
Bald Eagle,Juvenile,TRUE,Kentucky,Atlantic,0.15,FALSE,0
Bald Eagle,Adult,FALSE,Kentucky,Atlantic,0.74,FALSE,0
Bald Eagle,Adult,TRUE,Kentucky,Atlantic,0.50,TRUE,0
Bald Eagle,Adult,FALSE,Maryland,Atlantic,3.38,FALSE,0
Bald Eagle,Subadult,FALSE,Massachusetts,Atlantic,3.57,FALSE,0
Bald Eagle,Adult,FALSE,Minnesota,Mississippi,23.32,FALSE,1
Bald Eagle,Adult,FALSE,Minnesota,Mississippi,2.50,FALSE,0
Bald Eagle,Adult,FALSE,Minnesota,Mississippi,11.43,FALSE,1
Bald Eagle,Adult,FALSE,Minnesota,Mississippi,16.49,FALSE,1
Bald Eagle,Juvenile,FALSE,Montana,Central,2.53,FALSE,0
Bald Eagle,Subadult,FALSE,Montana,Central,44.90,FALSE,1
Bald Eagle,Adult,FALSE,Montana,Pacific,2.11,FALSE,0
Bald Eagle,Adult,FALSE,Montana,Pacific,5.20,FALSE,0
Bald Eagle,Adult,FALSE,Montana,Pacific,9.46,FALSE,0
Bald Eagle,Adult,FALSE,Montana,Pacific,11.55,FALSE,1
Bald Eagle,Juvenile,FALSE,Montana,Pacific,14.57,FALSE,1
Bald Eagle,Adult,FALSE,Montana,Pacific,15.27,FALSE,1
Bald Eagle,Adult,FALSE,Montana,Pacific,17.35,FALSE,1
Bald Eagle,Adult,FALSE,Montana,Pacific,17.52,FALSE,1
Bald Eagle,Adult,FALSE,Montana,Pacific,19.47,FALSE,1
Bald Eagle,Juvenile,FALSE,Montana,Pacific,0.23,FALSE,0
Bald Eagle,Adult,FALSE,Montana,Pacific,31.88,FALSE,1
Bald Eagle,Subadult,FALSE,Montana,Pacific,2.27,FALSE,0
Bald Eagle,Subadult,FALSE,Montana,Pacific,2.85,FALSE,0
Bald Eagle,Subadult,FALSE,Montana,Pacific,0.36,FALSE,0
Bald Eagle,Subadult,FALSE,Montana,Central,1.13,FALSE,0
Bald Eagle,Adult,FALSE,Montana,Central,9.40,FALSE,0
Bald Eagle,Adult,FALSE,Montana,Central,18.53,FALSE,1
Bald Eagle,Adult,FALSE,Montana,Central,13.07,FALSE,1
Bald Eagle,Juvenile,FALSE,Montana,Central,13.53,FALSE,1
Bald Eagle,Subadult,FALSE,Montana,Pacific,2.61,FALSE,0
Bald Eagle,Subadult,FALSE,Montana,Pacific,5.95,FALSE,0
Bald Eagle,Subadult,FALSE,Nebraska,Central,3.12,FALSE,0
Bald Eagle,Adult,FALSE,Nebraska,Central,39.22,FALSE,1
Bald Eagle,Adult,FALSE,Nebraska,Central,14.53,FALSE,1
Bald Eagle,Adult,FALSE,Nebraska,Central,43.46,FALSE,1
