Species,AgeGroup,Rehab,Season,State,Flyway,DW Lead (µg/g),Below LOD,Above or Below 20 µg/g,Age for DemModels
Bald Eagle,Adult,TRUE,Spring,Florida,Atlantic,1.66,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Winter,Idaho,Pacific,1.96,FALSE,0,A3Y
Bald Eagle,Subadult,FALSE,Winter,Idaho,Pacific,0.23,FALSE,0,2
Bald Eagle,Juvenile,TRUE,Summer,Virginia,Atlantic,6.00,FALSE,0,1
Bald Eagle,Adult,TRUE,Spring,Virginia,Atlantic,8.58,FALSE,0,A3Y
Bald Eagle,Juvenile,TRUE,Spring,Virginia,Atlantic,0.17,FALSE,0,1
Bald Eagle,Juvenile,TRUE,Summer,Virginia,Atlantic,2.65,TRUE,0,1
Bald Eagle,Juvenile,TRUE,Winter,Virginia,Atlantic,0.53,FALSE,0,1
Bald Eagle,Subadult,TRUE,Spring,Virginia,Atlantic,0.10,TRUE,0,A3Y
Bald Eagle,Subadult,TRUE,Spring,Virginia,Atlantic,5.61,FALSE,0,A3Y
Bald Eagle,Adult,TRUE,Spring,Virginia,Atlantic,1.08,FALSE,0,A3Y
Bald Eagle,Adult,TRUE,Spring,Virginia,Atlantic,4.61,FALSE,0,A3Y
Bald Eagle,Adult,TRUE,Spring,Virginia,Atlantic,0.16,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Winter,Iowa ,Mississippi,174.88,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Winter,South Dakota,Central,110.50,FALSE,1,A3Y
Bald Eagle,Juvenile,FALSE,Summer,South Dakota,Central,0.10,TRUE,0,1
Bald Eagle,Juvenile,FALSE,Summer,Idaho,Pacific,0.33,FALSE,0,1
Bald Eagle,Adult,FALSE,Summer,Idaho,Pacific,0.29,FALSE,0,A3Y
Bald Eagle,Adult,TRUE,Fall,Pennsylvania,Central,1.71,FALSE,0,A3Y
Bald Eagle,Subadult,TRUE,Fall,West Virginia,Atlantic,102.00,FALSE,1,A3Y
Bald Eagle,Adult,TRUE,Fall,Florida,Atlantic,0.28,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Winter,Pennsylvania,Central,0.12,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Winter,Missouri,Mississippi,281.59,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Winter,Washington,Pacific,0.10,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Winter,Washington,Pacific,0.07,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Winter,Kansas,Mississippi,114.47,FALSE,1,A3Y
Bald Eagle,Juvenile,FALSE,Winter,Washington,Pacific,0.09,FALSE,0,1
Bald Eagle,Adult,FALSE,Winter,North Dakota,Central,20.39,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Winter,Virginia,Atlantic,69.36,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Winter,Wisconsin,Mississippi,0.33,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Winter,Washington,Pacific,73.08,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Winter,North Dakota,Central,83.82,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Winter,North Dakota,Central,3.36,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Winter,Arizona,Pacific,199.40,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Winter,Arizona,Pacific,76.25,FALSE,1,A3Y
Bald Eagle,Subadult,FALSE,Winter,Wisconsin,Mississippi,0.14,FALSE,0,2
Bald Eagle,Juvenile,FALSE,Winter,Washington,Pacific,83.76,FALSE,1,1
Bald Eagle,Juvenile,FALSE,Winter,North Dakota,Central,0.84,FALSE,0,1
Bald Eagle,Juvenile,FALSE,Winter,Colorado,Central,0.13,FALSE,0,1
Bald Eagle,Adult,FALSE,Winter,Washington,Pacific,0.33,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Spring,Wisconsin,Mississippi,219.10,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Winter,Arizona,Pacific,111.74,FALSE,1,A3Y
Bald Eagle,Adult,FALSE,Spring,Kansas,Mississippi,0.89,FALSE,0,A3Y
Bald Eagle,Juvenile,FALSE,Winter,North Dakota,Central,2.18,FALSE,0,1
Bald Eagle,Adult,FALSE,Spring,Minnesota,Mississippi,99.44,FALSE,1,A3Y
Bald Eagle,Juvenile,FALSE,Winter,North Dakota,Central,6.94,FALSE,0,1
Bald Eagle,Adult,FALSE,Spring,North Dakota,Central,1.28,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Spring,Minnesota,Mississippi,4.25,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Spring,Minnesota,Mississippi,0.30,FALSE,0,A3Y
Bald Eagle,Adult,FALSE,Spring,Minnesota,Mississippi,2.66,FALSE,0,A3Y
Bald Eagle,Juvenile,FALSE,Spring,Wisconsin,Mississippi,119.83,FALSE,1,1
Bald Eagle,Subadult,FALSE,Spring,North Dakota,Central,138.24,FALSE,1,Unknown
Bald Eagle,Juvenile,FALSE,Spring,Montana,Pacific,1.62,FALSE,0,1
