"GEOID","Observed","pct.Under5","pct.65over","pct.asian","pct.mixed","pct.hispanic","pct.black","pct.female_hohwc","pct.married","pct.female_hoh","pct.HS_higher","pct.COLL_higher","pct.enter2000","pct.unemploy","pct.families_assist","pct.families_bpl","pct.families_bplwc","pct.homes_vacant","pct.homes_20+","pct.renters_occupied","pct.home_pre1950","pct.home_pre1960","pct.home_pre1980","pre1940","pct.inc_pov_ratio_l1","pct.inc_pov_ratio_g2","pct.rural","density.pop.acre","density.house.acre"
26001970100,0.1060058818,2.9,30.9,0.4,0.6,1.3,0.2,3.4,57.1,7.4,87.7,16.7,12.7,11.9,1.7,9.5,5.3,47.9,0.2,12.1,14.15929204,24.92625369,61.40609636,8.1,9.544159544,70.22792023,100,0.050509188,0.039848559
26001970400,0.1007994773,3.6,23.4,0.2,1.3,1.2,0.1,3.2,54.5,6.9,86.4,9.1,0,12.8,3.9,12.4,20.7,46.2,1,13.5,16.19922631,25.82205029,71.32495164,7.9,12.35059761,63.74501992,100,0.028564182,0.019510484
26001970500,0.0601774043,2.7,32.6,0.1,1.3,0.8,0.2,2.4,57.4,8.3,77.3,8.2,7.4,23.6,5.1,13.2,33.3,68.9,0,9.9,9.443725744,18.36998706,68.11125485,5.1,13.23076923,58.30769231,100,0.009289834,0.014032445
26001970600,0.07075163399,3.8,33.2,0.1,0.6,1.1,0.1,2.4,60.9,5.9,87.3,15.9,0,22.6,4,10,100,59.5,0,5.7,9.807692308,20.8974359,75.32051282,2.5,10,65.68181818,86.3313991,0.081818735,0.085685928
26003000100,0.0260006435,4.5,26,0.5,3.7,1.2,0.2,4.4,51.3,8.1,83.5,14.9,58.9,15.7,5.9,9.1,19,37.5,4.2,26.7,28.92728003,35.19485737,72.03696264,21.7,9.118236473,72.24448898,67.67554479,0.016169984,0.01035648
26003000200,0.04963117546,4.1,19.5,0.2,3,1.3,0.1,4.4,52.8,7.9,91.9,20.9,4.9,13.4,1.7,5.6,25,40.6,0,10.5,31.92307692,41.73076923,67.35576923,21.8,5.623471883,70.90464548,90.65196548,0.019455291,0.014800779
26003000300,0.05530430354,2.7,14.5,0.3,1.3,1,19.9,2.1,51.3,6.1,84.8,15.9,21.4,9.4,0.9,7.8,56.3,58.5,0,11.2,20.29501526,30.67141404,58.64699898,12.6,7.8125,71.09375,96.13065327,0.014553675,0.009686225
26005030200,0.08320577106,4.5,13.7,0.7,1.6,3.8,0.2,3,77.1,4.1,96,41.8,15.2,6.9,0.8,0,0,19,0,10.9,16.2596401,23.97172237,46.9151671,13.1,0,94.33789954,65.23746702,0.448068405,0.207221386
26005030300,0.04838411065,8.1,9.4,0.4,1.2,2.4,0.2,2.4,71.2,6.2,88.1,17.8,20.8,6.2,0.9,5.2,0,8.2,0,2.4,15,22.91970803,39.05109489,10.8,5.234021137,81.58027177,100,0.15971912,0.060535518
26005030401,0.04166427711,7.4,8.2,0.3,1.1,2.1,0.4,4.2,76.4,4.8,93.1,14.9,45.8,4.3,0,3.7,0,5.2,0,5.1,14.48248721,23.45533255,49.78354978,12.6,3.739679456,83.48712967,48.8179669,0.321547547,0.109703949
26005030402,0.06026266417,7.3,9.3,0.5,1.3,3,0.5,4.7,73.7,7,93.1,24.5,0,5.6,1.5,9.9,0,9.7,0.7,7,17.1858217,24.32867884,40.2792696,14.9,9.882515549,77.88527989,78.11466373,0.221368279,0.08331163
26005030500,0.04537372844,7.6,10.8,0.4,2.2,2.9,0.3,8.3,50.5,9.5,88.1,15.5,67.8,10.2,4.6,7.5,0,7.7,3.4,26,27.61073392,35.14387326,50.88910443,24,7.521186441,72.98728814,39.13748379,0.312128792,0.132207828
26005030600,0.06046531647,6.9,9.8,0.1,2.2,2.2,0.4,4.3,68.5,6.3,90.4,14.6,19.3,10,2.3,8.1,0,6,0.2,12.2,33.21572581,38.45766129,59.87903226,27.8,8.132322536,77.11922812,100,0.108444294,0.041894457
26005030702,0.06272920316,5.9,9.8,0.7,1.4,2.3,0.4,4.7,66.4,8.1,91.9,20.2,40.5,8.7,3.8,6.9,0,12.3,0,10.7,12.23165252,17.37393909,38.19271093,9,6.901408451,75.84507042,100,0.120762202,0.049897126
26005030703,0.02292471815,7.5,10.1,0.8,3.1,33.9,1.7,6.9,55,10.6,80.5,8.6,17.8,9,7.2,15.8,16.4,21.9,0,12.6,24.07247627,29.07679034,44.17601381,19.5,15.830721,55.95611285,100,0.117217029,0.049768618
26005030704,0.05594711016,7.5,9.5,0.4,2.1,15.7,0.4,4.1,62.1,9.5,86.7,20.8,34.1,5.9,1.9,4.8,24.4,6.5,0.5,9.9,10.23155627,14.70113086,35.86429725,9.2,4.809160305,77.55725191,100,0.162837485,0.064670691
26005030800,0.07463068126,4.3,19.6,0.5,1.3,4.2,0.4,3.7,53.1,8.1,91.7,39.7,37.7,9.7,1.6,6.9,31.3,40.3,0.5,13.1,24.42263279,31.23556582,47.43071594,19.7,6.861989206,88.58905166,44.49209327,0.303091125,0.22168849
26005030901,0.12782642,5.1,16.7,0.2,1.8,9.1,2.8,5,65.6,5.7,89.7,24.9,31.2,12.2,6.3,21.9,0,45.2,2,14.4,33.77192982,37.88377193,52.35745614,30.7,21.8579235,70.49180328,92.10126582,0.113851798,0.07925883
26005030902,0.09144847401,5.2,16.9,0.4,2.3,16.9,0.2,3,55.9,6.8,87.1,24.5,25.7,8.9,2.7,6,23.1,36.9,0,13.9,20.04816376,26.18904275,49.12703191,16.1,5.991440799,65.19258203,100,0.122893486,0.079278251
