"GEOID","Observed","pct.Under5","pct.65over","pct.asian","pct.mixed","pct.hispanic","pct.black","pct.female_hohwc","pct.married","pct.female_hoh","pct.HS_higher","pct.COLL_higher","pct.enter2000","pct.unemploy","pct.families_assist","pct.families_bpl","pct.families_bplwc","pct.homes_vacant","pct.homes_20+","pct.renters_occupied","pct.home_pre1950","pct.home_pre1960","pct.home_pre1980","pre1940","pct.inc_pov_ratio_l1","pct.inc_pov_ratio_g2","pct.rural","density.pop.acre","density.house.acre"
26001970100,0.029412,2.9,30.9,0.4,0.6,1.3,0.2,3.4,51.5,9,89.2,17,17.3,6.3,2,10.1,22.2,44.1,1.1,12.3,16.72439386,25.48243444,62.0979713,9.3,10.11080332,70.22160665,100,0.050509188,0.039848559
26001970400,0.047504,3.6,23.4,0.2,1.3,1.2,0.1,3.2,50.6,6.2,86.2,10.4,0,11.2,3.6,14,37.5,38.4,2.1,16.3,15.84402764,30.50345508,68.60809477,11,13.99229782,63.67137356,100,0.028564182,0.019510484
26001970500,0.045455,2.7,32.6,0.1,1.3,0.8,0.2,2.4,47.8,4.9,86.5,9.4,14.6,9.7,3.3,13,4.8,69,0,12.7,11.18967107,23.67045804,61.85059945,5.2,13.00527241,64.32337434,100,0.009289834,0.014032445
26001970600,0.033333,3.8,33.2,0.1,0.6,1.1,0.1,2.4,54.5,6.3,89.7,15.2,0,11.5,2.6,6.1,31,54.9,0,8.9,12.51612903,27.74193548,73.48387097,5.7,6.094808126,65.46275395,86.3313991,0.081818735,0.085685928
26003000100,0.009524,4.5,26,0.5,3.7,1.2,0.2,4.4,51.6,5.9,89.3,17.2,13.5,2.8,2.3,8.7,0,45.1,1.7,17.6,24.26133999,34.1656263,63.00457761,16.8,8.739076155,72.40948814,67.67554479,0.016169984,0.01035648
26003000200,0.031433,4.1,19.5,0.2,3,1.3,0.1,4.4,54.6,8.5,92.3,23.7,10.5,10.3,1.4,9.1,0,48.5,0,12.2,23.15545244,33.92111369,61.57772622,17.9,9.115281501,72.25201072,90.65196548,0.019455291,0.014800779
26003000300,0.077922,2.7,14.5,0.3,1.3,1,19.9,2.1,59.8,1.8,86.3,12.6,31.6,9.3,3.1,8.5,43.3,61.1,0,8.4,14.37440306,23.92550143,56.4947469,10.4,8.502772643,79.29759704,96.13065327,0.014553675,0.009686225
26005030200,0.027778,4.5,13.7,0.7,1.6,3.8,0.2,3,76.8,6.2,96.6,52.8,10,3.4,1.6,2.5,0,20,0,9.2,13.22263223,17.15867159,39.42189422,10.3,2.450090744,90.38112523,65.23746702,0.448068405,0.207221386
26005030300,0.025884,8.1,9.4,0.4,1.2,2.4,0.2,2.4,76.1,3.5,93.3,13.7,0,1.6,1.1,7.7,32.6,5.1,0,4.2,21.21863799,25.44802867,48.67383513,18.7,7.656395892,83.05322129,100,0.15971912,0.060535518
26005030401,0.011494,7.4,8.2,0.3,1.1,2.1,0.4,4.2,68,8.6,92,17.5,11.3,2.3,0.6,2.9,0,2.9,0,6.6,16.30965802,20.14280346,45.39646749,13.6,2.921455939,85.77586207,48.8179669,0.321547547,0.109703949
26005030402,0.013333,7.3,9.3,0.5,1.3,3,0.5,4.7,74.6,5,96.2,28.3,13,4.2,0.3,3.2,0,10.3,0,10.9,15.94718131,19.95937024,35.24631793,13.5,3.185595568,84.76454294,78.11466373,0.221368279,0.08331163
26005030500,0.025258,7.6,10.8,0.4,2.2,2.9,0.3,8.3,57.7,8.4,91.8,19.8,36.5,2,2.6,6.1,2.3,7.1,2.3,25.3,23.9862543,32.33676976,44.12371134,21.6,6.128863279,75.06547931,39.13748379,0.312128792,0.132207828
26005030600,0.040698,6.9,9.8,0.1,2.2,2.2,0.4,4.3,63.3,7.2,92.5,13.2,10.5,5.7,0.6,8.1,16.8,6.5,0.1,12.1,29.14752425,32.46554364,48.85145482,26.7,8.137044968,74.73233405,100,0.108444294,0.041894457
26005030702,0.058659,5.9,9.8,0.7,1.4,2.3,0.4,4.7,72.7,6.3,92,25.5,27.6,1.8,2.6,6.2,4.5,15.3,0,8.2,12.23984143,16.65014866,35.53022795,8.1,6.205923836,80.39492243,100,0.120762202,0.049897126
26005030703,0.019841,7.5,10.1,0.8,3.1,33.9,1.7,6.9,55,11.3,77.3,11.5,0,4.1,2.3,16.8,19.4,18.2,0,20.1,21.31018153,35.51696922,56.35359116,15,16.77852349,63.48993289,100,0.117217029,0.049768618
26005030704,0.032138,7.5,9.5,0.4,2.1,15.7,0.4,4.1,58.8,12.3,86.9,21.5,11.4,5.4,0.4,9.6,10.7,4.3,0.5,20.2,11.0982659,16.99421965,35.14450867,8.1,9.59555908,73.27517843,100,0.162837485,0.064670691
26005030800,0.039881,4.3,19.6,0.5,1.3,4.2,0.4,3.7,56.2,6.1,92.1,45.7,1.8,1.7,0.9,7.2,15.9,42,1.4,18.2,23.98571064,29.0380199,49.50242409,19.6,7.152317881,82.25165563,44.49209327,0.303091125,0.22168849
26005030901,0.029726,5.1,16.7,0.2,1.8,9.1,2.8,5,61.2,6.1,91.1,27.9,27.9,4.7,1,8,27.8,41.3,0,14.9,24.22756253,31.58410986,49.23982344,21.7,8.013937282,77.46806039,92.10126582,0.113851798,0.07925883
26005030902,0.035334,5.2,16.9,0.4,2.3,16.9,0.2,3,57.1,3.6,91.6,34.7,0,3.6,1.6,7.4,12.5,35.2,0,7.8,20.1120797,28.89165629,47.75840598,14.6,7.36196319,81.74846626,100,0.122893486,0.079278251
26005031000,0.04199,7.7,10.3,0.2,3.7,19.6,3.9,8.5,49.9,15.6,85.4,10.2,6.4,11.2,2.4,17.7,61.3,37.5,0,28.2,19.47011707,26.70979667,57.91743685,15.8,17.70034843,52.4738676,100,0.138711308,0.069311009
26005031100,0.047088,5.3,18,0.4,1.3,1.8,0.9,5,54.5,7.4,90.7,14.1,0,4,2,6.7,5.9,18.6,0.6,12.7,30.91743119,36.91131498,56.66666667,23.6,6.689734717,85.4094579,82.59696459,0.155111219,0.071759208
