GEOID,Observed,pct.Under5,pct.65over,pct.asian,pct.mixed,pct.hispanic,pct.black,pct.female_hohwc,pct.married,pct.female_hoh,pct.HS_higher,pct.COLL_higher,pct.enter2000,pct.unemploy,pct.families_assist,pct.families_bpl,pct.families_bplwc,pct.homes_vacant,pct.homes_20+,pct.renters_occupied,pct.home_pre1950,pct.home_pre1960,pct.home_pre1980,pre1940,pct.inc_pov_ratio_l1,pct.inc_pov_ratio_g2,pct.rural,density.pop.acre,density.house.acre
39001770100,0.038626609,6.9,14.9,0.1,1.4,1.1,0.6,7.7,48.3,15.1,79.2,13.3,0,12.8,4,22.6,48.5,13.8,1.8,30.3,19.02086677,31.66131621,54.57463884,13.8,22.5761773,60.8033241,100,0.068637952,0.03118624
39001770200,0.012931035,6.7,15.4,0.2,0.8,0.7,0.2,5.5,53,9.6,78.9,12,0,21.4,2.7,15.1,33,11.9,0.5,28.9,32.47905372,37.90044357,57.12173484,29.9,15.1253918,61.677116,100,0.087502708,0.037309047
39001770300,0.019685039,6.5,12.2,0.1,0.8,0.7,0.3,4.4,71.3,9.7,82.7,11.7,100,9.6,3.4,15.6,22,7.2,0,21.4,13.63140676,19.08396947,39.04034896,11.6,15.5988858,64.7168059,100,0.072416529,0.030062634
39001770400,0.03875969,7.8,18.5,0.2,1.4,0.8,0.3,9.8,47.9,15.5,73.5,8.4,76.5,15.2,3.2,14.9,29,15.3,3.7,30.2,17.1918443,28.45227062,61.72381835,14,14.8514851,60.1485149,35.62193491,0.207549184,0.094085049
39001770500,0.026086957,5.9,13.9,0.1,2.1,0.6,0.1,4.7,52.7,10,71.6,8,100,13.7,2.6,22.6,56.1,30.5,0,28.5,20.33603708,26.30359212,50.40556199,16.7,22.6295828,51.7067004,100,0.035281064,0.017845535
39001770600,0.060150376,6.5,14.8,0.1,2.1,1.3,0.1,9.2,39.7,16.9,69.1,10.6,0,18.6,4.1,23.1,22.6,21.5,1.4,30.6,23.20722756,36.47656691,64.99153021,17.6,23.0515917,45.5543359,100,0.116360399,0.060876637
39003010100,0.038461539,5,19.5,0.9,1.2,1.6,1.6,4.6,58.3,8.1,94.4,35,45.9,5,1.4,6,0,1.6,6.3,24.8,36.81214421,46.42631246,68.75395319,32.4,5.9534884,81.7674419,8.830845771,0.875103766,0.31944764
39003010200,0.018691589,5.6,13.7,0.1,1.1,1.1,0.3,4.4,68,7.8,92.6,13.4,0,7.6,0.1,3.2,5.3,4.6,0,12.3,39.79526552,50.3518874,81.4459373,34,3.1941032,82.964783,85.5513308,0.091898508,0.035283661
39003010300,0.041666667,5.2,15.5,0.1,0.7,1.2,0.4,3.6,51.6,7.2,92.4,9.2,0,3.8,0.5,6.4,0,3.2,0,8.4,34.7133758,55.41401274,71.65605096,31.7,6.4,68.8,98.68035191,0.090626218,0.036877733
39003010600,0.046511628,7.1,14.5,0.3,1.5,0.7,0.4,6.4,61.1,9.2,91.5,15.5,44,11.3,1.1,4.3,8.5,5.4,0.2,13.9,33.21464903,44.45574771,72.12614446,28.3,4.2927516,74.8064743,100,0.141781546,0.05571369
39003010800,0.04109589,5.7,16.5,1.4,1.4,2.1,3.8,4,63.5,7.4,92.6,22.6,42.7,6.6,1.7,1.5,0.8,2,3.8,15.8,10.69518717,24.18300654,63.45811052,8.9,1.5248796,88.6436597,16.60138596,0.916415628,0.380483296
39003010900,0.042253521,4.4,18.6,0.8,1.7,2.5,12.9,5.8,44.2,8.9,93.1,19.2,18.8,12.4,0.3,8.1,18.6,10.4,8.8,29.2,5.061349693,18.76278119,67.33128834,2.7,8.0896686,77.6803119,0,2.497780616,1.038390745
39003011000,0.031141869,6.1,16.5,1.6,3.7,2.5,13.7,9.3,32.5,18.3,88.3,17.9,0,11.4,2.2,29.8,59,13.4,7.1,59.2,6.096217407,13.36760925,56.33492472,3.8,29.7637795,51.8897638,1.312335958,1.631083627,0.798916443
39003011200,0.038461539,1.8,6.5,0.3,0.9,8.5,22.3,7.1,58,10.8,72,4.9,0,4.2,5.8,19.6,0,21.4,0,17.1,36.21908127,59.54063604,74.204947,21.2,19.6078431,73.2026144,7.944732297,1.15692258,0.15880943
39003011300,0.050541516,5.4,16.4,0.9,1.6,1.6,1.9,5.4,60.5,13,90,20.1,0,6.2,2.2,4.4,4.7,5.1,0.3,14,16.63854202,34.52581843,69.79412757,11.2,4.4318718,80.0094295,28.75754687,0.456528215,0.190064068
39003011400,0.042016807,5.2,13.7,0.3,0.5,1.3,0.4,3.9,66.8,9.5,91.2,15.5,0,8.4,2.5,4.6,1.7,7.8,0,14.6,28.27699918,33.9653751,63.80873866,23.7,4.6119235,75.8155231,100,0.133686065,0.054288091
39003011500,0.024793388,6.6,12.6,0.3,0.9,1.2,0.5,3.7,69.7,4,90.2,12.2,0,5.7,0.1,7.3,8.9,3.7,0.8,13.4,27.67354597,33.58348968,66.79174484,21.3,7.3439412,75.5201958,100,0.120818804,0.048145186
39003011600,0.035714286,4.6,23.4,0,2,1.7,2.3,5.2,47.1,9.5,88.3,10.4,61.1,13.2,2.9,3.8,9.3,8.8,6.8,15.8,28.34138486,35.42673108,56.92431562,18.5,3.7786775,84.0755735,67.51854905,0.130589763,0.058821159
39003011800,0.03960396,4.8,20.2,1.6,2.6,1.7,5.4,5.8,54.8,12.6,90.5,20.2,8.5,6.7,0,4.7,0,4.5,8.9,19,24.15458937,52.07729469,79.90338164,11.1,4.6852123,81.5519766,0,0.974731836,0.44664822
39003011900,0.040650407,5.1,18.5,0.5,1.2,2.1,2.2,6.8,59.3,12.7,89,15.8,0,9.3,1.2,5.5,0,5.6,0.4,12,14.58036984,47.58179232,84.63726885,7,5.4860443,75.6496631,16.90544413,0.621350877,0.270388349
39003012000,0.048387097,5.6,19.5,1.7,1.3,1.3,5,2.6,78.1,4,97.3,44.4,56.8,0,0,0.4,0,8.7,0,0,9.707724426,15.86638831,65.97077244,9.7,0.4178273,98.0501393,21.13659023,1.403252803,0.584009362
39003012100,0,5.3,14.6,2.9,1.8,1.3,4.4,3.8,69.8,8.3,93.7,30.4,34.9,3,0,5.5,0,1.5,0,10.6,4.416403785,28.86435331,67.82334385,4.4,5.4822335,90.6598985,39.62546816,0.397179434,0.153468754
39003012200,0.038338658,11.3,11.8,0.9,6,4.1,21.4,20.3,43,13.2,86,9.6,0,15.9,3,22.4,50.4,6,10.8,51,8,24.12903226,73.48387097,4,22.4418605,65.4651163,0,6.807566538,3.140044365
39003012300,0.088,7.3,11.3,0.3,4.8,2.9,13,11.5,42.3,17.5,88.6,12.2,51.7,9.5,0,14.4,88,12.9,0,30.8,45.03123225,79.50028393,99.09142533,35.7,14.4117647,65.0980392,0,8.114199514,3.38625651
39003012400,0.070175439,8.6,8.4,0.5,6.7,3.9,17.3,15.6,18.7,32.4,74.9,5.4,0,23.9,7.6,27.4,55.3,13.5,3.2,66.4,56.25,70.56962025,93.82911392,37.4,27.3932253,42.8571429,0,5.557001565,2.518080414
39003012600,0.071005917,7.9,14.6,0.5,2.3,2.7,13.6,10.6,42.6,17.7,70.2,3,0,18.9,5.8,32.2,0,6.3,1.8,48.3,46.30872483,55.70469799,85.34675615,32.4,32.1637427,30.0194932,0,3.577474288,1.700958331
39003012700,0.154929578,10.1,6.5,0.9,6,3.9,33.6,18.9,30.2,24,58.4,6.8,0,23,10.2,31.1,0,27.5,3.3,44.5,75.67901235,90.74074074,96.41975309,69.6,31.1377246,43.4131737,0,7.197825395,3.398002523
39003012900,0.174528302,10.3,6.3,0.2,6.9,3.7,30.8,22.3,22.5,36.3,89.7,6.7,38.6,19.7,8,43.4,61.7,8.5,3.9,60.8,73.14211213,87.09256845,93.35071708,59.6,43.4497817,32.7510917,0,8.543143906,3.729344841
39003013000,0.073943662,7.1,20.4,0.3,4.4,3.1,16.9,8.6,31,19.1,87.2,13.4,42.5,16,3,20,33.5,8.9,7.9,40.8,36.743313,61.09807602,89.770061,32.2,19.9637024,60.7985481,0,6.196555777,3.15336873
39003013100,0.058823529,6.4,14.1,0.6,2.8,1.3,10.7,6.9,46.6,13.1,95.4,13,0,9.2,1.1,5.8,24.5,7.4,2.3,19.4,39.497307,78.27648115,96.14003591,12.4,5.7692308,86.3905325,0,6.191815047,2.931274309
39003013200,0.098039216,8.3,11.3,0.1,5.1,2.4,25.7,12.7,42.7,29.1,84.7,16.9,60,10.4,6.6,17.6,84.4,9.7,1.4,33.3,48.45971564,69.54976303,90.04739336,38.7,17.6366843,54.8500882,0,6.877704395,3.120942524
39003013300,0.180451128,7.4,12.9,0.3,5.3,2.9,44,19.2,42.3,29.5,82.8,12.1,0,25.5,6.3,26.6,35.7,28.4,0,43.2,71.97231834,85.29411765,93.7716263,66.3,26.5993266,53.5353535,0,5.937630831,2.872156309
