"GEOID","Observed","pct.Under5","pct.65over","pct.asian","pct.mixed","pct.hispanic","pct.black","pct.female_hohwc","pct.married","pct.female_hoh","pct.HS_higher","pct.COLL_higher","pct.enter2000","pct.unemploy","pct.families_assist","pct.families_bpl","pct.families_bplwc","pct.homes_vacant","pct.homes_20+","pct.renters_occupied","pct.home_pre1950","pct.home_pre1960","pct.home_pre1980","pre1940","pct.inc_pov_ratio_l1","pct.inc_pov_ratio_g2","pct.rural","density.pop.acre","density.house.acre"
39001770100,0.047672,6.9,14.9,0.1,1.4,1.1,0.6,7.7,42.6,16.9,78.3,13.7,0,8.3,2.6,23.7,53.5,13,0.4,37.7,21.24105012,26.1097852,47.35083532,17.4,23.68421053,49.75328947,100,0.068637952,0.03118624
39001770200,0,6.7,15.4,0.2,0.8,0.7,0.2,5.5,55.4,13.9,88.7,14.2,0,8.5,3,14.1,28.4,17,0.5,25.6,28.524281,32.34323432,52.23950967,24.8,14.05405405,64.86486486,100,0.087502708,0.037309047
39001770300,0,6.5,12.2,0.1,0.8,0.7,0.3,4.4,63.3,10.5,75.4,11.1,0,4.4,3.8,10.2,0,15.2,0,23.6,16.51006711,21.24161074,46.0738255,14.3,10.20916335,65.88645418,100,0.072416529,0.030062634
39001770400,0.039272,7.8,18.5,0.2,1.4,0.8,0.3,9.8,36.5,13.9,79.3,14.7,0,11.1,5.2,30.1,92.8,15.6,2.9,45.5,15.5386082,23.11725453,54.00381316,9.9,30.1242236,46.58385093,35.62193491,0.207549184,0.094085049
39001770500,0.014493,5.9,13.9,0.1,2.1,0.6,0.1,4.7,50.8,10.4,75.5,6.1,0,9.6,5,20.3,60.6,18.7,0,23.9,18.79310345,20.45977011,39.59770115,15.5,20.34820457,47.8781284,100,0.035281064,0.017845535
39001770600,0.013333,6.5,14.8,0.1,2.1,1.3,0.1,9.2,41.6,12.9,77.1,12.2,0,5.2,3.3,19.3,45.7,18.8,1.6,35.6,23.33333333,28.14814815,55.87301587,17.1,19.2887931,58.94396552,100,0.116360399,0.060876637
39003010100,0.036394,5,19.5,0.9,1.2,1.6,1.6,4.6,58.6,7.4,92.6,40.3,0,2.3,2.5,3.4,0,3.1,5.7,32.4,41.77777778,52.94444444,70.16666667,33.1,3.366174056,88.58784893,8.830845771,0.875103766,0.31944764
39003010200,0,5.6,13.7,0.1,1.1,1.1,0.3,4.4,64.2,9.1,91.8,17,0,4.1,2.1,8,8.5,3.4,0,14.6,42.34293194,49.41099476,71.26963351,34.2,7.950530035,82.15547703,85.5513308,0.091898508,0.035283661
39003010300,0.1,5.2,15.5,0.1,0.7,1.2,0.4,3.6,65.7,2.5,93.9,12.6,92.5,3.7,1.6,3.5,0,7.2,0,13.7,39.05228758,49.67320261,70.26143791,35.6,3.496503497,84.14918415,98.68035191,0.090626218,0.036877733
39003010600,0.022596,7.1,14.5,0.3,1.5,0.7,0.4,6.4,60.1,13.8,89.8,15,0,5.2,3,13.3,40.5,5.1,0,22.7,35.7727738,45.85465711,67.70726714,29.5,13.34730957,74.49336129,100,0.141781546,0.05571369
39003010800,0,5.7,16.5,1.4,1.4,2.1,3.8,4,60.8,5.8,94.7,21.4,0,3.1,0.2,0.8,0,4.5,4.2,22.2,11.82970426,22.71693208,57.2960676,8.6,0.807984791,83.46007605,16.60138596,0.916415628,0.380483296
