Year,Suicide_Deaths,Population_Estimate,Unadjusted_Rate_per_100000,Age_Adjusted_Rate_per_100000,Male_Suicide_Deaths,Male_Population,Male_Unadjusted_Rate,Male_Age_Adjusted_Rate,Female_Suicide_Deaths,Female_Population,Female_Unadjusted_Rate,Female_Age_Adjusted_Rate
2001,23559,186394780,12.6393024525687,12.6749518520256,17989,78399150,22.945401831525,25.9920633132429,5575,107995630,5.16224591680238,5.1907122132673
2002,24508,189184736,12.9545334989394,12.9961487966905,18611,80052723,23.2484284138592,26.2580629226454,5899,109132013,5.40537999606037,5.44190757924807
2003,24537,191859175,12.7890678149742,12.8229083424554,18613,81568067,22.8189789026139,25.5082161904538,5925,110291108,5.37214659227107,5.41581588119982
2004,25378,194620563,13.039732086275,13.0495807934255,18960,83175063,22.7952938250254,25.1080636178894,6421,111445500,5.76156058342419,5.82256035253527
2005,25461,197300930,12.9046528062488,12.9294751306137,19170,84705058,22.6314702482112,24.8416641349771,6293,112595872,5.58901484416765,5.63542127274168
2006,26302,200370198,13.1267026047456,13.1468714966506,19726,86477802,22.8104779998918,24.6123243140481,6580,113892396,5.77738306603015,5.82415081761176
2007,27494,203401802,13.517087719803,13.5409842253096,20542,88178976,23.2958023917175,24.9321006920801,6954,115222826,6.03526249217321,6.09209818715238
2008,28466,206506364,13.7845630752571,13.8210936901026,21357,89864088,23.7658896621752,25.2907813121133,7111,116642276,6.09641739158108,6.17471227994892
2009,29302,209514362,13.9856760750368,14.0295208166772,21998,91558196,24.0262488352217,25.3087696130923,7305,117956166,6.1929785001659,6.2734137736087
2010,30787,212298510,14.5017503891101,14.5502480136917,23203,93066391,24.931664106326,26.1359990944353,7587,119232119,6.36321828684434,6.43589603097126
2011,31909,215045673,14.8382432228711,14.9171510742179,23955,94622725,25.3163286092215,26.5809899581502,7955,120422948,6.60588378886058,6.71519799437515
2012,32973,217832688,15.1368466793193,15.239227842547,24723,96254870,25.6849341752786,27.0274424663848,8250,121577818,6.78577732000421,6.9120413568338
2013,33371,220314213,15.147002794595,15.236271070585,24903,97654922,25.5010187812141,26.8910843892328,8471,122659291,6.90612177107725,7.01216518585765
2014,34811,222934112,15.6149275172388,15.7009151767363,25846,99156304,26.0659170999355,27.2680109720105,8965,123777808,7.2428169030106,7.3653884300697
2015,36159,225637274,16.0252778093747,16.1367837746969,26702,100764418,26.4994335599696,27.5982103491368,9457,124872856,7.57330320049699,7.69401073548678
2016,36936,228300462,16.1786794807275,16.2918841711519,27472,102298439,26.8547597290317,27.8206387541347,9466,126002023,7.51257779408828,7.63400781791
