Year,Suicide_Deaths,Population_Estimate,Unadjusted_Rate_per_100000,Age_Adjusted_Rate_per_100000,Male_Suicide_Deaths,Male_Population,Male_Unadjusted_Rate,Male_Age_Adjusted_Rate,Female_Suicide_Deaths,Female_Population,Female_Unadjusted_Rate,Female_Age_Adjusted_Rate
2001,4445,21995328,20.2088370766737,21.6842320917806,4326,20611785,20.9879930340822,23.0461087883175,118,1385167,8.51882841563508,8.23079506352712
2002,4457,21185743,21.0377327809556,22.3024673317427,4360,19785129,22.0367529572337,23.9741386756743,96,1402265,6.84606689890998,6.64315870089972
2003,4383,20520983,21.3586259488642,23.6116680113356,4266,19106646,22.3273095654779,25.3420226742485,117,1416005,8.26268268826735,8.35277966760633
2004,4295,20085931,21.383126328573,23.081711569666,4173,18651141,22.3739662897836,24.740450858433,120,1436415,8.35413164022932,8.50679850959292
2005,4424,19736759,22.4150277155434,23.7797876139585,4291,18243274,23.5209973823778,25.536070872823,132,1494948,8.82973855946829,9.25571729582175
2006,4239,19212067,22.0642578437812,23.0651551949083,4098,17736173,23.1053226645906,24.7679357054716,139,1477258,9.40932457295882,9.27128361972794
2007,4469,18708088,23.888063814966,24.9305420989658,4333,17277913,25.0782603199819,27.0182008553591,135,1431429,9.43113490085782,9.21912254598592
2008,4635,18335048,25.2794538634423,26.5375428241319,4478,16955404,26.4104588719915,28.6119574109433,155,1380773,11.2255960972586,11.2739758847204
2009,4639,17865736,25.96590479116,27.040629345375,4472,16482602,27.1316385604652,29.0010929471023,166,1384201,11.9924779710461,11.9366934246321
2010,4629,17440475,26.5417082963624,27.5144133899257,4458,16071344,27.7388126344629,29.6423553571501,169,1370138,12.3345239676587,12.1993467755295
2011,4347,16980038,25.6006494213971,27.0196333709068,4164,15619676,26.658683573206,28.9962394444583,183,1361372,13.4423214227999,13.3214786629375
2012,4344,16572580,26.2119718233371,28.2427846892957,4184,15193388,27.538294947776,30.6878616419342,160,1380163,11.5928336000893,11.8103312809187
2013,4335,16308179,26.5817538549215,29.0430550406813,4154,14922614,27.8369459935103,31.5283707129132,179,1386495,12.9102521105377,13.0453661871822
2014,4396,15897286,27.6525188010079,29.5191983427889,4191,14515993,28.8716038923414,31.7140454909807,205,1382206,14.8313637764559,14.8950963963861
2015,4315,15396326,28.0261667621223,30.7453862692928,4106,14020395,29.2859081359691,33.2526597196019,209,1376826,15.179841170925,15.1853405339394
2016,4131,14944864,27.6416031621298,30.7462858196348,3957,13590292,29.1163721868522,33.6654656096832,173,1355442,12.7633642752696,12.6596880892989
2017,4348,14514385,29.9564879944965,32.3485745045249,4133,13145221,31.4410841780446,34.9022622133438,212,1370035,15.4740572321145,15.956344892136
2018,4353,14198744,30.6576412674248,33.3749079031,4141,12812085,32.3210468865919,36.0649376766433,212,1387543,15.2788057739472,16.0966394791443
2019,4029,13770264,29.2586983081806,31.2565254980978,3851,12378654,31.1100059828799,34.2076064236738,177,1392501,12.710942397887,13.0977720373792
2020,3896,13305339,29.2814786605588,31.8563513505157,3710,11931957,31.0929715888182,34.6846735464398,186,1374298,13.5341825426509,14.5364515298844
2021,3976,12761601,31.1559654623272,34.6610244089581,3755,11424404,32.8682354020394,37.7922431743139,218,1338111,16.2916230417357,16.2268628401824
2022,3868,12286155,31.4825915837787,34.7601048782602,3707,10973834,33.7803542499367,38.3753068277477,161,1313325,12.2589610340167,13.3389405372189
2023,3900,11993671,32.5171500869083,35.6601735505054,3709,10667268,34.7699148460506,39.4269138395815,175,1327456,13.1831111539667,13.551289009977
"Other Veteran Deaths by Suicide: Unadjusted Suicide Rates by Age Group, 2001-23",,,,,,,,,,,,
"Year
of
Death","Age
Group","Suicide
Deaths","Population
Estimate","Unadjusted
Rate per
100,000",,,,,,,,
2001,18-34,551,2459051,22.4070179919001,,,,,,,,
2001,35-54,1935,7767848,24.9103741473829,,,,,,,,
2001,55-74,1139,8178766,13.9263062422864,,,,,,,,
2001,75+,816,3591665,22.719268083187,,,,,,,,
2001,All,4445,21995328,20.2088370766737,,,,,,,,
2002,18-34,533,2350115,22.6797412041538,,,,,,,,
2002,35-54,1857,7316083,25.3824348356901,,,,,,,,
2002,55-74,1195,7955076,15.021855228033,,,,,,,,
2002,75+,862,3566525,24.1691842900302,,,,,,,,
2002,All,4457,21185743,21.0377327809556,,,,,,,,
2003,18-34,593,2250507,26.3496181082752,,,,,,,,
2003,35-54,1809,6928709,26.1087599435912,,,,,,,,
2003,55-74,1177,7818576,15.0538921665531,,,,,,,,
2003,75+,795,3525191,22.5519695244882,,,,,,,,
2003,All,4383,20520983,21.3586259488642,,,,,,,,
2004,18-34,517,2151072,24.0345279005073,,,,,,,,
2004,35-54,1749,6665637,26.2390526216774,,,,,,,,
2004,55-74,1172,7667125,15.286042682231,,,,,,,,
2004,75+,853,3603638,23.6705240648478,,,,,,,,
2004,All,4295,20085931,21.383126328573,,,,,,,,
2005,18-34,514,2044866,25.1361213888832,,,,,,,,
2005,35-54,1683,6511305,25.8473531803533,,,,,,,,
2005,55-74,1253,7525595,16.6498462912235,,,,,,,,
2005,75+,969,3656171,26.503136751536,,,,,,,,
2005,All,4424,19736759,22.4150277155434,,,,,,,,
2006,18-34,454,1954807,23.2247991745477,,,,,,,,
2006,35-54,1631,6386961,25.5364014278465,,,,,,,,
2006,55-74,1266,7267755,17.4194094324864,,,,,,,,
2006,75+,887,3603739,24.6133252158383,,,,,,,,
2006,All,4239,19212067,22.0642578437812,,,,,,,,
2007,18-34,486,1887555,25.7475941098405,,,,,,,,
2007,35-54,1666,6207812,26.8371529292446,,,,,,,,
2007,55-74,1360,7044712,19.3052604563536,,,,,,,,
2007,75+,953,3570451,26.6913059442631,,,,,,,,
2007,All,4469,18708088,23.888063814966,,,,,,,,
2008,18-34,509,1813121,28.0731401820397,,,,,,,,
2008,35-54,1687,6032620,27.9646322824909,,,,,,,,
2008,55-74,1469,6898036,21.2959166928094,,,,,,,,
2008,75+,968,3593876,26.9347078196354,,,,,,,,
2008,All,4635,18335048,25.2794538634423,,,,,,,,
2009,18-34,494,1750213,28.2251360263008,,,,,,,,
2009,35-54,1662,5825124,28.5315814736304,,,,,,,,
2009,55-74,1468,6736010,21.7933168151472,,,,,,,,
2009,75+,1013,3556580,28.4824185031688,,,,,,,,
2009,All,4639,17865736,25.96590479116,,,,,,,,
2010,18-34,490,1706566,28.7126310965998,,,,,,,,
2010,35-54,1608,5593195,28.7492211517746,,,,,,,,
2010,55-74,1500,6667441,22.4973869285083,,,,,,,,
2010,75+,1028,3475176,29.5812355978517,,,,,,,,
2010,All,4629,17440475,26.5417082963624,,,,,,,,
2011,18-34,490,1662803,29.4683134442264,,,,,,,,
2011,35-54,1486,5357143,27.7386659269689,,,,,,,,
2011,55-74,1433,6528022,21.9515191584832,,,,,,,,
2011,75+,926,3433684,26.9681193726621,,,,,,,,
2011,All,4347,16980038,25.6006494213971,,,,,,,,
2012,18-34,529,1634300,32.3685981765894,,,,,,,,
2012,35-54,1449,5142764,28.1755102897975,,,,,,,,
2012,55-74,1459,6364387,22.9244387558456,,,,,,,,
2012,75+,902,3432574,26.2776563593385,,,,,,,,
2012,All,4344,16572580,26.2119718233371,,,,,,,,
