Year,Suicide_Deaths,Population_Estimate,Unadjusted_Rate_per_100000,Age_Adjusted_Rate_per_100000,Male_Suicide_Deaths,Male_Population,Male_Unadjusted_Rate,Male_Age_Adjusted_Rate,Female_Suicide_Deaths,Female_Population,Female_Unadjusted_Rate,Female_Age_Adjusted_Rate
2001,1576,3843252,40.9809192839814,39.472856260759,1535,3581538,42.8307615331737,43.1197105321445,37,260117,14.22436826505,13.4456422600846
2002,1706,4253477,40.0848529332591,38.2590568154128,1667,3969996,41.9647777982648,42.0742774203297,38,281855,13.4821095953593,12.7422504046868
2003,1639,4562740,35.9213981072777,37.1759117429608,1602,4257295,37.6295276695648,41.5759854676596,36,303805,11.8497062260331,10.967727032904
2004,1726,4735613,36.4261184349312,36.3047596936306,1678,4409887,38.0281853027073,40.4497498428752,47,324133,14.5002205884621,13.2972608959158
2005,1725,4887905,35.2911932617348,33.9706933578303,1667,4543013,36.6937096592064,37.2037243990853,57,343458,16.5959156578097,15.2473304066976
2006,1811,4972875,36.3974561998844,35.2939622143046,1774,4613405,38.4314839039711,40.038629084071,35,358132,9.77293288508148,9.19770698105571
2007,1791,5034341,35.5756592570905,34.1602226297453,1740,4659205,37.3454269558863,37.6862387389277,50,373909,13.3722376300116,13.0737187806639
2008,1944,5080574,38.2437102579354,37.0961294123931,1891,4689012,40.3069985745398,41.7530877100464,53,390453,13.5739768935058,12.5392681863867
2009,1898,5189862,36.5712999690551,35.5282304644087,1838,4777832,38.469330859687,38.9067649217121,60,410981,14.5992150488709,15.0826545600206
2010,1932,5397928,35.791511113153,35.5734369876137,1865,4965111,37.5621008271517,39.4541117411716,66,431828,15.2838630195356,14.0128532539336
2011,2123,5573215,38.0929140540963,40.4716440487831,2047,5119751,39.9824132072048,44.8886944456789,75,452472,16.5756113085451,16.0135873922358
2012,2109,5690968,37.0411501171681,38.6492876442248,2028,5216445,38.8578811815326,42.7445957954876,81,473570,17.1041239943409,16.4191201660855
2013,2188,5777315,37.87226419193,39.5602665695138,2113,5278356,40.0314037173696,43.8742145393075,74,498046,14.8580653192677,14.906325964121
2014,2271,5893592,38.5164090082924,40.9548772280577,2181,5368370,40.6082293135533,45.594083512184,90,524324,17.1649590711087,16.1271736362785
2015,2316,5984209,38.6851461905826,41.7313493138357,2218,5435675,40.7861029219002,46.2048438143581,98,547653,17.8945427122649,17.8959658224782
2016,2360,6060463,38.924418810906,41.7596496884174,2255,5489663,41.0589866809675,46.3317426858262,104,569943,18.2474387789656,17.5518202871682
2017,2370,6109720,38.7906483439503,42.5136400946572,2277,5522528,41.2311173433616,47.3525845507598,93,586332,15.8613208898713,16.3415399629267
2018,2385,6150060,38.7638494583793,42.4040704273115,2304,5544254,41.5385009416957,47.6938718059581,81,604932,13.3899347364662,14.6534936130472
2019,2481,6195769,40.0273154147613,43.9687576532753,2361,5571967,42.3548811398201,48.8827714564118,119,622922,19.1035153678952,18.6901744506536
2020,2451,6154246,39.8261622951049,43.443905722715,2353,5513335,42.6783426002592,49.0442439596908,98,640006,15.3123564466583,15.7814056082395
2021,2453,6177702,39.707321589808,45.6480673190421,2316,5501533,42.0973572275219,49.9433284563339,135,675263,19.9922104424498,23.7532808792113
2022,2574,6226927,41.3366015050441,45.2826303863863,2457,5517208,44.5333944270363,51.471060761338,117,708724,16.5085421123032,16.5806293864591
2023,2498,6124841,40.7847322077422,46.5963720732017,2382,5404470,44.0746271142221,53.0376808323801,111,719327,15.4310904498232,17.4289483606883
"Recent Veteran VHA User Deaths by Suicide: Unadjusted Suicide Rates by Age Group, 2001-23",,,,,,,,,,,,
"Year
of
Death","Age
Group","Suicide
Deaths","Population
Estimate","Unadjusted
Rate per
100,000",,,,,,,,
2001,18-34,67,226977,29.5184093542518,,,,,,,,
2001,35-54,582,1202911,48.2995001292698,,,,,,,,
2001,55-74,562,1561641,35.9877846444862,,,,,,,,
2001,75+,365,849755,42.9535572017817,,,,,,,,
2001,All,1576,3843252,40.9809192839814,,,,,,,,
2002,18-34,58,224795,25.8012856157833,,,,,,,,
2002,35-54,583,1192187,48.8178448515208,,,,,,,,
2002,55-74,637,1816264,35.0719939392071,,,,,,,,
2002,75+,428,1018195,42.0351700803874,,,,,,,,
2002,All,1706,4253477,40.0848529332591,,,,,,,,
2003,18-34,74,229262,32.2774816585391,,,,,,,,
2003,35-54,516,1171586,44.0428615568981,,,,,,,,
2003,55-74,648,2035785,31.8304732572448,,,,,,,,
2003,75+,401,1124122,35.6722846808443,,,,,,,,
2003,All,1639,4562740,35.9213981072777,,,,,,,,
2004,18-34,71,243160,29.1988813949663,,,,,,,,
2004,35-54,491,1136099,43.1300441246758,,,,,,,,
2004,55-74,732,2175022,33.6548319971016,,,,,,,,
2004,75+,432,1179804,36.6162515129632,,,,,,,,
2004,All,1726,4735613,36.4261184349312,,,,,,,,
2005,18-34,64,264587,24.1886411652878,,,,,,,,
2005,35-54,460,1106470,41.5736531492042,,,,,,,,
2005,55-74,754,2269565,33.2222254044277,,,,,,,,
2005,75+,447,1246118,35.8714022267554,,,,,,,,
2005,All,1725,4887905,35.2911932617348,,,,,,,,
2006,18-34,77,283617,27.1492893585363,,,,,,,,
2006,35-54,449,1076514,41.6158080619481,,,,,,,,
2006,55-74,797,2317869,34.3850321135491,,,,,,,,
2006,75+,487,1293695,37.644112406711,,,,,,,,
2006,All,1811,4972875,36.3974561998844,,,,,,,,
2007,18-34,76,313812,24.2183217977643,,,,,,,,
2007,35-54,444,1063837,41.7357170318385,,,,,,,,
2007,55-74,768,2334330,32.9002326149259,,,,,,,,
2007,75+,503,1319937,38.1078793912134,,,,,,,,
2007,All,1791,5034341,35.5756592570905,,,,,,,,
2008,18-34,95,349171,27.2072995752797,,,,,,,,
2008,35-54,473,1062991,44.4970841709855,,,,,,,,
2008,55-74,876,2339970,37.4363773894537,,,,,,,,
2008,75+,500,1325850,37.6362333597315,,,,,,,,
2008,All,1944,5080574,38.2437102579354,,,,,,,,
2009,18-34,113,393918,28.6861732644865,,,,,,,,
2009,35-54,439,1083530,40.5157217612803,,,,,,,,
2009,55-74,834,2392253,34.8625333524506,,,,,,,,
2009,75+,512,1317982,38.8472680203523,,,,,,,,
2009,All,1898,5189862,36.5712999690551,,,,,,,,
2010,18-34,133,439624,30.2531253980674,,,,,,,,
2010,35-54,447,1119537,39.927219913232,,,,,,,,
2010,55-74,891,2515887,35.4149451068351,,,,,,,,
2010,75+,461,1320987,34.8981481271201,,,,,,,,
2010,All,1932,5397928,35.791511113153,,,,,,,,
2011,18-34,185,481229,38.4432359645824,,,,,,,,
2011,35-54,519,1139620,45.5414962882364,,,,,,,,
2011,55-74,893,2637606,33.856459228558,,,,,,,,
2011,75+,526,1313156,40.0561700209267,,,,,,,,
2011,All,2123,5573215,38.0929140540963,,,,,,,,
2012,18-34,198,519694,38.0993430749634,,,,,,,,
2012,35-54,478,1149836,41.4841768739194,,,,,,,,
2012,55-74,894,2725109,32.806027208453,,,,,,,,
2012,75+,539,1294892,41.6250930579539,,,,,,,,
2012,All,2109,5690968,37.0411501171681,,,,,,,,
2013,18-34,249,558758,44.5631203490599,,,,,,,,
2013,35-54,441,1168468,37.7417267738612,,,,,,,,
2013,55-74,937,2784901,33.645720260792,,,,,,,,
2013,75+,561,1264047,44.3812611398152,,,,,,,,
2013,All,2188,5777315,37.87226419193,,,,,,,,
2014,18-34,268,587188,45.6412596987677,,,,,,,,
2014,35-54,487,1204868,40.3363687972458,,,,,,,,
2014,55-74,961,2858675,33.6169728982833,,,,,,,,
2014,75+,555,1241922,44.6887968809636,,,,,,,,
2014,All,2271,5893592,38.5164090082924,,,,,,,,
2015,18-34,286,609279,46.9407283034538,,,,,,,,
2015,35-54,513,1238484,41.4216089993896,,,,,,,,
2015,55-74,973,2919052,33.3327395332457,,,,,,,,
2015,75+,544,1216559,44.63408679727,,,,,,,,
2015,All,2316,5984209,38.6851461905826,,,,,,,,
2016,18-34,316,630009,50.1580136156785,,,,,,,,
2016,35-54,486,1263669,38.4594383497577,,,,,,,,
2016,55-74,985,2957238,33.2742917546711,,,,,,,,
2016,75+,573,1208714,47.4057552076008,,,,,,,,
2016,All,2360,6060463,38.924418810906,,,,,,,,
2017,18-34,328,628409,52.1953059233716,,,,,,,,
2017,35-54,507,1290622,39.2833842906754,,,,,,,,
2017,55-74,974,2974488,32.7451312629266,,,,,,,,
2017,75+,561,1215389,46.1580613285129,,,,,,,,
2017,All,2370,6109720,38.7906483439503,,,,,,,,
2018,18-34,313,617258,50.5461249590933,,,,,,,,
2018,35-54,535,1324542,40.3913201695379,,,,,,,,
2018,55-74,995,2961832,33.5940728576098,,,,,,,,
2018,75+,542,1245661,43.51103550645,,,,,,,,
2018,All,2385,6150060,38.7638494583793,,,,,,,,
2019,18-34,317,600477,52.7913641987953,,,,,,,,
2019,35-54,572,1366104,41.8708970912903,,,,,,,,
2019,55-74,992,2941253,33.6931233049316,,,,,,,,
2019,75+,600,1287255,46.6108113776991,,,,,,,,
2019,All,2481,6195769,40.0273154147613,,,,,,,,
2020,18-34,319,559134,57.0525133510035,,,,,,,,
2020,35-54,517,1399266,36.947942707105,,,,,,,,
2020,55-74,906,2869365,31.5749303417307,,,,,,,,
2020,75+,709,1325827,53.476056830944,,,,,,,,
2020,All,2451,6154246,39.8261622951049,,,,,,,,
2021,18-34,312,530925,58.7653623393135,,,,,,,,
2021,35-54,625,1458590,42.8496013273093,,,,,,,,
2021,55-74,851,2802220,30.3687790394759,,,,,,,,
2021,75+,665,1385408,48.0003002725551,,,,,,,,
2021,All,2453,6177702,39.707321589808,,,,,,,,
2022,18-34,300,525707,57.0660082517448,,,,,,,,
2022,35-54,629,1513173,41.5682806922936,,,,,,,,
2022,55-74,860,2634476,32.6440628041402,,,,,,,,
2022,75+,785,1552867,50.5516570317999,,,,,,,,
2022,All,2574,6226927,41.3366015050441,,,,,,,,
2023,18-34,296,515167,57.4570964366895,,,,,,,,
2023,35-54,703,1519347,46.2698777830213,,,,,,,,
2023,55-74,783,2434269,32.1657138138801,,,,,,,,
2023,75+,716,1655346,43.2537970913634,,,,,,,,
2023,All,2498,6124841,40.7847322077422,,,,,,,,
