Year,Suicide_Deaths,Population_Estimate,Unadjusted_Rate_per_100000,Age_Adjusted_Rate_per_100000,Male_Suicide_Deaths,Male_Population,Male_Unadjusted_Rate,Male_Age_Adjusted_Rate,Female_Suicide_Deaths,Female_Population,Female_Unadjusted_Rate,Female_Age_Adjusted_Rate
2001,29580,212297780,13.9332592173126,13.9513134139643,23850,102655150,23.2331256639341,23.6426632433606,5730,109642630,5.22606945856735,5.25450656798518
2002,30671,214688736,14.286264184815,14.311778683135,24638,103870723,23.7198695536181,24.1327623747734,6033,110818013,5.44406079542322,5.47918350972984
2003,30559,217007175,14.0820228639906,14.1084833268033,24481,104994067,23.3165555916602,23.6595079676197,6078,112013108,5.4261506608673,5.46941697857245
2004,31399,219507563,14.3042907364426,14.341404220109,24811,106299063,23.3407513667359,23.6647421328227,6588,113208500,5.81935102046225,5.88009645076282
2005,31610,221992930,14.2391922121123,14.2758474130915,25128,107556058,23.3627007787883,23.702140940421,6482,114436872,5.66425828206839,5.71164115685052
2006,32352,224622198,14.4028507814709,14.4403672934023,25598,108891802,23.507738442973,23.7999610847838,6754,115730396,5.83597761127509,5.88249940606464
2007,33754,227211802,14.8557423966912,14.8976252787764,26615,110180976,24.1557126885498,24.4457253689065,7139,117030826,6.10010220725948,6.15457226155334
2008,35045,229989364,15.2376611641919,15.2783400981403,27726,111573088,24.8500785422377,25.0978277603605,7319,118416276,6.18073819514473,6.25489086960154
2009,35839,232637362,15.4055220072518,15.4592065177414,28308,112883196,25.0772488759089,25.3392586129645,7531,119754166,6.28871650277286,6.36894757048725
2010,37348,235204510,15.8789472191668,15.9328891820665,29526,114167391,25.8620256987391,26.1091983713051,7822,121037119,6.46248032390791,6.53382158581353
2011,38379,237666673,16.1482464140018,16.2258882232109,30166,115426725,26.1343289433188,26.3890762675916,8213,122239948,6.71875285810822,6.82813827175601
2012,39426,240164688,16.4162351794199,16.4996041760176,30935,116729870,26.5013573646574,26.757829461263,8491,123434818,6.87893427282406,7.0035615139366
2013,39894,242468213,16.4532907247516,16.4968662258674,31170,117920922,26.4329683582359,26.6398615512692,8724,124547291,7.0045682486984,7.10813984394805
2014,41478,244793112,16.9441042115597,16.9814852229512,32218,119105304,27.0500128189086,27.2079305948938,9260,125687808,7.36746081210996,7.49229799560454
2015,42790,247085274,17.3179078248103,17.3835034676676,33026,120284418,27.4565904288617,27.6410642033173,9764,126800856,7.70026347456203,7.81969393466492
2016,43427,249372462,17.4145130748238,17.4825451138755,33684,121441439,27.7368254834332,27.9044996989273,9743,127931023,7.61582278600242,7.73432660363853
2017,45390,251489792,18.0484462764994,18.1476706725194,35500,122503357,28.9787976993969,29.1376919113305,9890,128986435,7.66747294008087,7.82843963254389
2018,46510,253452698,18.3505641750951,18.3739669741411,36452,123479524,29.5206839313699,29.5391750515991,10058,129973174,7.73851995027836,7.87887062317875
2019,45861,255241278,17.9677050512182,18.0324536691467,36110,124363710,29.0358015211994,29.0727323256774,9751,130877568,7.45047462984642,7.62673986671486
2020,44298,257269724,17.2185048871122,17.3572158137978,35375,126227770,28.0247365536126,28.2730768510036,8923,131041954,6.80926964810064,6.95736452382016
2021,46412,258418544,17.9600114146607,18.1323162058922,37150,126747045,29.3103480242873,29.5820388019789,9262,131671499,7.03417221672247,7.18520122559391
2022,47891,260046087,18.4163509447462,18.508243006354,38173,127500698,29.9394439393579,30.0639402569913,9718,132545389,7.33182804269412,7.48366360350503
2023,47711,262083034,18.2045358952919,18.3026222487259,37959,128490404,29.5422839514148,29.6465867914728,9752,133592630,7.2998038888822,7.42535800471227
"U.S. Adult Population Deaths by Suicide: Unadjusted Suicide Rates by Sex and Age Group, 2001-23",,,,,,,,,,,,
"Year
of
Death","Age
Group","Suicide
Deaths","Population
Estimate","Unadjusted
Rate per
100,000","Male Suicide
Deaths","Male
Population
Estimate","Male
Unadjusted
Rate per
100,000","Female
Age
Group","Female
Suicide
Deaths","Female
Population
Estimate","Female
Unadjusted
Rate per
100,000",
2001,18-34,8293,67464174,12.2924502121674,7014,34238909,20.4854658190189,18-34,1279,33225265,3.8494802073061,
2001,35-54,12577,84438020,14.8949489815133,9684,41748510,23.196037415467,35-54,2893,42689510,6.77684049313286,
2001,55-74,5749,43489474,13.2192907184851,4603,20402782,22.5606488370066,55+,1558,33727855,4.61932725932319,
2001,75+,2961,16906112,17.514375865959,2549,6264949,40.6866839618327,.,.,.,.,
2001,All,29580,212297780,13.9332592173126,23850,102655150,23.2331256639341,All,5730,109642630,5.22606945856735,
2002,18-34,8346,67830354,12.3042259222177,7005,34421265,20.3507918724079,18-34,1341,33409089,4.01387778038485,
2002,35-54,13159,84632843,15.5483374226245,10101,41835785,24.144401736456,35-54,3058,42797058,7.14535097248975,
2002,55-74,6081,45091867,13.4858022179476,4890,21221551,23.0426136148107,55+,1634,34611866,4.72092432115622,
2002,75+,3085,17133672,18.0054806698763,2642,6392122,41.3321272654058,.,.,.,.,
2002,All,30671,214688736,14.286264184815,24638,103870723,23.7198695536181,All,6033,110818013,5.44406079542322,
2003,18-34,8385,68160541,12.3018389774811,7016,34539808,20.3127938638223,18-34,1369,33620733,4.07189218628874,
2003,35-54,13083,84974160,15.3964452252308,10025,41990538,23.8744261862041,35-54,3058,42983622,7.11433764236993,
2003,55-74,6178,46509860,13.283204894618,4941,21942239,22.5182124759465,55+,1651,35408753,4.66268891197609,
2003,75+,2913,17362614,16.7774276384881,2499,6521482,38.3195108105796,.,.,.,.,
2003,All,30559,217007175,14.0820228639906,24481,104994067,23.3165555916602,All,6078,112013108,5.4261506608673,
2004,18-34,8646,68568735,12.6092453069172,7181,34761534,20.6578915648544,18-34,1465,33807201,4.33339630808241,
2004,35-54,13544,85430205,15.8538774429957,10145,42230342,24.0230117009235,35-54,3399,43199863,7.86808050757013,
2004,55-74,6290,47972837,13.1115864588121,4989,22676727,22.0005294414842,55+,1724,36201436,4.76224202818916,
2004,75+,2919,17535786,16.6459604377015,2496,6630460,37.6444469916114,.,.,.,.,
2004,All,31399,219507563,14.3042907364426,24811,106299063,23.3407513667359,All,6588,113208500,5.81935102046225,
2005,18-34,8455,68700193,12.3070978854455,6996,34813462,20.0956744836236,18-34,1459,33886731,4.30552005739356,
2005,35-54,13541,86001442,15.7450848324148,10332,42521570,24.2982561556405,35-54,3209,43479872,7.38042651091521,
2005,55-74,6554,49523194,13.2342029474109,5190,23456215,22.126331976408,55+,1814,37070269,4.89340932486894,
2005,75+,3060,17768101,17.2218741890312,2610,6764811,38.5820091647793,.,.,.,.,
2005,All,31610,221992930,14.2391922121123,25128,107556058,23.3627007787883,All,6482,114436872,5.66425828206839,
2006,18-34,8453,68998018,12.2510765454161,7032,34969724,20.1088232781019,18-34,1421,34028294,4.17593664848435,
2006,35-54,14017,86529960,16.1990136133196,10641,42790774,24.8675099917566,35-54,3376,43739186,7.71847926022218,
2006,55-74,6967,51133140,13.625214489077,5431,24250448,22.3954625498053,55+,1957,37962916,5.15503076739416,
2006,75+,2915,17961080,16.2295363085071,2494,6880856,36.2454903866612,.,.,.,.,
2006,All,32352,224622198,14.4028507814709,25598,108891802,23.507738442973,All,6754,115730396,5.83597761127509,
2007,18-34,8764,69521488,12.606174367269,7244,35215899,20.5702543615314,18-34,1520,34305589,4.4307649112219,
2007,35-54,14500,86736169,16.7173627417185,10976,42896205,25.5873450809926,35-54,3524,43839964,8.03832776869981,
2007,55-74,7513,52827161,14.2218507634737,5829,25082688,23.239136092591,55+,2095,38885273,5.38764380026341,
2007,75+,2977,18126984,16.4230298873767,2566,6986184,36.7296366657391,.,.,.,.,
2007,All,33754,227211802,14.8557423966912,26615,110180976,24.1557126885498,All,7139,117030826,6.10010220725948,
2008,18-34,8835,70401747,12.5494044913403,7266,35654216,20.3790766286938,18-34,1569,34747531,4.51542873650505,
2008,35-54,14990,86652933,17.2988951222228,11371,42859664,26.5307726164162,35-54,3619,43793269,8.26382702784759,
2008,55-74,8261,54662742,15.1126703450039,6558,25976735,25.2456669400523,55+,2131,39875476,5.34413683237286,
2008,75+,2959,18271942,16.1942282872833,2531,7082473,35.736105171174,.,.,.,.,
2008,All,35045,229989364,15.2376611641919,27726,111573088,24.8500785422377,All,7319,118416276,6.18073819514473,
2009,18-34,8898,71253688,12.4877746678881,7294,36066278,20.2238778284801,18-34,1604,35187410,4.55844860420247,
2009,35-54,15275,86354899,17.6886316548179,11611,42715435,27.1822117695863,35-54,3664,43639464,8.39607012588423,
2009,55-74,8725,56638699,15.4046617490278,6851,26934001,25.4362506335394,55+,2263,40927292,5.52931769832219,
2009,75+,2941,18390076,15.9923210757802,2552,7167482,35.6052516071893,.,.,.,.,
2009,All,35839,232637362,15.4055220072518,28308,112883196,25.0772488759089,All,7531,119754166,6.28871650277286,
2010,18-34,9600,71976259,13.3377312649717,7856,36425439,21.5673447339921,18-34,1744,35550820,4.90565337170845,
2010,35-54,15370,85967113,17.878930050844,11766,42525550,27.6680724881865,35-54,3604,43441563,8.29620241794707,
2010,55-74,9358,58639320,15.9585752358656,7287,27912948,26.1061640640752,55+,2474,42044736,5.88420866764391,
2010,75+,3020,18621818,16.2175357959142,2617,7303454,35.8323609623611,.,.,.,.,
2010,All,37348,235204510,15.8789472191668,29526,114167391,25.8620256987391,All,7822,121037119,6.46248032390791,
2011,18-34,10080,72887479,13.8295357972252,8192,36914069,22.1920807483998,18-34,1888,35973410,5.24832091258516,
2011,35-54,15457,85359670,18.1080831263757,11681,42228947,27.6611206999786,35-54,3776,43130723,8.75478020621171,
2011,55-74,9700,60555208,16.0184405608845,7572,28833388,26.2612218862383,55+,2549,43135815,5.90924270238084,
2011,75+,3142,18864316,16.6557854522793,2721,7450321,36.5219163040089,.,.,.,.,
2011,All,38379,237666673,16.1482464140018,30166,115426725,26.1343289433188,All,8213,122239948,6.71875285810822,
2012,18-34,10229,73688937,13.8813238681948,8287,37373587,22.1734135393533,18-34,1942,36315350,5.34760094560565,
2012,35-54,15620,84767675,18.4268354652879,11763,41945953,28.0432298200496,35-54,3857,42821722,9.00711092375034,
2012,55-74,10296,62569128,16.4553995382515,8032,29799970,26.9530472681684,55+,2692,44297746,6.07705863860432,
2012,75+,3281,19138948,17.1430530037492,2853,7610360,37.4883711151641,.,.,.,.,
2012,All,39426,240164688,16.4162351794199,30935,116729870,26.5013573646574,All,8491,123434818,6.87893427282406,
2013,18-34,10372,74360755,13.948217712421,8339,37753166,22.0882137408026,18-34,2033,36607589,5.55349329342613,
2013,35-54,15172,84195433,18.0199797772879,11396,41672494,27.3465754173484,35-54,3776,42522939,8.87991302764844,
2013,55-74,10929,64474175,16.9509730058586,8445,30711647,27.4977112103431,55+,2915,45416763,6.41833500991694,
2013,75+,3421,19437850,17.5996830925231,2990,7783615,38.414027415282,.,.,.,.,
2013,All,39894,242468213,16.4532907247516,31170,117920922,26.4329683582359,All,8724,124547291,7.0045682486984,
2014,18-34,10748,74913784,14.3471593959264,8662,38066906,22.754673048553,18-34,2086,36846878,5.66126660717361,
2014,35-54,15489,83732763,18.4981355505968,11471,41457230,27.6694800882741,35-54,4018,42275533,9.50431541572758,
2014,55-74,11654,66340998,17.5668144154238,8975,31597340,28.404289728186,55+,3156,46565397,6.77756489437855,
2014,75+,3587,19805567,18.1110694785966,3110,7983828,38.9537449955084,.,.,.,.,
2014,All,41478,244793112,16.9441042115597,32218,119105304,27.0500128189086,All,9260,125687808,7.36746081210996,
2015,18-34,11452,75229427,15.2227664847161,9153,38257277,23.9248600991649,18-34,2299,36972150,6.21819396491684,
2015,35-54,15687,83453731,18.7972422706901,11634,41342363,28.1406266013387,35-54,4053,42111368,9.62447954671053,
2015,55-74,11940,68234464,17.4984887402354,9068,32504105,27.8980147276782,55+,3412,47717338,7.15044078946734,
2015,75+,3711,20167652,18.4007538408537,3171,8180673,38.7620920674864,.,.,.,.,
2015,All,42790,247085274,17.3179078248103,33026,120284418,27.4565904288617,All,9764,126800856,7.70026347456203,
2016,18-34,11997,75604924,15.8680140991875,9693,38479615,25.1899609702436,18-34,2304,37125309,6.2060089520063,
2016,35-54,15467,83167188,18.5974786113966,11492,41219179,27.8802253679046,35-54,3975,41948009,9.47601589386519,
2016,55-74,12162,69984998,17.378010070101,9208,33333392,27.6239513818456,55+,3464,48857705,7.08997690333592,
2016,75+,3801,20615352,18.4377157372816,3291,8409253,39.1354618537461,.,.,.,.,
2016,All,43427,249372462,17.4145130748238,33684,121441439,27.7368254834332,All,9743,127931023,7.61582278600242,
2017,18-34,12944,75863497,17.0622242736846,10448,38630654,27.0458791611449,18-34,2496,37232843,6.70375882926802,
2017,35-54,15896,82994954,19.1529716372877,11927,41151402,28.9832166593012,35-54,3969,41843552,9.48533241155053,
2017,55-74,12602,71479936,17.6301221086712,9678,34040230,28.4310652425086,55+,3425,49910040,6.86234673424425,
2017,75+,3948,21151405,18.6654267175159,3447,8681071,39.7070822252231,.,.,.,.,
2017,All,45390,251489792,18.0484462764994,35500,122503357,28.9787976993969,All,9890,128986435,7.66747294008087,
2018,18-34,13002,76075062,17.0910146612828,10424,38753198,26.8984252602843,18-34,2578,37321864,6.90747921915154,
2018,35-54,15866,82803754,19.1609670257221,11981,41075694,29.1681012133356,35-54,3885,41728060,9.31028185829871,
2018,55-74,13514,72664283,18.5978577673436,10434,34598834,30.1570856405161,55+,3595,50923250,7.0596436794588,
2018,75+,4128,21909599,18.8410568354081,3613,9051798,39.9147219149168,.,.,.,.,
2018,All,46510,253452698,18.3505641750951,36452,123479524,29.5206839313699,All,10058,129973174,7.73851995027836,
2019,18-34,12913,76238551,16.937625165515,10529,38848044,27.1030376716007,18-34,2384,37390507,6.37594991691341,
2019,35-54,15537,82534767,18.8247941621983,11671,40963694,28.4910828598612,35-54,3866,41571073,9.29973590049023,
2019,55-74,13105,73902569,17.7328070963271,10172,35181315,28.9130750229206,55+,3501,51915988,6.74358735116435,
2019,75+,4306,22565391,19.082319468783,3738,9370657,39.8904793975492,.,.,.,.,
2019,All,45861,255241278,17.9677050512182,36110,124363710,29.0358015211994,All,9751,130877568,7.45047462984642,
2020,18-34,13438,75766356,17.736104399689,10956,38500240,28.4569654630724,18-34,2482,37266116,6.66020574829961,
2020,35-54,14563,83999511,17.337005688045,11237,42122710,26.6768211257063,35-54,3326,41876801,7.94234497520477,
2020,55-74,11876,75620577,15.704720158377,9282,36438850,25.4728126710914,55+,3115,51899037,6.00203814957106,
2020,75+,4421,21883280,20.2026387269185,3900,9165970,42.5486882457612,.,.,.,.,
2020,All,44298,257269724,17.2185048871122,35375,126227770,28.0247365536126,All,8923,131041954,6.80926964810064,
2021,18-34,14230,75634160,18.8142500690164,11626,38425071,30.2562876201322,18-34,2604,37209089,6.99829012207206,
2021,35-54,15263,84114464,18.1455118111434,11869,42179366,28.1393513596198,35-54,3394,41935098,8.0934590876597,
2021,55-74,12411,76418052,16.2409269474705,9708,36797917,26.3819280857664,55+,3264,52527312,6.2139102035147,
2021,75+,4508,22251868,20.2589733140606,3947,9344691,42.2378867316212,.,.,.,.,
2021,All,46412,258418544,17.9600114146607,37150,126747045,29.3103480242873,All,9262,131671499,7.03417221672247,
2022,18-34,13623,75862226,17.9575537369547,10921,38533546,28.3415390838933,18-34,2702,37328680,7.23840221513325,
2022,35-54,15966,84405645,18.9157964493963,12439,42319195,29.39328122853,35-54,3527,42086450,8.38036945382659,
2022,55-74,13260,76307872,17.3769752090584,10418,36718969,28.3722563125343,55+,3489,53130259,6.56687933706478,
2022,75+,5042,23470344,21.4824290602643,4395,9928988,44.2643298591961,.,.,.,.,
2022,All,47891,260046087,18.4163509447462,38173,127500698,29.9394439393579,All,9718,132545389,7.33182804269412,
2023,18-34,13272,76095788,17.4411755878,10729,38655674,27.7553044347384,18-34,2543,37440114,6.79218017338302,
2023,35-54,16186,84884474,19.0682691866595,12622,42549345,29.6643814375991,35-54,3564,42335129,8.41854054584315,
2023,55-74,13278,76539695,17.3478611327103,10356,36838925,28.1115694879804,55+,3645,53817387,6.77290408023712,
2023,75+,4975,24563077,20.2539771381248,4252,10446460,40.7027835266684,.,.,.,.,
2023,All,47711,262083034,18.2045358952919,37959,128490404,29.5422839514148,All,9752,133592630,7.2998038888822,
