Year,Suicide_Deaths,Population_Estimate,Unadjusted_Rate_per_100000,Age_Adjusted_Rate_per_100000,Male_Suicide_Deaths,Male_Population,Male_Unadjusted_Rate,Male_Age_Adjusted_Rate,Female_Suicide_Deaths,Female_Population,Female_Unadjusted_Rate,Female_Age_Adjusted_Rate
2001,6021,25903000,23.2444118441879,24.133662732914,5861,24256000,24.1630936675462,25.6769040310084,155,1647000,9.41105039465695,9.06405857547983
2002,6163,25504000,24.1648368883312,24.7531832253935,6027,23818000,25.3043916365774,26.6194288525125,134,1686000,7.94780545670226,7.60496416553024
2003,6022,25148000,23.9462382694449,25.7478703963339,5868,23426000,25.0490907538632,27.7076883029642,153,1722000,8.88501742160279,8.90453366361715
2004,6021,24887000,24.1933539598988,25.2835628070821,5851,23124000,25.3027157931154,27.1590977399454,167,1763000,9.47249007373795,9.41921625373794
2005,6149,24692000,24.9028025271343,25.5928281451424,5958,22851000,26.0732571878692,27.482363489365,189,1841000,10.2661596958175,10.3939651947434
2006,6050,24252000,24.9463961735115,25.2267366382139,5872,22414000,26.1979120192737,27.2601068853906,174,1838000,9.46681175190425,9.26995883274324
2007,6260,23810000,26.2914741705166,26.6258704204518,6073,22002000,27.6020361785292,28.8668708240395,185,1808000,10.2323008849558,9.9832919223312
2008,6579,23483000,28.0160115828472,28.5020410243913,6369,21709000,29.3380625547008,30.8942292437623,208,1774000,11.7249154453213,11.6205207607525
2009,6537,23123000,28.2705531289193,28.688399529841,6310,21325000,29.5896834701055,30.804417876219,226,1798000,12.5695216907675,12.6833762923995
2010,6561,22906000,28.6431502663058,29.1411181823032,6323,21101000,29.9654044831999,31.5172300125014,235,1805000,13.0193905817175,12.7787685952833
2011,6470,22621000,28.6017417443968,29.8292284578228,6211,20804000,29.8548356085368,32.1774994771145,258,1817000,14.1992294991745,14.0589838368411
2012,6453,22332000,28.895754970446,30.53370990971,6212,20475000,30.3394383394383,33.2781737537877,241,1857000,12.9779213785676,12.8045012959297
2013,6523,22154000,29.4438927507448,31.5271169441433,6267,20266000,30.9237145958749,34.3541640992057,253,1888000,13.4004237288136,13.5114717285415
2014,6667,21859000,30.5000228738735,32.3242881419335,6372,19949000,31.9414506992832,35.0401036699308,295,1910000,15.4450261780105,15.241201321221
2015,6631,21448000,30.9166355837374,33.5136614355946,6324,19520000,32.3975409836066,36.4538247201703,307,1928000,15.9232365145228,15.7501051105661
2016,6491,21072000,30.8039104024298,33.6669835308293,6212,19143000,32.4505041007157,36.9273613842047,277,1929000,14.3597719025402,14.1497853133882
2017,6718,20690000,32.4697921701305,35.1318686980351,6410,18730000,34.2231713828083,38.2364286220433,305,1960000,15.5612244897959,16.050508111973
2018,6738,20411000,33.0116113860173,35.837485588907,6445,18415000,34.9986424110779,39.1449475715841,293,1996000,14.6793587174349,15.582151663361
2019,6510,20028000,32.5044937088077,34.8947219141907,6212,18009000,34.4938641790216,38.3259602008569,296,2019000,14.6607231302625,14.775820258381
2020,6347,19521000,32.5137031914349,35.1993377314019,6063,17503000,34.6397760383934,38.7206863613657,284,2018000,14.0733399405352,14.8806823174637
2021,6429,18999000,33.8386230854256,37.8153244684686,6071,16982000,35.7496172417854,41.1964438850886,353,2017000,17.5012394645513,18.5373284095549
2022,6442,18573000,34.6847574436009,37.937443055308,6164,16547000,37.2514655224512,42.1947650546878,278,2026000,13.7216189536032,14.467771660015
2023,6398,18178000,35.1963912421609,39.0214404523353,6091,16127000,37.76895888882,43.4838354766211,286,2051000,13.9444173573866,14.8700725552099
"Veteran Deaths by Suicide: Unadjusted Suicide Rates by Sex and Age Group, 2001-23",,,,,,,,,,,,
"Year
of
Death","Age
Group","Suicide
Deaths","Population
Estimate","Unadjusted
Rate per
100,000","Male Suicide
Deaths","Male
Population
Estimate","Male
Unadjusted
Rate per
100,000","Female
Age
Group","Female
Suicide
Deaths","Female
Population
Estimate","Female
Unadjusted
Rate per
100,000",
2001,18-34,618,2688000,22.9910714285714,588,2282000,25.7668711656442,18-34,30,406000,7.38916256157636,
2001,35-54,2517,8987000,28.0071213975743,2407,8219000,29.2858011923592,35-54,108,768000,14.0625,
2001,55-74,1701,9773000,17.4050956717487,1688,9523000,17.7255066680668,55+,17,473000,3.59408033826639,
2001,75+,1181,4455000,26.5095398428732,1174,4232000,27.7410207939509,.,.,.,.,
2001,All,6021,25903000,23.2444118441879,5861,24256000,24.1630936675462,All,155,1647000,9.41105039465695,
2002,18-34,591,2577000,22.9336437718277,567,2170000,26.1290322580645,18-34,24,407000,5.8968058968059,
2002,35-54,2440,8524000,28.6250586579071,2350,7745000,30.3421562298257,35-54,90,779000,11.5532734274711,
2002,55-74,1832,9804000,18.6862505099959,1820,9520000,19.1176470588235,55+,20,500000,4,
2002,75+,1290,4599000,28.0495759947815,1280,4383000,29.2037417294091,.,.,.,.,
2002,All,6163,25504000,24.1648368883312,6027,23818000,25.3043916365774,All,134,1686000,7.94780545670226,
2003,18-34,667,2482000,26.8734891216761,626,2073000,30.1977809937289,18-34,41,409000,10.0244498777506,
2003,35-54,2325,8115000,28.6506469500924,2233,7318000,30.5138015851326,35-54,92,797000,11.543287327478,
2003,55-74,1825,9887000,18.4585819763326,1812,9586000,18.9025662424369,55+,20,516000,3.87596899224806,
2003,75+,1196,4664000,25.6432246998285,1188,4449000,26.7026298044504,.,.,.,.,
2003,All,6022,25148000,23.9462382694449,5868,23426000,25.0490907538632,All,153,1722000,8.88501742160279,
2004,18-34,588,2397000,24.5306633291615,551,1992000,27.6606425702811,18-34,37,405000,9.1358024691358,
2004,35-54,2240,7816000,28.6591606960082,2131,7004000,30.4254711593375,35-54,109,812000,13.423645320197,
2004,55-74,1904,9875000,19.2810126582279,1889,9560000,19.7594142259414,55+,21,546000,3.84615384615385,
2004,75+,1285,4799000,26.7764117524484,1276,4568000,27.9334500875657,.,.,.,.,
2004,All,6021,24887000,24.1933539598988,5851,23124000,25.3027157931154,All,167,1763000,9.47249007373795,
2005,18-34,578,2313000,24.9891915261565,535,1901000,28.1430825881115,18-34,43,412000,10.4368932038835,
2005,35-54,2143,7632000,28.0791404612159,2026,6796000,29.8116539140671,35-54,117,836000,13.9952153110048,
2005,55-74,2007,9828000,20.4212454212454,1983,9479000,20.9199282624749,55+,29,593000,4.89038785834739,
2005,75+,1416,4919000,28.786338686725,1409,4675000,30.1390374331551,.,.,.,.,
2005,All,6149,24692000,24.9028025271343,5958,22851000,26.0732571878692,All,189,1841000,10.2661596958175,
2006,18-34,531,2242000,23.6842105263158,498,1834000,27.1537622682661,18-34,33,408000,8.08823529411765,
2006,35-54,2080,7477000,27.8186438411128,1964,6623000,29.6542352408274,35-54,113,854000,13.231850117096,
2006,55-74,2063,9618000,21.4493657725099,2044,9270000,22.049622437972,55+,28,576000,4.86111111111111,
2006,75+,1374,4915000,27.9552390640895,1364,4687000,29.1017708555579,.,.,.,.,
2006,All,6050,24252000,24.9463961735115,5872,22414000,26.1979120192737,All,174,1838000,9.46681175190425,
2007,18-34,562,2205000,25.4875283446712,527,1796000,29.3429844097996,18-34,35,409000,8.55745721271394,
2007,35-54,2110,7285000,28.9636238846946,1995,6421000,31.0699268026787,35-54,114,864000,13.1944444444444,
2007,55-74,2128,9411000,22.6118372117735,2098,9071000,23.1286517473266,55+,35,535000,6.54205607476636,
2007,75+,1456,4909000,29.6598085149725,1450,4714000,30.7594399660586,.,.,.,.,
2007,All,6260,23810000,26.2914741705166,6073,22002000,27.6020361785292,All,185,1808000,10.2323008849558,
2008,18-34,604,2166000,27.8855032317636,561,1754000,31.9840364880274,18-34,43,412000,10.4368932038835,
