State,State_Abbrev,Veteran_Suicide_Deaths_2023
Alabama,AL,122
Alaska,AK,25
Arizona,AZ,223
Arkansas,AR,105
California,CA,389
Colorado,CO,178
Connecticut,CT,41
Delaware,DE,19
District of Columbia,DC,*
Florida,FL,550
Georgia,GA,200
Hawaii,HI,26
Idaho,ID,63
Illinois,IL,160
Indiana,IN,149
Iowa,IA,67
Kansas,KS,79
Kentucky,KY,103
Louisiana,LA,83
Maine,ME,41
Maryland,MD,64
Massachusetts,MA,62
Michigan,MI,180
Minnesota,MN,80
Mississippi,MS,63
Missouri,MO,147
Montana,MT,48
Nebraska,NE,38
Nevada,NV,128
New Hampshire,NH,32
New Jersey,NJ,42
New Mexico,NM,52
New York,NY,167
North Carolina,NC,228
North Dakota,ND,20
Ohio,OH,254
Oklahoma,OK,161
Oregon,OR,114
Pennsylvania,PA,268
Rhode Island,RI,13
South Carolina,SC,131
South Dakota,SD,25
Tennessee,TN,210
Texas,TX,581
Utah,UT,78
Vermont,VT,*
Virginia,VA,172
Washington,WA,186
West Virginia,WV,69
Wisconsin,WI,130
Wyoming,WY,21
