Year,Geographic Region,State,Group Method,Method,Suicides,Group Percentage
2001,All,U.S. Total,Veteran Method,Firearms,"4,002",66.5
2001,All,U.S. Total,Veteran Method,Poisoning,795,13.2
2001,All,U.S. Total,Veteran Method,Suffocation,838,13.9
2001,All,U.S. Total,Veteran Method,Other suicide,386,6.4
2001,Northeastern,Region Total,Veteran Method,Firearms,431,56.2
2001,Northeastern,Region Total,Veteran Method,Poisoning,101,13.2
2001,Northeastern,Region Total,Veteran Method,Suffocation,141,18.4
2001,Northeastern,Region Total,Veteran Method,Other suicide,94,12.3
2001,Northeastern,Connecticut,Veteran Method,Firearms,27,58.7
2001,Northeastern,Connecticut,Veteran Method,Other and low-count methods,19,41.3
2001,Northeastern,Maine,Veteran Method,Firearms,21,55.3
2001,Northeastern,Maine,Veteran Method,Other and low-count methods,17,44.7
2001,Northeastern,Massachusetts,Veteran Method,Firearms,39,47
2001,Northeastern,Massachusetts,Veteran Method,Other suicide,18,21.7
2001,Northeastern,Massachusetts,Veteran Method,Other and low-count methods,26,31.3
2001,Northeastern,New Hampshire,Veteran Method,Firearms,19,65.5
2001,Northeastern,New Hampshire,Veteran Method,Other and low-count methods,10,34.5
2001,Northeastern,New Jersey,Veteran Method,Firearms,41,44.1
2001,Northeastern,New Jersey,Veteran Method,Poisoning,21,22.6
2001,Northeastern,New Jersey,Veteran Method,Suffocation,19,20.4
2001,Northeastern,New Jersey,Veteran Method,Other suicide,12,12.9
2001,Northeastern,New York,Veteran Method,Firearms,92,54.4
2001,Northeastern,New York,Veteran Method,Poisoning,20,11.8
2001,Northeastern,New York,Veteran Method,Suffocation,26,15.4
2001,Northeastern,New York,Veteran Method,Other suicide,31,18.3
2001,Northeastern,Pennsylvania,Veteran Method,Firearms,173,63.8
2001,Northeastern,Pennsylvania,Veteran Method,Poisoning,28,10.3
2001,Northeastern,Pennsylvania,Veteran Method,Suffocation,52,19.2
2001,Northeastern,Pennsylvania,Veteran Method,Other suicide,18,6.6
2001,Northeastern,Rhode Island,Veteran Method,Other and low-count methods,17,100
2001,Northeastern,Vermont,Veteran Method,Other and low-count methods,21,100
2001,Midwestern,Region Total,Veteran Method,Firearms,889,63.7
2001,Midwestern,Region Total,Veteran Method,Poisoning,212,15.2
2001,Midwestern,Region Total,Veteran Method,Suffocation,212,15.2
2001,Midwestern,Region Total,Veteran Method,Other suicide,82,5.9
2001,Midwestern,Illinois,Veteran Method,Firearms,127,61.7
2001,Midwestern,Illinois,Veteran Method,Poisoning,31,15
2001,Midwestern,Illinois,Veteran Method,Suffocation,36,17.5
2001,Midwestern,Illinois,Veteran Method,Other suicide,12,5.8
2001,Midwestern,Indiana,Veteran Method,Firearms,91,64.5
2001,Midwestern,Indiana,Veteran Method,Poisoning,16,11.3
2001,Midwestern,Indiana,Veteran Method,Suffocation,23,16.3
2001,Midwestern,Indiana,Veteran Method,Other suicide,11,7.8
2001,Midwestern,Iowa,Veteran Method,Firearms,45,61.6
2001,Midwestern,Iowa,Veteran Method,Poisoning,14,19.2
2001,Midwestern,Iowa,Veteran Method,Other and low-count methods,14,19.2
2001,Midwestern,Kansas,Veteran Method,Firearms,41,65.1
2001,Midwestern,Kansas,Veteran Method,Poisoning,11,17.5
2001,Midwestern,Kansas,Veteran Method,Other and low-count methods,11,17.5
2001,Midwestern,Michigan,Veteran Method,Firearms,119,65.4
2001,Midwestern,Michigan,Veteran Method,Poisoning,29,15.9
2001,Midwestern,Michigan,Veteran Method,Other and low-count methods,34,18.7
2001,Midwestern,Minnesota,Veteran Method,Firearms,56,57.7
2001,Midwestern,Minnesota,Veteran Method,Poisoning,19,19.6
2001,Midwestern,Minnesota,Veteran Method,Suffocation,11,11.3
2001,Midwestern,Minnesota,Veteran Method,Other suicide,11,11.3
2001,Midwestern,Missouri,Veteran Method,Firearms,96,65.8
2001,Midwestern,Missouri,Veteran Method,Poisoning,23,15.8
2001,Midwestern,Missouri,Veteran Method,Other and low-count methods,27,18.5
2001,Midwestern,Nebraska,Veteran Method,Firearms,25,69.4
2001,Midwestern,Nebraska,Veteran Method,Other and low-count methods,11,30.6
2001,Midwestern,North Dakota,Veteran Method,Firearms,11,47.8
2001,Midwestern,North Dakota,Veteran Method,Other and low-count methods,12,52.2
2001,Midwestern,Ohio,Veteran Method,Firearms,183,64
2001,Midwestern,Ohio,Veteran Method,Poisoning,37,12.9
2001,Midwestern,Ohio,Veteran Method,Suffocation,47,16.4
2001,Midwestern,Ohio,Veteran Method,Other suicide,19,6.6
2001,Midwestern,South Dakota,Veteran Method,Firearms,11,40.7
2001,Midwestern,South Dakota,Veteran Method,Other and low-count methods,16,59.3
2001,Midwestern,Wisconsin,Veteran Method,Firearms,84,73
2001,Midwestern,Wisconsin,Veteran Method,Suffocation,13,11.3
2001,Midwestern,Wisconsin,Veteran Method,Other and low-count methods,18,15.7
2001,Southern,Region Total,Veteran Method,Firearms,"1,694",71
2001,Southern,Region Total,Veteran Method,Poisoning,305,12.8
2001,Southern,Region Total,Veteran Method,Suffocation,261,10.9
2001,Southern,Region Total,Veteran Method,Other suicide,126,5.3
2001,Southern,Alabama,Veteran Method,Firearms,81,77.9
2001,Southern,Alabama,Veteran Method,Other and low-count methods,23,22.1
2001,Southern,Arkansas,Veteran Method,Firearms,56,75.7
2001,Southern,Arkansas,Veteran Method,Other and low-count methods,18,24.3
2001,Southern,Delaware,Veteran Method,Other and low-count methods,22,100
2001,Southern,District of Columbia,Veteran Method,Other and low-count methods,<10, 
2001,Southern,Florida,Veteran Method,Firearms,337,64.7
2001,Southern,Florida,Veteran Method,Poisoning,85,16.3
2001,Southern,Florida,Veteran Method,Suffocation,57,10.9
