Year,Region,State,Veteran_Suicides,Population_Estimate,Suicide_Rate_per_100000
2001,Northeastern,Connecticut,46,298000,15.4
2001,Northeastern,Maine,38,151000,25.2
2001,Northeastern,Massachusetts,83,531000,15.6
2001,Northeastern,New Hampshire,29,137000,21.2
2001,Northeastern,New Jersey,93,631000,14.7
2001,Northeastern,New York,169,1295000,13.1
2001,Northeastern,Pennsylvania,271,1228000,22.1
2001,Northeastern,Rhode Island,17,95000,17.9*
2001,Northeastern,Vermont,21,58000,36.2
2001,Midwestern,Illinois,206,970000,21.2
2001,Midwestern,Indiana,141,579000,24.4
2001,Midwestern,Iowa,73,282000,25.9
2001,Midwestern,Kansas,63,262000,24
2001,Midwestern,Michigan,182,884000,20.6
2001,Midwestern,Minnesota,97,453000,21.4
2001,Midwestern,Missouri,146,580000,25.2
2001,Midwestern,Nebraska,36,166000,21.7
2001,Midwestern,North Dakota,23,61000,37.7
2001,Midwestern,Ohio,286,1109000,25.8
2001,Midwestern,South Dakota,27,79000,34.2
2001,Midwestern,Wisconsin,115,502000,22.9
2001,Southern,Alabama,104,443000,23.5
2001,Southern,Arkansas,74,281000,26.3
2001,Southern,Delaware,22,81000,27.2
2001,Southern,District of Columbia,<10,40000,--
2001,Southern,Florida,521,1853000,28.1
2001,Southern,Georgia,154,782000,19.7
2001,Southern,Kentucky,74,378000,19.6
2001,Southern,Louisiana,102,383000,26.6
2001,Southern,Maryland,80,520000,15.4
2001,Southern,Mississippi,64,246000,26
2001,Southern,North Carolina,185,799000,23.2
2001,Southern,Oklahoma,107,368000,29.1
2001,Southern,South Carolina,94,422000,22.3
2001,Southern,Tennessee,151,552000,27.4
2001,Southern,Texas,421,1763000,23.9
2001,Southern,Virginia,159,804000,19.8
2001,Southern,West Virginia,68,194000,35.1
2001,Western,Alaska,15,72000,20.8*
2001,Western,Arizona,169,567000,29.8
2001,Western,California,476,2491000,19.1
2001,Western,Colorado,143,448000,31.9
2001,Western,Hawaii,31,119000,26.1
2001,Western,Idaho,36,137000,26.3
2001,Western,Montana,43,105000,41
2001,Western,Nevada,115,242000,47.5
2001,Western,New Mexico,78,190000,41.1
2001,Western,Oregon,129,383000,33.7
2001,Western,Utah,57,160000,35.6
2001,Western,Washington,162,673000,24.1
2001,Western,Wyoming,19,56000,33.9*
2001,All,U.S. Total,6021,25903000,23.2
2002,Northeastern,Connecticut,45,288000,15.6
2002,Northeastern,Maine,38,151000,25.2
2002,Northeastern,Massachusetts,84,516000,16.3
2002,Northeastern,New Hampshire,29,136000,21.3
2002,Northeastern,New Jersey,87,606000,14.4
