State,Age_Under20,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85plus,Grand_Total
Alabama,63,3103,10614,16199,19211,21680,21751,30078,33984,38372,36085,33953,40035,20149,17722
Alaska,10,1221,3423,4860,5704,6206,5317,5959,6550,7590,6751,5844,6498,3103,1970
Arizona,135,4403,15502,22069,25187,27586,25530,32095,37768,43855,43857,49113,71809,39992,34475
Arkansas,40,1486,6207,9620,11241,12516,11903,16685,18734,21025,20206,22817,24302,12681,13620
California,538,18042,56170,77893,90602,100243,90877,101517,117195,134985,134835,136522,179721,108113,127681
Colorado,186,5404,16271,23515,26201,26031,23691,29623,32739,34736,32974,33756,41029,19661,22294
Connecticut,23,1314,4304,6514,7666,8698,8246,9964,12456,15709,14133,12333,21678,13402,15755
Delaware,4,438,1546,2337,2673,3297,3138,4101,5749,7564,6621,7641,9035,4960,4286
District of Columbia,1,121,758,1582,2031,2430,1992,2179,2550,3268,3083,2255,1973,1619,2073
Florida,252,10992,37835,56603,68457,80630,80065,101339,122700,150204,138026,136160,192050,115682,121968
Georgia,220,8043,25669,36765,40239,43864,43608,58209,67328,73795,64602,58857,69402,38166,33616
Hawaii,21,1599,5235,6683,7954,9475,7739,8083,9469,10432,9212,8890,11566,6251,8736
Idaho,20,1119,3812,6220,7220,7889,7176,8972,10697,11500,11156,12363,16360,8987,8794
Illinois,518,24011,52636,47060,34556,37874,32848,42156,49234,50975,45012,50935,71629,37639,44145
Indiana,94,3080,11426,17741,20467,20403,19105,29363,37082,41310,36364,39217,49033,24215,22466
Iowa,31,1624,5438,7965,9655,10041,9597,13047,16937,17813,15587,22067,24070,13984,13780
Kansas,42,2585,7231,9633,11474,12224,11521,14043,15585,16745,15933,18348,21135,12869,11903
Kentucky,44,2787,8926,11830,14684,16199,16428,22407,26704,28798,25712,26913,30128,15705,14898
Louisiana,59,2885,8669,11834,14649,19479,18794,24414,24522,22691,23264,25544,30144,16560,13875
Maine,19,599,2262,3940,4965,5129,5590,7493,9544,12342,11313,11184,16086,8444,7924
Maryland,89,2948,9631,16000,20265,25653,25127,30272,36203,41677,34445,33647,37626,22331,24183
Massachusetts,27,1592,7109,11670,13452,13585,13373,18147,23516,29654,26401,26392,39591,21038,28386
Michigan,81,2935,11427,18766,23198,23329,23352,37048,47841,53230,47878,56025,75473,39031,40119
Minnesota,38,2265,8558,12321,15150,15263,13412,18964,25560,28496,27109,33054,47191,22924,25399
Mississippi,39,1901,6431,9522,10984,12959,12605,16067,17777,20045,17946,17767,18682,9635,10077
Missouri,86,3411,14117,18638,22000,23895,22064,29664,35003,41057,38290,40709,49793,25617,27212
Montana,14,777,2692,4189,5410,5888,5295,6630,7646,8160,7949,10595,10048,6535,6714
Nebraska,20,1033,3543,5831,7271,7955,7346,9735,11502,12222,10223,11403,16268,6913,9156
Nevada,56,1821,7204,10457,12065,13303,11957,14563,18083,20931,20395,20882,29303,15521,12139
New Hampshire,8,612,2563,4047,4786,4655,4609,6418,8260,10756,10132,9501,12524,7222,6797
New Jersey,95,3192,9511,13404,15757,16984,15535,19348,24009,28933,25941,26174,49907,24537,34283
New Mexico,29,1343,4476,6765,8160,10093,9482,11771,13419,16545,15644,16420,18376,11238,9649
New York,194,5845,18163,27615,33561,36952,34669,43242,59536,70545,62755,58788,95175,48462,66903
North Carolina,135,8723,29489,38083,42009,44471,43857,56003,62783,69459,64875,67514,81839,41591,38104
North Dakota,3,550,1921,2992,3566,3897,3236,3955,4767,4769,4264,4330,4964,2512,2779
Ohio,110,5337,19285,27882,33953,35799,34929,51745,65738,72610,65664,72750,91571,44378,47428
Oklahoma,128,3652,10311,15541,18681,21387,19188,22788,24084,24932,25949,30268,29708,20443,15421
Oregon,43,1760,6418,10930,13824,14710,13695,18485,22776,25481,26394,30997,40135,19627,20481
Pennsylvania,60,4184,17250,26254,31849,35066,34525,47467,63985,70721,63829,70663,103579,55899,62870
Rhode Island,21,655,1706,2767,2965,2915,2893,3458,4708,6219,5165,4520,8526,3014,5472
South Carolina,751,7278,15487,19430,22198,24362,24328,30995,35312,40847,36230,36272,49782,22689,24428
South Dakota,11,535,2009,2966,3812,4391,4064,5180,6297,7109,6233,6599,8358,3581,2953
Tennessee,127,3940,14507,21661,24234,25198,24407,34855,41343,46062,42780,45825,54464,28772,26471
Texas,646,22040,67604,92060,112388,126613,114636,137595,137606,137450,135167,133741,160439,82957,77484
Utah,52,1371,5190,7838,8947,9901,8946,9701,10327,10898,10491,12143,16251,8255,9471
Vermont,1,270,889,1524,1804,1754,1852,2582,3527,4723,4291,3997,4855,3338,3183
Virginia,122,6182,23006,35857,45524,55996,54656,64565,69348,73759,64130,58798,65639,31853,36069
Washington,67,4256,16322,25975,31412,34611,31777,38781,46288,50038,50210,50351,66892,32769,30109
West Virginia,20,879,3139,4633,5928,7253,7799,10786,12110,12073,11426,14213,14994,10324,8343
Wisconsin,86,2493,9139,13629,16943,16919,15540,22556,30688,32973,31121,36355,48475,24411,25867
Wyoming,14,461,1431,2380,2803,3337,3032,3764,4174,4228,4288,4914,6211,2716,1691
Puerto Rico,5,633,2154,3331,3395,4127,4334,4452,5064,7856,8710,7284,10303,8483,9678
Island Areas & Foreign,6,1717,5621,8026,11112,13346,11871,10412,8750,7641,5780,4618,3838,1751,1472
