year,state,pct_children_tested_for_lead,source,measure,note
2011,Massachusetts,49.179,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2011,New Mexico,8.544,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2011,Iowa,31.555,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2011,Vermont,26.633,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2011,Missouri,20.358,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2011,Utah,1.522,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Wisconsin,23.626,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,New Hampshire,18.091,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Nevada,6.236,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Delaware,17.745,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Mississippi,19.688,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Michigan,21.291,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Maryland,27.046,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,New York,33.822,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,District Of Columbia,35.936,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Louisiana,16.365,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Kentucky,6.038,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Kansas,14.32,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Florida,16.547,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Indiana,11.561,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Illinois,16.846,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Connecticut,34.687,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Georgia,15.731,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Texas,16.517,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Oregon,5.356,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Alabama,10.983,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Rhode Island,41.791,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Pennsylvania,18.296,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Arizona,12.896,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Virginia,16.625,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,West Virginia,8.987,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Oklahoma,13.157,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2010,Ohio,18.625,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
2009,North Carolina,21.964,CDC CBLS via Utah OpenData (a5ux-a3ky),Percent of children tested for blood lead,State-level only. County-level data available from CDC EPHT when online.
