county_fips,NAME,total_pop,children_under_5,children_under_10,pct_children_under5
01001,"Autauga County, Alabama",58761,3370,6684,5.74
01003,"Baldwin County, Alabama",233420,12104,24269,5.19
01005,"Barbour County, Alabama",24877,1299,2915,5.22
01007,"Bibb County, Alabama",22251,1157,2595,5.2
01009,"Blount County, Alabama",59077,3410,6935,5.77
01011,"Bullock County, Alabama",10328,562,1164,5.44
01013,"Butler County, Alabama",18981,1054,2134,5.55
01015,"Calhoun County, Alabama",116162,6503,12970,5.6
01017,"Chambers County, Alabama",34612,2086,3697,6.03
01019,"Cherokee County, Alabama",25069,1151,2233,4.59
01021,"Chilton County, Alabama",45140,2709,6058,6.0
01023,"Choctaw County, Alabama",12669,686,1271,5.41
01025,"Clarke County, Alabama",23058,1421,2609,6.16
01027,"Clay County, Alabama",14209,745,1564,5.24
01029,"Cleburne County, Alabama",15144,901,1955,5.95
01031,"Coffee County, Alabama",53559,3168,6472,5.91
01033,"Colbert County, Alabama",57270,3158,6284,5.51
01035,"Conecuh County, Alabama",11576,465,1171,4.02
01037,"Coosa County, Alabama",10329,464,754,4.49
01039,"Covington County, Alabama",37542,2147,4219,5.72
01041,"Crenshaw County, Alabama",13205,708,1564,5.36
01043,"Cullman County, Alabama",88284,5173,10671,5.86
01045,"Dale County, Alabama",49455,3243,6513,6.56
01047,"Dallas County, Alabama",38326,2284,4706,5.96
01049,"DeKalb County, Alabama",71680,4110,8256,5.73
01051,"Elmore County, Alabama",87694,4785,9835,5.46
01053,"Escambia County, Alabama",36755,2119,4328,5.77
01055,"Etowah County, Alabama",103348,5943,11857,5.75
01057,"Fayette County, Alabama",16297,846,1734,5.19
01059,"Franklin County, Alabama",32011,2318,4246,7.24
01061,"Geneva County, Alabama",26647,1432,3376,5.37
01063,"Greene County, Alabama",7706,544,1118,7.06
01065,"Hale County, Alabama",14742,968,2358,6.57
01067,"Henry County, Alabama",17282,829,1823,4.8
01069,"Houston County, Alabama",107040,6580,12866,6.15
01071,"Jackson County, Alabama",52618,2613,5603,4.97
01073,"Jefferson County, Alabama",672265,41464,84068,6.17
01075,"Lamar County, Alabama",13885,946,1619,6.81
01077,"Lauderdale County, Alabama",94329,4677,9586,4.96
01079,"Lawrence County, Alabama",33116,1748,3617,5.28
01081,"Lee County, Alabama",175126,9618,18759,5.49
01083,"Limestone County, Alabama",104199,5694,11981,5.46
01085,"Lowndes County, Alabama",10153,588,1191,5.79
01087,"Macon County, Alabama",19198,895,1626,4.66
01089,"Madison County, Alabama",389781,22089,45198,5.67
01091,"Marengo County, Alabama",19180,1237,2244,6.45
01093,"Marion County, Alabama",29203,1435,3013,4.91
01095,"Marshall County, Alabama",97923,6896,12865,7.04
01097,"Mobile County, Alabama",413878,26468,52044,6.4
