county_fips,name,population,median_income,median_age,median_home_value,pct_poverty,pct_black,pct_hispanic,pct_renter
01001,"Autauga County, Alabama",58761,68315,39.0,191800,11.37,19.56,3.17,24.55
01003,"Baldwin County, Alabama",233420,71039,43.7,266000,10.21,8.33,4.8,22.13
01005,"Barbour County, Alabama",24877,39712,40.6,102700,24.16,46.9,4.83,35.03
01007,"Bibb County, Alabama",22251,50669,40.3,120100,20.62,20.69,2.92,24.27
01009,"Blount County, Alabama",59077,57440,40.8,159800,14.17,1.23,9.68,20.73
01011,"Bullock County, Alabama",10328,36136,39.2,87700,27.94,68.91,8.78,35.33
01013,"Butler County, Alabama",18981,44429,41.6,94800,21.11,44.58,1.7,29.22
01015,"Calhoun County, Alabama",116162,54339,39.2,140500,18.04,22.06,4.08,29.09
01017,"Chambers County, Alabama",34612,48805,42.2,116900,17.88,40.78,3.26,27.82
01019,"Cherokee County, Alabama",25069,46621,46.8,158700,14.26,4.02,1.91,20.26
01021,"Chilton County, Alabama",45140,62471,39.9,136000,14.45,9.43,8.12,24.99
01023,"Choctaw County, Alabama",12669,43299,46.7,101600,19.14,39.96,1.13,18.02
01025,"Clarke County, Alabama",23058,47549,42.7,126200,22.36,45.49,1.45,27.75
01027,"Clay County, Alabama",14209,48074,43.9,144100,17.57,12.6,3.08,21.66
01029,"Cleburne County, Alabama",15144,51553,42.2,131900,12.89,2.71,2.65,21.96
01031,"Coffee County, Alabama",53559,62199,39.2,162200,16.3,16.8,8.4,30.54
01033,"Colbert County, Alabama",57270,56149,42.0,148500,15.88,16.04,3.21,29.0
01035,"Conecuh County, Alabama",11576,39888,46.2,98800,18.43,48.47,0.69,25.31
01037,"Coosa County, Alabama",10329,52279,50.2,109500,11.05,30.21,2.75,18.75
01039,"Covington County, Alabama",37542,48772,42.9,124300,18.78,12.27,2.0,25.02
01041,"Crenshaw County, Alabama",13205,48557,42.3,100400,14.86,23.17,2.54,25.42
01043,"Cullman County, Alabama",88284,58119,41.4,166000,13.03,1.09,4.59,23.8
01045,"Dale County, Alabama",49455,52813,37.7,123800,17.52,21.06,7.01,39.85
01047,"Dallas County, Alabama",38326,37180,40.4,91600,27.08,69.06,1.12,38.59
01049,"DeKalb County, Alabama",71680,47920,39.6,129000,20.22,1.46,15.38,26.14
01051,"Elmore County, Alabama",87694,73258,38.9,200400,9.6,20.84,3.12,22.91
01053,"Escambia County, Alabama",36755,41153,40.5,122000,21.81,30.3,2.56,32.85
01055,"Etowah County, Alabama",103348,52177,41.9,148400,15.87,15.21,4.41,26.65
01057,"Fayette County, Alabama",16297,45650,43.7,112700,22.18,12.73,0.37,24.16
01059,"Franklin County, Alabama",32011,47359,39.3,121600,16.62,4.25,18.41,26.76
01061,"Geneva County, Alabama",26647,47608,43.6,120700,20.83,9.28,4.45,24.26
01063,"Greene County, Alabama",7706,32796,41.1,88800,32.9,81.82,0.31,26.46
01065,"Hale County, Alabama",14742,35851,40.5,109400,25.01,56.8,0.17,22.51
01067,"Henry County, Alabama",17282,58395,44.6,132400,15.52,25.32,2.71,18.43
01069,"Houston County, Alabama",107040,55064,40.4,164900,17.84,27.25,3.59,34.54
01071,"Jackson County, Alabama",52618,46748,43.0,126900,18.61,3.29,3.2,23.88
01073,"Jefferson County, Alabama",672265,63595,37.9,208900,15.87,42.72,4.16,35.91
01075,"Lamar County, Alabama",13885,49565,44.2,108200,15.34,11.0,0.55,25.35
01077,"Lauderdale County, Alabama",94329,56081,40.8,174800,13.26,9.88,2.97,32.49
01079,"Lawrence County, Alabama",33116,54786,42.7,134200,15.83,10.18,2.5,20.56
01081,"Lee County, Alabama",175126,59288,33.0,224400,18.5,22.48,3.87,34.76
01083,"Limestone County, Alabama",104199,80146,40.2,229400,11.19,13.16,6.32,22.31
01085,"Lowndes County, Alabama",10153,33125,41.7,83400,25.53,74.88,0.19,22.52
01087,"Macon County, Alabama",19198,41206,37.8,93900,25.01,78.87,2.36,37.05
01089,"Madison County, Alabama",389781,78058,38.5,242900,10.69,24.48,5.29,31.98
01091,"Marengo County, Alabama",19180,42975,41.7,98600,21.45,50.83,2.83,31.73
01093,"Marion County, Alabama",29203,49743,44.0,104300,16.45,3.81,2.71,27.11
01095,"Marshall County, Alabama",97923,58272,38.8,165600,16.6,2.8,15.06,24.62
01097,"Mobile County, Alabama",413878,55352,38.2,164600,17.57,36.26,3.04,36.51
