county_fips,name,total_housing,pct_pre1940,pct_pre1950,pct_pre1960,pct_pre1970,pct_pre1978
01001,"Autauga County, Alabama",24457,2.12,3.64,7.62,16.71,35.16
01003,"Baldwin County, Alabama",125113,2.01,3.27,5.49,10.71,19.45
01005,"Barbour County, Alabama",11673,7.88,11.93,19.92,32.14,47.44
01007,"Bibb County, Alabama",9046,7.74,11.55,16.86,26.25,42.73
01009,"Blount County, Alabama",24677,4.64,8.85,13.98,23.16,37.72
01011,"Bullock County, Alabama",4541,6.12,6.54,14.4,21.01,37.55
01013,"Butler County, Alabama",9835,6.95,11.08,19.66,32.29,51.24
01015,"Calhoun County, Alabama",53167,5.54,11.79,22.61,33.58,53.98
01017,"Chambers County, Alabama",16427,12.16,18.21,27.58,38.0,54.27
01019,"Cherokee County, Alabama",14687,3.65,6.6,12.79,23.39,36.76
01021,"Chilton County, Alabama",19546,5.5,9.15,14.93,24.61,42.27
01023,"Choctaw County, Alabama",7138,3.24,6.05,15.84,29.8,48.56
01025,"Clarke County, Alabama",11733,4.58,7.81,13.23,27.1,46.74
01027,"Clay County, Alabama",7040,9.57,13.98,23.27,35.48,45.91
01029,"Cleburne County, Alabama",6818,4.81,9.71,17.35,29.57,42.18
01031,"Coffee County, Alabama",24155,3.97,6.88,14.26,24.53,44.09
01033,"Colbert County, Alabama",27709,7.19,12.08,21.04,35.53,52.94
01035,"Conecuh County, Alabama",6451,5.43,8.49,14.97,23.87,39.45
01037,"Coosa County, Alabama",6045,8.39,12.64,19.32,31.73,44.91
01039,"Covington County, Alabama",18644,5.79,11.12,19.57,30.32,46.42
01041,"Crenshaw County, Alabama",6553,5.86,8.12,14.09,23.79,48.02
01043,"Cullman County, Alabama",39182,6.48,10.23,15.12,26.38,44.9
01045,"Dale County, Alabama",22829,3.95,7.05,12.09,27.43,46.61
01047,"Dallas County, Alabama",18992,9.75,16.0,26.83,41.38,62.96
01049,"DeKalb County, Alabama",30716,5.46,9.36,16.4,28.35,44.1
01051,"Elmore County, Alabama",36787,1.77,3.24,8.11,15.2,29.78
01053,"Escambia County, Alabama",16715,2.84,5.81,13.21,23.69,37.17
01055,"Etowah County, Alabama",47412,6.95,13.83,27.77,41.89,58.28
01057,"Fayette County, Alabama",7816,7.97,13.38,22.63,33.87,48.16
01059,"Franklin County, Alabama",13940,4.49,9.45,16.7,31.33,47.8
01061,"Geneva County, Alabama",12494,5.82,10.71,21.55,34.25,48.48
01063,"Greene County, Alabama",4271,5.88,10.89,21.12,30.53,52.17
01065,"Hale County, Alabama",7464,5.02,9.19,14.78,27.2,43.07
01067,"Henry County, Alabama",9110,6.05,10.23,20.24,31.2,47.59
01069,"Houston County, Alabama",49339,3.02,6.96,15.18,26.62,44.4
01071,"Jackson County, Alabama",24706,7.25,11.77,17.31,26.74,45.26
01073,"Jefferson County, Alabama",308428,9.48,15.07,28.52,41.86,58.67
01075,"Lamar County, Alabama",7104,6.74,12.43,24.49,35.99,57.46
01077,"Lauderdale County, Alabama",44705,5.11,9.11,18.57,34.53,50.97
01079,"Lawrence County, Alabama",15270,2.41,4.72,9.5,20.1,36.29
01081,"Lee County, Alabama",75473,1.75,3.31,6.85,12.8,22.36
01083,"Limestone County, Alabama",42616,2.92,4.54,9.83,17.7,29.28
01085,"Lowndes County, Alabama",4823,2.92,5.02,9.31,16.57,35.83
01087,"Macon County, Alabama",9662,4.69,9.82,18.12,30.91,53.61
01089,"Madison County, Alabama",171313,2.08,3.78,9.72,23.89,33.82
01091,"Marengo County, Alabama",9834,7.48,10.98,17.44,27.51,42.28
01093,"Marion County, Alabama",14143,3.54,5.95,14.73,30.01,50.24
01095,"Marshall County, Alabama",41328,3.6,7.06,14.02,26.06,41.83
01097,"Mobile County, Alabama",184845,3.82,8.38,18.76,31.49,51.74
01099,"Monroe County, Alabama",10214,3.79,6.79,14.01,23.31,45.17
01101,"Montgomery County, Alabama",105488,6.09,9.61,20.27,32.14,51.51
01103,"Morgan County, Alabama",53324,3.24,6.02,13.59,28.2,45.35
01105,"Perry County, Alabama",3985,5.72,11.54,19.55,27.1,44.14
01107,"Pickens County, Alabama",8714,4.71,9.03,17.28,30.82,48.66
01109,"Pike County, Alabama",16049,5.76,10.01,16.3,24.79,42.02
01111,"Randolph County, Alabama",12412,7.81,10.41,16.25,25.43,37.66
