FIPS,county_name,total_households,living_alone,pct_living_alone
01001,"Autauga County, Alabama",22308.0,6069.0,27.21
01003,"Baldwin County, Alabama",90802.0,25747.0,28.36
01005,"Barbour County, Alabama",9016.0,3101.0,34.39
01007,"Bibb County, Alabama",7216.0,2167.0,30.03
01009,"Blount County, Alabama",21626.0,5495.0,25.41
01011,"Bullock County, Alabama",3450.0,1095.0,31.74
01013,"Butler County, Alabama",7131.0,2263.0,31.73
01015,"Calhoun County, Alabama",44693.0,14103.0,31.56
01017,"Chambers County, Alabama",13143.0,3691.0,28.08
01019,"Cherokee County, Alabama",9997.0,3061.0,30.62
01021,"Chilton County, Alabama",16931.0,4036.0,23.84
01023,"Choctaw County, Alabama",5228.0,1861.0,35.6
01025,"Clarke County, Alabama",8188.0,2879.0,35.16
01027,"Clay County, Alabama",5485.0,1430.0,26.07
01029,"Cleburne County, Alabama",5761.0,1761.0,30.57
01031,"Coffee County, Alabama",20363.0,5867.0,28.81
01033,"Colbert County, Alabama",23266.0,6848.0,29.43
01035,"Conecuh County, Alabama",4453.0,1785.0,40.09
01037,"Coosa County, Alabama",3999.0,1102.0,27.56
01039,"Covington County, Alabama",14194.0,4450.0,31.35
01041,"Crenshaw County, Alabama",4839.0,1645.0,33.99
01043,"Cullman County, Alabama",33649.0,8496.0,25.25
01045,"Dale County, Alabama",19400.0,6267.0,32.3
01047,"Dallas County, Alabama",14753.0,5936.0,40.24
01049,"DeKalb County, Alabama",25690.0,6833.0,26.6
01051,"Elmore County, Alabama",32184.0,7732.0,24.02
01053,"Escambia County, Alabama",13022.0,4775.0,36.67
01055,"Etowah County, Alabama",38791.0,11749.0,30.29
01057,"Fayette County, Alabama",6143.0,1839.0,29.94
01059,"Franklin County, Alabama",11239.0,3424.0,30.47
01061,"Geneva County, Alabama",10391.0,2997.0,28.84
01063,"Greene County, Alabama",2872.0,1373.0,47.81
01065,"Hale County, Alabama",5403.0,2000.0,37.02
01067,"Henry County, Alabama",6686.0,2159.0,32.29
01069,"Houston County, Alabama",41543.0,12986.0,31.26
01071,"Jackson County, Alabama",20670.0,6082.0,29.42
01073,"Jefferson County, Alabama",265794.0,89464.0,33.66
01075,"Lamar County, Alabama",5168.0,1389.0,26.88
01077,"Lauderdale County, Alabama",38237.0,11229.0,29.37
01079,"Lawrence County, Alabama",12829.0,3790.0,29.54
