FIPS,county_name,median_age
01001,"Autauga County, Alabama",39.0
01003,"Baldwin County, Alabama",43.7
01005,"Barbour County, Alabama",40.6
01007,"Bibb County, Alabama",40.3
01009,"Blount County, Alabama",40.8
01011,"Bullock County, Alabama",39.2
01013,"Butler County, Alabama",41.6
01015,"Calhoun County, Alabama",39.2
01017,"Chambers County, Alabama",42.2
01019,"Cherokee County, Alabama",46.8
01021,"Chilton County, Alabama",39.9
01023,"Choctaw County, Alabama",46.7
01025,"Clarke County, Alabama",42.7
01027,"Clay County, Alabama",43.9
01029,"Cleburne County, Alabama",42.2
01031,"Coffee County, Alabama",39.2
01033,"Colbert County, Alabama",42.0
01035,"Conecuh County, Alabama",46.2
01037,"Coosa County, Alabama",50.2
01039,"Covington County, Alabama",42.9
01041,"Crenshaw County, Alabama",42.3
01043,"Cullman County, Alabama",41.4
01045,"Dale County, Alabama",37.7
01047,"Dallas County, Alabama",40.4
01049,"DeKalb County, Alabama",39.6
01051,"Elmore County, Alabama",38.9
01053,"Escambia County, Alabama",40.5
01055,"Etowah County, Alabama",41.9
01057,"Fayette County, Alabama",43.7
01059,"Franklin County, Alabama",39.3
01061,"Geneva County, Alabama",43.6
01063,"Greene County, Alabama",41.1
01065,"Hale County, Alabama",40.5
01067,"Henry County, Alabama",44.6
01069,"Houston County, Alabama",40.4
01071,"Jackson County, Alabama",43.0
01073,"Jefferson County, Alabama",37.9
01075,"Lamar County, Alabama",44.2
01077,"Lauderdale County, Alabama",40.8
01079,"Lawrence County, Alabama",42.7
01081,"Lee County, Alabama",33.0
01083,"Limestone County, Alabama",40.2
01085,"Lowndes County, Alabama",41.7
01087,"Macon County, Alabama",37.8
01089,"Madison County, Alabama",38.5
01091,"Marengo County, Alabama",41.7
01093,"Marion County, Alabama",44.0
01095,"Marshall County, Alabama",38.8
01097,"Mobile County, Alabama",38.2
01099,"Monroe County, Alabama",43.7
01101,"Montgomery County, Alabama",36.9
01103,"Morgan County, Alabama",40.6
01105,"Perry County, Alabama",41.8
01107,"Pickens County, Alabama",42.9
01109,"Pike County, Alabama",31.1
01111,"Randolph County, Alabama",44.1
01113,"Russell County, Alabama",37.2
01115,"St. Clair County, Alabama",41.0
