county_fips,state_fips,county_code,state_name,county_name,total_housing_units,pre_1980_units,pct_pre1978_housing,built_1970_1979,built_1960_1969,built_1950_1959,built_1940_1949,built_pre_1939
01001,01,001,Alabama,Autauga County,24457,8598,35.16,4511,2224,973,371,519
01003,01,003,Alabama,Baldwin County,125113,24340,19.45,10937,6530,2787,1574,2512
01005,01,005,Alabama,Barbour County,11673,5538,47.44,1786,1427,932,473,920
01007,01,007,Alabama,Bibb County,9046,3865,42.73,1490,850,480,345,700
01009,01,009,Alabama,Blount County,24677,9308,37.72,3593,2266,1265,1039,1145
01011,01,011,Alabama,Bullock County,4541,1705,37.55,751,300,357,19,278
01013,01,013,Alabama,Butler County,9835,5039,51.24,1863,1242,844,406,684
01015,01,015,Alabama,Calhoun County,53167,28699,53.98,10845,5832,5756,3319,2947
01017,01,017,Alabama,Chambers County,16427,8915,54.27,2672,1713,1538,994,1998
01019,01,019,Alabama,Cherokee County,14687,5399,36.76,1963,1558,908,434,536
01021,01,021,Alabama,Chilton County,19546,8263,42.27,3452,1892,1130,713,1076
01023,01,023,Alabama,Choctaw County,7138,3466,48.56,1339,996,699,201,231
01025,01,025,Alabama,Clarke County,11733,5484,46.74,2304,1628,636,379,537
01027,01,027,Alabama,Clay County,7040,3232,45.91,734,860,654,310,674
01029,01,029,Alabama,Cleburne County,6818,2876,42.18,860,833,521,334,328
01031,01,031,Alabama,Coffee County,24155,10649,44.09,4723,2481,1782,704,959
01033,01,033,Alabama,Colbert County,27709,14668,52.94,4824,4013,2484,1356,1991
01035,01,035,Alabama,Conecuh County,6451,2545,39.45,1005,574,418,198,350
01037,01,037,Alabama,Coosa County,6045,2715,44.91,797,750,404,257,507
01039,01,039,Alabama,Covington County,18644,8654,46.42,3001,2005,1575,994,1079
01041,01,041,Alabama,Crenshaw County,6553,3147,48.02,1588,636,391,148,384
01043,01,043,Alabama,Cullman County,39182,17591,44.9,7255,4411,1918,1467,2540
01045,01,045,Alabama,Dale County,22829,10641,46.61,4378,3503,1150,709,901
01047,01,047,Alabama,Dallas County,18992,11957,62.96,4098,2764,2056,1187,1852
01049,01,049,Alabama,DeKalb County,30716,13545,44.1,4837,3670,2162,1198,1678
01051,01,051,Alabama,Elmore County,36787,10957,29.78,5365,2610,1789,542,651
01053,01,053,Alabama,Escambia County,16715,6213,37.17,2253,1752,1237,497,474
01055,01,055,Alabama,Etowah County,47412,27630,58.28,7769,6696,6607,3265,3293
01057,01,057,Alabama,Fayette County,7816,3764,48.16,1117,878,723,423,623
01059,01,059,Alabama,Franklin County,13940,6664,47.8,2296,2040,1010,692,626
01061,01,061,Alabama,Geneva County,12494,6057,48.48,1778,1586,1355,611,727
01063,01,063,Alabama,Greene County,4271,2228,52.17,924,402,437,214,251
01065,01,065,Alabama,Hale County,7464,3215,43.07,1185,927,417,311,375
01067,01,067,Alabama,Henry County,9110,4335,47.59,1493,998,912,381,551
01069,01,069,Alabama,Houston County,49339,21908,44.4,8775,5642,4058,1945,1488
01071,01,071,Alabama,Jackson County,24706,11183,45.26,4577,2330,1369,1117,1790
01073,01,073,Alabama,Jefferson County,308428,180969,58.67,51857,41149,41498,17220,29245
01075,01,075,Alabama,Lamar County,7104,4082,57.46,1525,817,857,404,479
01077,01,077,Alabama,Lauderdale County,44705,22785,50.97,7347,7137,4230,1785,2286
