FIPS,county_name,total_housing,pre1980_units,pct_pre1980_housing
01001,"Autauga County, Alabama",24457,4087,16.7
01003,"Baldwin County, Alabama",125113,13403,10.7
01005,"Barbour County, Alabama",11673,3752,32.1
01007,"Bibb County, Alabama",9046,2375,26.3
01009,"Blount County, Alabama",24677,5715,23.2
01011,"Bullock County, Alabama",4541,954,21.0
01013,"Butler County, Alabama",9835,3176,32.3
01015,"Calhoun County, Alabama",53167,17854,33.6
01017,"Chambers County, Alabama",16427,6243,38.0
01019,"Cherokee County, Alabama",14687,3436,23.4
01021,"Chilton County, Alabama",19546,4811,24.6
01023,"Choctaw County, Alabama",7138,2127,29.8
01025,"Clarke County, Alabama",11733,3180,27.1
01027,"Clay County, Alabama",7040,2498,35.5
01029,"Cleburne County, Alabama",6818,2016,29.6
01031,"Coffee County, Alabama",24155,5926,24.5
01033,"Colbert County, Alabama",27709,9844,35.5
01035,"Conecuh County, Alabama",6451,1540,23.9
01037,"Coosa County, Alabama",6045,1918,31.7
01039,"Covington County, Alabama",18644,5653,30.3
01041,"Crenshaw County, Alabama",6553,1559,23.8
01043,"Cullman County, Alabama",39182,10336,26.4
01045,"Dale County, Alabama",22829,6263,27.4
01047,"Dallas County, Alabama",18992,7859,41.4
01049,"DeKalb County, Alabama",30716,8708,28.4
01051,"Elmore County, Alabama",36787,5592,15.2
01053,"Escambia County, Alabama",16715,3960,23.7
01055,"Etowah County, Alabama",47412,19861,41.9
01057,"Fayette County, Alabama",7816,2647,33.9
01059,"Franklin County, Alabama",13940,4368,31.3
01061,"Geneva County, Alabama",12494,4279,34.2
01063,"Greene County, Alabama",4271,1304,30.5
01065,"Hale County, Alabama",7464,2030,27.2
01067,"Henry County, Alabama",9110,2842,31.2
01069,"Houston County, Alabama",49339,13133,26.6
01071,"Jackson County, Alabama",24706,6606,26.7
01073,"Jefferson County, Alabama",308428,129112,41.9
01075,"Lamar County, Alabama",7104,2557,36.0
01077,"Lauderdale County, Alabama",44705,15438,34.5
01079,"Lawrence County, Alabama",15270,3069,20.1
01081,"Lee County, Alabama",75473,9663,12.8
01083,"Limestone County, Alabama",42616,7543,17.7
01085,"Lowndes County, Alabama",4823,799,16.6
01087,"Macon County, Alabama",9662,2987,30.9
01089,"Madison County, Alabama",171313,40923,23.9
01091,"Marengo County, Alabama",9834,2705,27.5
01093,"Marion County, Alabama",14143,4245,30.0
01095,"Marshall County, Alabama",41328,10769,26.1
01097,"Mobile County, Alabama",184845,58208,31.5
01099,"Monroe County, Alabama",10214,2381,23.3
01101,"Montgomery County, Alabama",105488,33900,32.1
01103,"Morgan County, Alabama",53324,15040,28.2
01105,"Perry County, Alabama",3985,1080,27.1
01107,"Pickens County, Alabama",8714,2686,30.8
01109,"Pike County, Alabama",16049,3978,24.8
01111,"Randolph County, Alabama",12412,3156,25.4
01113,"Russell County, Alabama",27382,8428,30.8
01115,"St. Clair County, Alabama",38133,4728,12.4
01117,"Shelby County, Alabama",89612,6312,7.0
01119,"Sumter County, Alabama",6329,1656,26.2
01121,"Talladega County, Alabama",38088,12102,31.8
01123,"Tallapoosa County, Alabama",22777,6426,28.2
01125,"Tuscaloosa County, Alabama",101330,20228,20.0
01127,"Walker County, Alabama",30127,8867,29.4
01129,"Washington County, Alabama",7779,1744,22.4
01131,"Wilcox County, Alabama",5314,1146,21.6
01133,"Winston County, Alabama",13091,2909,22.2
02013,"Aleutians East Borough, Alaska",1089,287,26.4
02016,"Aleutians West Census Area, Alaska",1403,234,16.7
