county_fips,NAME,state,county,total_housing,pre_1980_units,pct_pre1980_housing,pre_1960_units,pct_pre1960_housing,pre_1940_units,pct_pre1940_housing
01001,"Autauga County, Alabama",01,001,24457,4087,16.71,890,3.64,519,2.12
01003,"Baldwin County, Alabama",01,003,125113,13403,10.71,4086,3.27,2512,2.01
01005,"Barbour County, Alabama",01,005,11673,3752,32.14,1393,11.93,920,7.88
01007,"Bibb County, Alabama",01,007,9046,2375,26.25,1045,11.55,700,7.74
01009,"Blount County, Alabama",01,009,24677,5715,23.16,2184,8.85,1145,4.64
01011,"Bullock County, Alabama",01,011,4541,954,21.01,297,6.54,278,6.12
01013,"Butler County, Alabama",01,013,9835,3176,32.29,1090,11.08,684,6.95
01015,"Calhoun County, Alabama",01,015,53167,17854,33.58,6266,11.79,2947,5.54
01017,"Chambers County, Alabama",01,017,16427,6243,38.0,2992,18.21,1998,12.16
01019,"Cherokee County, Alabama",01,019,14687,3436,23.39,970,6.6,536,3.65
01021,"Chilton County, Alabama",01,021,19546,4811,24.61,1789,9.15,1076,5.5
01023,"Choctaw County, Alabama",01,023,7138,2127,29.8,432,6.05,231,3.24
01025,"Clarke County, Alabama",01,025,11733,3180,27.1,916,7.81,537,4.58
01027,"Clay County, Alabama",01,027,7040,2498,35.48,984,13.98,674,9.57
01029,"Cleburne County, Alabama",01,029,6818,2016,29.57,662,9.71,328,4.81
01031,"Coffee County, Alabama",01,031,24155,5926,24.53,1663,6.88,959,3.97
01033,"Colbert County, Alabama",01,033,27709,9844,35.53,3347,12.08,1991,7.19
01035,"Conecuh County, Alabama",01,035,6451,1540,23.87,548,8.49,350,5.43
01037,"Coosa County, Alabama",01,037,6045,1918,31.73,764,12.64,507,8.39
01039,"Covington County, Alabama",01,039,18644,5653,30.32,2073,11.12,1079,5.79
01041,"Crenshaw County, Alabama",01,041,6553,1559,23.79,532,8.12,384,5.86
01043,"Cullman County, Alabama",01,043,39182,10336,26.38,4007,10.23,2540,6.48
01045,"Dale County, Alabama",01,045,22829,6263,27.43,1610,7.05,901,3.95
01047,"Dallas County, Alabama",01,047,18992,7859,41.38,3039,16.0,1852,9.75
01049,"DeKalb County, Alabama",01,049,30716,8708,28.35,2876,9.36,1678,5.46
01051,"Elmore County, Alabama",01,051,36787,5592,15.2,1193,3.24,651,1.77
01053,"Escambia County, Alabama",01,053,16715,3960,23.69,971,5.81,474,2.84
01055,"Etowah County, Alabama",01,055,47412,19861,41.89,6558,13.83,3293,6.95
01057,"Fayette County, Alabama",01,057,7816,2647,33.87,1046,13.38,623,7.97
01059,"Franklin County, Alabama",01,059,13940,4368,31.33,1318,9.45,626,4.49
01061,"Geneva County, Alabama",01,061,12494,4279,34.25,1338,10.71,727,5.82
01063,"Greene County, Alabama",01,063,4271,1304,30.53,465,10.89,251,5.88
01065,"Hale County, Alabama",01,065,7464,2030,27.2,686,9.19,375,5.02
01067,"Henry County, Alabama",01,067,9110,2842,31.2,932,10.23,551,6.05
01069,"Houston County, Alabama",01,069,49339,13133,26.62,3433,6.96,1488,3.02
01071,"Jackson County, Alabama",01,071,24706,6606,26.74,2907,11.77,1790,7.25
01073,"Jefferson County, Alabama",01,073,308428,129112,41.86,46465,15.07,29245,9.48
01075,"Lamar County, Alabama",01,075,7104,2557,35.99,883,12.43,479,6.74
01077,"Lauderdale County, Alabama",01,077,44705,15438,34.53,4071,9.11,2286,5.11
01079,"Lawrence County, Alabama",01,079,15270,3069,20.1,720,4.72,368,2.41
01081,"Lee County, Alabama",01,081,75473,9663,12.8,2495,3.31,1322,1.75
01083,"Limestone County, Alabama",01,083,42616,7543,17.7,1934,4.54,1246,2.92
01085,"Lowndes County, Alabama",01,085,4823,799,16.57,242,5.02,141,2.92
01087,"Macon County, Alabama",01,087,9662,2987,30.91,949,9.82,453,4.69
01089,"Madison County, Alabama",01,089,171313,40923,23.89,6474,3.78,3561,2.08
01091,"Marengo County, Alabama",01,091,9834,2705,27.51,1080,10.98,736,7.48
01093,"Marion County, Alabama",01,093,14143,4245,30.01,841,5.95,500,3.54
01095,"Marshall County, Alabama",01,095,41328,10769,26.06,2917,7.06,1486,3.6
01097,"Mobile County, Alabama",01,097,184845,58208,31.49,15488,8.38,7055,3.82
01099,"Monroe County, Alabama",01,099,10214,2381,23.31,694,6.79,387,3.79
01101,"Montgomery County, Alabama",01,101,105488,33900,32.14,10140,9.61,6429,6.09
01103,"Morgan County, Alabama",01,103,53324,15040,28.2,3212,6.02,1730,3.24
01105,"Perry County, Alabama",01,105,3985,1080,27.1,460,11.54,228,5.72
