FIPS,county_name,total_population,white_nh,black_nh,native_american_nh,hispanic_latino,pct_white_nh,pct_black,pct_native_american,pct_hispanic
01001,"Autauga County, Alabama",58761.0,42635.0,11496.0,59.0,1864.0,72.56,19.56,0.1,3.17
01003,"Baldwin County, Alabama",233420.0,192161.0,19318.0,512.0,11210.0,82.32,8.28,0.22,4.8
01005,"Barbour County, Alabama",24877.0,11084.0,11662.0,63.0,1202.0,44.56,46.88,0.25,4.83
01007,"Bibb County, Alabama",22251.0,16520.0,4598.0,15.0,650.0,74.24,20.66,0.07,2.92
01009,"Blount County, Alabama",59077.0,50614.0,729.0,75.0,5721.0,85.67,1.23,0.13,9.68
01011,"Bullock County, Alabama",10328.0,2125.0,7117.0,0.0,907.0,20.58,68.91,0.0,8.78
01013,"Butler County, Alabama",18981.0,9655.0,8462.0,69.0,322.0,50.87,44.58,0.36,1.7
01015,"Calhoun County, Alabama",116162.0,81851.0,25204.0,174.0,4736.0,70.46,21.7,0.15,4.08
01017,"Chambers County, Alabama",34612.0,18794.0,14107.0,10.0,1129.0,54.3,40.76,0.03,3.26
01019,"Cherokee County, Alabama",25069.0,22749.0,1000.0,113.0,479.0,90.75,3.99,0.45,1.91
01021,"Chilton County, Alabama",45140.0,35714.0,4254.0,17.0,3664.0,79.12,9.42,0.04,8.12
01023,"Choctaw County, Alabama",12669.0,7162.0,5055.0,28.0,143.0,56.53,39.9,0.22,1.13
01025,"Clarke County, Alabama",23058.0,11809.0,10479.0,15.0,335.0,51.21,45.45,0.07,1.45
01027,"Clay County, Alabama",14209.0,11385.0,1790.0,0.0,437.0,80.13,12.6,0.0,3.08
01029,"Cleburne County, Alabama",15144.0,13964.0,411.0,22.0,401.0,92.21,2.71,0.15,2.65
01031,"Coffee County, Alabama",53559.0,36875.0,8598.0,277.0,4500.0,68.85,16.05,0.52,8.4
01033,"Colbert County, Alabama",57270.0,44485.0,9171.0,170.0,1837.0,77.68,16.01,0.3,3.21
01035,"Conecuh County, Alabama",11576.0,5751.0,5553.0,33.0,80.0,49.68,47.97,0.29,0.69
01037,"Coosa County, Alabama",10329.0,6632.0,3120.0,9.0,284.0,64.21,30.21,0.09,2.75
01039,"Covington County, Alabama",37542.0,30958.0,4606.0,101.0,749.0,82.46,12.27,0.27,2.0
01041,"Crenshaw County, Alabama",13205.0,9226.0,3026.0,10.0,335.0,69.87,22.92,0.08,2.54
01043,"Cullman County, Alabama",88284.0,80170.0,959.0,243.0,4056.0,90.81,1.09,0.28,4.59
01045,"Dale County, Alabama",49455.0,33286.0,10087.0,218.0,3467.0,67.31,20.4,0.44,7.01
01047,"Dallas County, Alabama",38326.0,10365.0,26311.0,208.0,430.0,27.04,68.65,0.54,1.12
01049,"DeKalb County, Alabama",71680.0,56705.0,1043.0,354.0,11021.0,79.11,1.46,0.49,15.38
01051,"Elmore County, Alabama",87694.0,63533.0,18224.0,210.0,2739.0,72.45,20.78,0.24,3.12
01053,"Escambia County, Alabama",36755.0,22117.0,11115.0,1118.0,940.0,60.17,30.24,3.04,2.56
01055,"Etowah County, Alabama",103348.0,79648.0,15507.0,127.0,4561.0,77.07,15.0,0.12,4.41
01057,"Fayette County, Alabama",16297.0,13666.0,2074.0,24.0,61.0,83.86,12.73,0.15,0.37
01059,"Franklin County, Alabama",32011.0,24088.0,1360.0,57.0,5892.0,75.25,4.25,0.18,18.41
01061,"Geneva County, Alabama",26647.0,21535.0,2377.0,61.0,1185.0,80.82,8.92,0.23,4.45
01063,"Greene County, Alabama",7706.0,1321.0,6305.0,7.0,24.0,17.14,81.82,0.09,0.31
01065,"Hale County, Alabama",14742.0,5663.0,8373.0,42.0,25.0,38.41,56.8,0.28,0.17
01067,"Henry County, Alabama",17282.0,12012.0,4344.0,60.0,469.0,69.51,25.14,0.35,2.71
01069,"Houston County, Alabama",107040.0,69420.0,29026.0,248.0,3844.0,64.85,27.12,0.23,3.59
01071,"Jackson County, Alabama",52618.0,46699.0,1708.0,397.0,1685.0,88.75,3.25,0.75,3.2
01073,"Jefferson County, Alabama",672265.0,328951.0,286423.0,570.0,27950.0,48.93,42.61,0.08,4.16
01075,"Lamar County, Alabama",13885.0,11900.0,1527.0,49.0,76.0,85.7,11.0,0.35,0.55
01077,"Lauderdale County, Alabama",94329.0,78667.0,9197.0,213.0,2803.0,83.4,9.75,0.23,2.97
01079,"Lawrence County, Alabama",33116.0,25273.0,3366.0,1669.0,829.0,76.32,10.16,5.04,2.5
01081,"Lee County, Alabama",175126.0,117221.0,38635.0,224.0,6780.0,66.94,22.06,0.13,3.87
01083,"Limestone County, Alabama",104199.0,77842.0,13547.0,438.0,6588.0,74.71,13.0,0.42,6.32
01085,"Lowndes County, Alabama",10153.0,2493.0,7595.0,0.0,19.0,24.55,74.81,0.0,0.19
01087,"Macon County, Alabama",19198.0,3098.0,15130.0,7.0,453.0,16.14,78.81,0.04,2.36
