State,n_femur,mean_femur_Pb,median_femur_Pb,pct_chronic,n_blood,mean_blood_Pb,median_blood_Pb,Rank,vet_suicide_rate_2023,vet_suicide_deaths_2023,total_mining_sites,total_lead_zinc_copper_sites,n_counties,mining_sites_per_county,log_total_mining_sites,log_leadzinc_sites,male_suicide_rate
Alabama,2.0,45.805,45.805,0.5,14.0,48.34142857142857,19.92,27.0,35.7,122,4829,66,78,61.91025641025641,8.482601746646619,4.204692619390966,28.8
Alaska,3.0,15.42,11.52,0.6666666666666666,35.0,22.720285714285716,14.65,29.0,35.2,25,7,2,6,1.1666666666666667,2.0794415416798357,1.0986122886681098,44.5
Arizona,4.0,24.5975,21.605,1.0,14.0,10.117142857142856,7.43,10.0,46.7,223,12942,4236,29,446.2758620689655,9.468310380442437,8.351610750626559,31.7
Arkansas,1.0,19.18,19.18,1.0,,,,7.0,51.5,105,3759,438,80,46.9875,8.23217423638394,6.0844994130751715,36.5
California,120.0,14.211500000000001,3.4050000000000002,0.30833333333333335,50.0,16.476000000000003,4.965,41.0,26.3,389,42766,3508,82,521.5365853658536,10.663522056137511,8.163086375583216,17.5
Colorado,1.0,0.97,0.97,0.0,3.0,27.246666666666666,12.86,8.0,48.4,178,17664,2451,95,185.93684210526317,9.779340559793246,7.804659297056102,34.0
Florida,19.0,10.699473684210526,3.74,0.2631578947368421,,,,19.0,38.6,550,1609,1,79,20.367088607594937,7.383989457978509,0.6931471805599453,24.0
Georgia,1.0,1.17,1.17,0.0,2.0,18.655,18.655,38.0,30.0,200,2642,25,132,20.015151515151516,7.879669914604289,3.258096538021482,24.0
Idaho,20.0,32.417500000000004,27.465,0.65,3.0,7.876666666666666,5.0,6.0,52.1,63,10327,1862,56,184.41071428571428,9.242613932526478,7.529943370601589,37.1
Illinois,1.0,4.27,4.27,0.0,15.0,37.15333333333333,12.98,42.0,25.6,160,2289,261,108,21.194444444444443,7.736307096548285,5.568344503761097,19.8
Iowa,1.0,6.95,6.95,0.0,10.0,143.462,9.76,25.0,36.8,67,3431,108,104,32.99038461538461,8.140898460607852,4.6913478822291435,27.4
Kansas,7.0,13.254285714285714,3.91,0.42857142857142855,,,,12.0,43.4,79,174,4,53,3.2830188679245285,5.1647859739235145,1.6094379124341003,29.5
Kentucky,16.0,3.749375,2.3200000000000003,0.125,,,,17.0,39.3,103,615,30,117,5.256410256410256,6.423246963533519,3.4339872044851463,30.4
Maine,,,,,13.0,10.467692307692307,9.63,21.0,38.0,41,1664,203,16,104.0,7.417580402414544,5.318119993844216,30.8
Maryland,1.0,3.38,3.38,0.0,5.0,30.212,35.59,48.0,17.6,64,1090,23,23,47.391304347826086,6.994849985833071,3.1780538303479458,17.1
Massachusetts,1.0,3.57,3.57,0.0,,,,47.0,22.5,62,1124,53,15,74.93333333333334,7.025538314638521,3.9889840465642745,14.8
