pwsid,violation_id,facility_id,population_served_count,npm_candidate,pws_activity_code,pws_deactivation_date,primary_source_code,pop_cat_5_code,primacy_agency_code,epa_region,pws_type_code,violation_code,violation_category_code,is_health_based_ind,contaminant_code,compliance_status_code,viol_measure,unit_of_measure,state_mcl,is_major_viol_ind,severity_ind_cnt,compl_per_begin_date,compl_per_end_date,latest_enforcement_id,rtc_enforcement_id,rtc_date,public_notification_tier,originator_code,sample_result_id,corrective_action_id,rule_code,rule_group_code,rule_family_code
070000002,11565,,520,N,A,,SW,2,07,7,CWS,5,Other,N,1030,R,,,,,,2017-10-01 00:00:00,2017-12-31 00:00:00,5768.0,5672.0,2018-03-31 00:00:00,3,R,,,500,500,500
070000002,11565,,1949,N,A,,SW,2,07,7,CWS,5,Other,N,1030,R,,,,,,2017-10-01 00:00:00,2017-12-31 00:00:00,5768.0,5672.0,2018-03-31 00:00:00,3,R,,,500,500,500
083890007,6V83,,0,N,N,2017-10-16 00:00:00,SW,1,08,8,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1982-03-01 00:00:00,1983-02-28 00:00:00,,,2017-10-16 00:00:00,3,R,,,500,500,500
083890007,6V86,,0,N,N,2017-10-16 00:00:00,SW,1,08,8,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1986-01-01 00:00:00,1986-12-31 00:00:00,,,2017-10-16 00:00:00,3,R,,,500,500,500
083890007,9V82,,0,N,N,2017-10-16 00:00:00,SW,1,08,8,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1982-09-01 00:00:00,1983-08-31 00:00:00,,,2017-10-16 00:00:00,3,R,,,500,500,500
083890008,6V86,,2700,N,N,2016-03-17 00:00:00,SWP,2,08,8,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1983-01-01 00:00:00,1985-12-31 00:00:00,,,2016-03-17 00:00:00,3,R,,,500,500,500
084690016,6V86,,1800,N,N,2016-03-17 00:00:00,GW,2,08,8,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1983-01-01 00:00:00,1985-12-31 00:00:00,,,2016-03-17 00:00:00,3,R,,,500,500,500
084690469,6V86,,767,N,N,2016-02-17 00:00:00,GW,2,08,8,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1983-01-01 00:00:00,1985-12-31 00:00:00,,,2016-02-17 00:00:00,3,R,,,500,500,500
100211202,0030203,,1575,N,A,,SW,2,10,10,CWS,63,TT,Y,1030,R,0.0,,0.0,,,1993-12-30 00:00:00,,502002.0,502002.0,2002-09-30 00:00:00,2,R,,,350,300,350
AK2110449,1026789,,0,N,N,2024-02-08 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1986-06-30 00:00:00,1989-06-30 00:00:00,,,2024-02-08 00:00:00,3,S,,,500,500,500
AK2110449,1167393,1.0,0,N,N,2024-02-08 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1990-05-01 00:00:00,1993-04-30 00:00:00,,,2024-02-08 00:00:00,3,S,,,500,500,500
AK2110449,161680,,0,N,N,2024-02-08 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2024-02-08 00:00:00,3,S,,,500,500,500
