state_code,county_name,superfund_site_count
AK, NOT DEFINED ,82
AK,ALEUTIAN ISLANDS,5
AK,ALEUTIANS EAST,8
AK,ALEUTIANS WEST,10
AK,ANCHORAGE,42
AK,BETHEL,6
AK,BRISTOL BAY,7
AK,DENALI,5
AK,DILLINGHAM,1
AK,FAIRBANKS NORTH STAR,19
AK,HAINES,3
AK,JUNEAU,7
AK,KENAI PENINSULA,7
AK,KETCHIKAN GATEWAY,6
AK,KOBUK,2
AK,KODIAK ISLAND,5
AK,LAKE AND PENINSULA,2
AK,MATANUSKA SUSITNA,4
AK,NOME,8
AK,NORTH SLOPE,31
AK,NORTHWEST ARCTIC,7
AK,PRINCE OF WALES OUTER KETCHIKAN,10
AK,SITKA,5
AK,SKAGWAY HOONAH ANGOON,3
AK,SOUTHEAST FAIRBANKS,14
AK,VALDEZ CORDOVA,12
AK,WADE HAMPTON,1
AK,WRANGELL PETERSBURG,7
AK,YAKUTAT,2
AK,YUKON KOYUKUK,17
AL, NOT DEFINED ,21
AL,AUTAUGA,2
AL,BALDWIN,6
AL,BLOUNT,2
AL,BUTLER,4
AL,CALHOUN,38
AL,CHAMBERS,2
AL,CHEROKEE,1
AL,CHILTON,5
AL,CLARKE,3
AL,CLEBURNE,7
AL,COLBERT,8
AL,CONECUH,1
AL,COOSA,3
AL,COVINGTON,1
AL,CRENSHAW,1
AL,CULLMAN,2
AL,DALE,4
AL,DALLAS,4
AL,DEKALB,3
AL,ELMORE,1
AL,ESCAMBIA,3
AL,ETOWAH,12
AL,FAYETTE,1
AL,FRANKLIN,1
AL,GENEVA,1
AL,GREENE,2
AL,HENRY,2
AL,HOUSTON,5
AL,JACKSON,5
AL,JEFFERSON,53
AL,LAMAR,1
AL,LAUDERDALE,9
AL,LAWRENCE,1
AL,LEE,2
AL,LIMESTONE,5
AL,LOWNDES,1
AL,MACON,5
AL,MADISON,15
AL,MARENGO,2
AL,MARION,3
AL,MARSHALL,5
AL,MOBILE,30
AL,MONROE,1
AL,MONTGOMERY,20
AL,MORGAN,6
AL,PERRY,1
AL,PIKE,1
AL,RANDOLPH,2
AL,RUSSELL,3
AL,SHELBY,11
AL,ST CLAIR,7
AL,SUMTER,1
AL,TALLADEGA,14
AL,TALLAPOOSA,3
AL,TUSCALOOSA,14
AL,WALKER,3
AL,WASHINGTON,4
AL,WINSTON,2
AR, NOT DEFINED ,7
AR,BENTON,1
AR,BOONE,1
AR,CALHOUN,1
AR,CLARK,2
AR,CLAY,1
AR,COLUMBIA,1
AR,CRAIGHEAD,1
AR,CRAWFORD,3
AR,CRITTENDEN,3
AR,CROSS,1
AR,DALLAS,1
AR,FAULKNER,2
AR,GARLAND,2
AR,GREENE,1
AR,HEMPSTEAD,3
AR,HOT SPRING,4
AR,HOWARD,1
AR,JACKSON,1
AR,JEFFERSON,6
AR,LAFAYETTE,1
AR,LAWRENCE,1
AR,LITTLE RIVER,1
AR,LONOKE,2
AR,MILLER,2
AR,MISSISSIPPI,3
AR,NEVADA,1
AR,OUACHITA,1
AR,PHILLIPS,1
AR,PIKE,1
AR,POLK,4
AR,PRAIRIE,2
AR,PULASKI,9
AR,SEBASTIAN,5
AR,ST FRANCIS,2
AR,UNION,8
AR,VAN BUREN,2
AR,WASHINGTON,2
AR,WHITE,1
AR,YELL,3
AS, NOT DEFINED ,10
AS,EASTERN DISTRICT ,4
AS,WESTERN DISTRICT ,4
AZ, NOT DEFINED ,23
AZ,APACHE,27
AZ,COCHISE,2
AZ,COCONINO,15
AZ,GILA,21
AZ,GRAHAM,2
AZ,GREENLEE,3
AZ,LA PAZ,3
AZ,MARICOPA,49
AZ,MOHAVE,8
AZ,NAVAJO,7
AZ,PIMA,24
AZ,PINAL,12
AZ,SANTA CRUZ,7
AZ,YAVAPAI,19
AZ,YUMA,11
CA, NOT DEFINED ,57
CA,ALAMEDA,48
CA,ALPINE,1
CA,AMADOR,3
CA,BUTTE,15
CA,CALAVERAS,5
CA,COLUSA,7
CA,CONTRA COSTA,24
CA,DEL NORTE,3
CA,EL DORADO,6
CA,FRESNO,35
CA,GLENN,2
CA,HUMBOLDT,14
CA,IMPERIAL,13
CA,INYO,5
CA,KERN,37
CA,KINGS,5
CA,LAKE,11
CA,LASSEN,4
CA,LOS ANGELES,305
CA,MADERA,3
CA,MARIN,8
CA,MARIPOSA,4
CA,MENDOCINO,9
CA,MERCED,3
CA,MODOC,1
CA,MONO,4
CA,MONTEREY,12
CA,NAPA,6
CA,NEVADA,7
CA,ORANGE,54
CA,PLACER,8
CA,PLUMAS,5
CA,RIVERSIDE,35
