state_name,location_address,update_date,std_full_address,user_id,std_city_name,country_name,tribal_land_name,federal_agency_code,std_stype_before,std_base_name,std_stype_after,refresh_date,std_name,create_date,city_name,federal_facility_code,tribal_land_code,site_type_name,registry_id,primary_name,std_state_code,county_name,small_bus_ind,source_of_data,std_street_name,postal_code,huc_code_12,sensitive_ind,std_county_fips,fips_code,pgm_sys_id,std_house_number,huc_code_8,std_county_name,location_description,std_prefix,std_country,public_ind,supplemental_location,epa_region_code,state_code,data_quality_code,addr_type,last_reported_date,std_postal_code,legislative_dist_num,std_loc_address,std_suffix,pgm_sys_acrnm
,00000 ROAD 22,,,,,USA,,,,,,,,,PERU,,,,110071955973,SULFUR ROAD 22 STOCKPILE,, NOT DEFINED ,,SEMS,,67360,,,,,KSN000741193,,,,,,,Y,,7.0,KS,,,,,,,,SEMS
,006N 003W SECTION 34,,,,,USA,,,,,,,,,BOULDER,,,,110071101650,TACOMA 22 284 ,,JEFFERSON,,SEMS,,59634,,,,,MTN000803106,,,,,,,Y,,8.0,MT,,,,,,,,SEMS
,006N 003W SECTION 34,,,,,USA,,,,,,,,,ELKHORN,,,,110071101649,ELKHORN QUEEN 22 027 ,,JEFFERSON,,SEMS,,56932,,,,,MTN000803105,,,,,,,Y,,8.0,MT,,,,,,,,SEMS
,00 ALC EM,,,,,USA,,,,,,,,,HILL AFB,,,,110020078529,HILL AIR FORCE BASE,, NOT DEFINED ,,SEMS,,84056,,,,,UT0571724350,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,0 10 MILES NORTHWEST OF 1092 HIGHWAY 75,,,,,USA,,,,,,,,,PARKIN,,,,110039020154,CHERRY PROPERTY,,CROSS,,SEMS,,72373,,,,,ARN000606995,,,,,,,Y,,6.0,AR,,,,,,,,SEMS
,0 10 MILES SW OF CLIFF VIEW LN ,,,,,USA,,,,,,,,,PROCTORVILLE,,,,110043240720,RILEY DEVELOPMENT,,LAWRENCE,,SEMS,,45669,,,,,OHN000510540,,,,,,,Y,,5.0,OH,,,,,,,,SEMS
,011N 006W,,,,,USA,,,,,,,,,AVON,,,,110071101336,OPHIR MINING DISTRICT,,POWELL,,SEMS,,59713,,,,,MTN000802567,,,,,,,Y,,8.0,MT,,,,,,,,SEMS
,0 1 MI EAST OF END OF PLANT ST,,,,,USA,,,,,,,,,GREENVILLE,,,,110009340178,GREENVILLE COAL GAS PLANT,,PITT,,SEMS,,27834,,,,,NCD986188886,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,0 1 MILE EAST OF 29A CENTENNIAL STREET,,,,,USA,,,,,,,,,HIGH POINT,,,,110009340123,HIGH POINT COAL GAS PLANT,,GUILFORD,,SEMS,,27260,,,,,NCD986188837,,,,,,,Y,,4.0,NC,,,,,,,,SEMS
,0 23 MILE N OF 75TH AVE EAST,,,,,USA,,,,,,,,,SARASOTA,,,,110009274212,PROSPECT ROAD CATTLE DIP VAT,,MANATEE,,SEMS,,34243,,,,,FLN000407256,,,,,,,Y,,4.0,FL,,,,,,,,SEMS
