FIPS,state_fips,county_fips,emp_2012,estab_2012,emp_2021,estab_2021,extraction_emp_change,extraction_pct_change,estab_change,estab_pct_change,population,extraction_emp_per_10k_2021
01001,01,001,0,2,87,6,87,,4,200.0,58761,14.8057
01003,01,003,64,9,36,8,-28,-43.75,-1,-11.11,233420,1.5423
01005,01,005,0,5,0,0,0,,-5,-100.0,24877,0.0
01007,01,007,0,1,0,0,0,,-1,-100.0,22251,0.0
01009,01,009,0,1,24,4,24,,3,300.0,59077,4.0625
01015,01,015,0,2,0,0,0,,-2,-100.0,116162,0.0
01021,01,021,0,3,0,0,0,,-3,-100.0,45140,0.0
01023,01,023,22,7,0,0,-22,-100.0,-7,-100.0,12669,0.0
01025,01,025,0,2,51,3,51,,1,50.0,23058,22.1181
01027,01,027,0,1,0,0,0,,-1,-100.0,14209,0.0
01029,01,029,0,1,0,0,0,,-1,-100.0,15144,0.0
01033,01,033,0,7,94,6,94,,-1,-14.29,57270,16.4135
01035,01,035,0,1,0,0,0,,-1,-100.0,11576,0.0
01039,01,039,0,2,0,0,0,,-2,-100.0,37542,0.0
01041,01,041,0,1,0,0,0,,-1,-100.0,13205,0.0
01043,01,043,0,2,0,0,0,,-2,-100.0,88284,0.0
01047,01,047,0,3,0,0,0,,-3,-100.0,38326,0.0
01049,01,049,0,1,0,0,0,,-1,-100.0,71680,0.0
01051,01,051,31,5,20,3,-11,-35.48,-2,-40.0,87694,2.2807
01053,01,053,181,8,168,3,-13,-7.18,-5,-62.5,36755,45.7081
01055,01,055,0,1,0,0,0,,-1,-100.0,103348,0.0
01057,01,057,0,6,24,5,24,,-1,-16.67,16297,14.7266
01059,01,059,0,3,44,3,44,,0,0.0,32011,13.7453
01067,01,067,0,1,0,0,0,,-1,-100.0,17282,0.0
01069,01,069,0,1,0,0,0,,-1,-100.0,107040,0.0
01071,01,071,0,4,29,3,29,,-1,-25.0,52618,5.5114
01073,01,073,1958,28,940,23,-1018,-51.99,-5,-17.86,672265,13.9826
01075,01,075,0,2,0,0,0,,-2,-100.0,13885,0.0
01079,01,079,0,1,0,0,0,,-1,-100.0,33116,0.0
01081,01,081,62,3,59,4,-3,-4.84,1,33.33,175126,3.369
01083,01,083,0,2,35,4,35,,2,100.0,104199,3.359
01085,01,085,0,2,0,0,0,,-2,-100.0,10153,0.0
01087,01,087,0,2,0,0,0,,-2,-100.0,19198,0.0
01089,01,089,0,2,102,5,102,,3,150.0,389781,2.6169
01093,01,093,0,2,0,0,0,,-2,-100.0,29203,0.0
01095,01,095,0,2,41,3,41,,1,50.0,97923,4.187
01097,01,097,344,17,88,12,-256,-74.42,-5,-29.41,413878,2.1262
01099,01,099,0,2,0,0,0,,-2,-100.0,19816,0.0
