FIPS,state_fips,county_fips,sporting_goods_estab,sporting_goods_emp,wholesale_estab,wholesale_emp,total_gun_related_estab,total_gun_related_emp,population,dealers_per_10k,naics_source
01001,01,001,3,106,0,0,3,106,58761,0.5105,451110
01003,01,003,23,326,4,20,27,346,233420,1.1567,451110
01015,01,015,7,74,0,0,7,74,116162,0.6026,451110
01039,01,039,3,5,0,0,3,5,37542,0.7991,451110
01043,01,043,5,71,0,0,5,71,88284,0.5664,451110
01045,01,045,3,18,0,0,3,18,49455,0.6066,451110
01055,01,055,5,118,0,0,5,118,103348,0.4838,451110
01069,01,069,7,152,0,0,7,152,107040,0.654,451110
01071,01,071,6,32,0,0,6,32,52618,1.1403,451110
01073,01,073,41,652,8,150,49,802,672265,0.7289,451110
01077,01,077,5,181,0,0,5,181,94329,0.5301,451110
01081,01,081,10,169,0,0,10,169,175126,0.571,451110
01089,01,089,30,459,7,145,37,604,389781,0.9493,451110
01095,01,095,5,20,0,0,5,20,97923,0.5106,451110
01097,01,097,26,330,4,55,30,385,413878,0.7249,451110
01101,01,101,11,179,6,112,17,291,228132,0.7452,451110
01103,01,103,4,71,0,0,4,71,123102,0.3249,451110
01115,01,115,3,10,0,0,3,10,91719,0.3271,451110
01117,01,117,14,295,10,432,24,727,223916,1.0718,451110
01121,01,121,3,14,0,0,3,14,81105,0.3699,451110
01125,01,125,12,249,0,0,12,249,231558,0.5182,451110
02016,02,016,0,0,3,14,3,14,5219,5.7482,451110
02020,02,020,30,638,7,45,37,683,290674,1.2729,451110
02090,02,090,9,213,0,0,9,213,96299,0.9346,451110
02110,02,110,5,51,0,0,5,51,32108,1.5572,451110
02122,02,122,11,73,0,0,11,73,59235,1.857,451110
02150,02,150,3,21,0,0,3,21,13065,2.2962,451110
02170,02,170,11,88,0,0,11,88,108661,1.0123,451110
02220,02,220,3,13,0,0,3,13,8462,3.5453,451110
04003,04,003,6,27,0,0,6,27,125504,0.4781,451110
04005,04,005,21,260,0,0,21,260,144705,1.4512,451110
04007,04,007,4,29,0,0,4,29,53419,0.7488,451110
04013,04,013,259,3434,94,671,353,4105,4430871,0.7967,451110
04015,04,015,21,110,5,13,26,123,214229,1.2137,451110
04017,04,017,7,71,0,0,7,71,107110,0.6535,451110
04019,04,019,59,606,9,67,68,673,1042393,0.6523,451110
04021,04,021,11,66,0,0,11,66,433338,0.2538,451110
04025,04,025,22,193,5,121,27,314,237830,1.1353,451110
04027,04,027,10,93,0,0,10,93,204374,0.4893,451110
05005,05,005,7,27,0,0,7,27,41801,1.6746,451110
05007,05,007,23,442,10,117,33,559,286528,1.1517,451110
05023,05,023,3,9,0,0,3,9,24948,1.2025,451110
05031,05,031,10,138,0,0,10,138,111038,0.9006,451110
05033,05,033,3,23,0,0,3,23,60593,0.4951,451110
05045,05,045,7,160,0,0,7,160,124611,0.5617,451110
05051,05,051,9,76,0,0,9,76,100021,0.8998,451110
05063,05,063,4,31,0,0,4,31,37910,1.0551,451110
05069,05,069,3,36,0,0,3,36,66934,0.4482,451110
05089,05,089,3,7,0,0,3,7,16905,1.7746,451110
05115,05,115,3,5,0,0,3,5,63475,0.4726,451110
05119,05,119,40,567,7,81,47,648,398322,1.1799,451110
05125,05,125,7,78,0,0,7,78,123988,0.5646,451110
05131,05,131,13,186,4,128,17,314,128184,1.3262,451110
05139,05,139,3,16,0,0,3,16,38815,0.7729,451110
05143,05,143,21,216,4,15,25,231,247331,1.0108,451110
05145,05,145,8,29,0,0,8,29,77118,1.0374,451110
06001,06,001,93,933,33,295,126,1228,1663823,0.7573,451110
06007,06,007,27,294,0,0,27,294,213605,1.264,451110
06013,06,013,61,696,10,54,71,750,1162648,0.6107,451110
06017,06,017,22,251,0,0,22,251,191713,1.1475,451110
06019,06,019,48,648,5,74,53,722,1008280,0.5256,451110
06023,06,023,13,184,0,0,13,184,136132,0.955,451110
06027,06,027,8,46,0,0,8,46,18829,4.2488,451110
06029,06,029,31,272,5,20,36,292,906883,0.397,451110
06037,06,037,389,3896,326,2654,715,6550,9936690,0.7196,451110
06039,06,039,4,34,0,0,4,34,157243,0.2544,451110
06041,06,041,43,475,9,44,52,519,260485,1.9963,451110
06045,06,045,9,38,0,0,9,38,91145,0.9874,451110
06047,06,047,9,72,0,0,9,72,282290,0.3188,451110
06051,06,051,13,202,0,0,13,202,13219,9.8343,451110
06053,06,053,19,204,0,0,19,204,437609,0.4342,451110
06055,06,055,10,75,0,0,10,75,137384,0.7279,451110
06057,06,057,16,218,3,44,19,262,102322,1.8569,451110
06059,06,059,269,2791,151,1216,420,4007,3175227,1.3227,451110
06061,06,061,41,573,9,64,50,637,406608,1.2297,451110
06065,06,065,103,965,41,612,144,1577,2429487,0.5927,451110
06067,06,067,83,921,16,124,99,1045,1579211,0.6269,451110
06071,06,071,76,1255,53,701,129,1956,2180563,0.5916,451110
06073,06,073,256,2417,126,1997,382,4414,3289701,1.1612,451110
06075,06,075,48,600,7,81,55,681,851036,0.6463,451110
06077,06,077,34,511,5,21,39,532,779445,0.5004,451110
06079,06,079,37,308,9,110,46,418,281712,1.6329,451110
06081,06,081,50,556,15,88,65,644,754250,0.8618,451110
06083,06,083,38,323,8,18,46,341,445213,1.0332,451110
06085,06,085,84,1230,20,585,104,1815,1916831,0.5426,451110
06087,06,087,28,314,7,251,35,565,268571,1.3032,451110
06089,06,089,17,235,5,38,22,273,181852,1.2098,451110
06093,06,093,3,32,0,0,3,32,44049,0.6811,451110
06095,06,095,23,275,6,124,29,399,450995,0.643,451110
06097,06,097,38,513,12,114,50,627,488436,1.0237,451110
06099,06,099,22,289,3,67,25,356,552063,0.4528,451110
06101,06,101,4,38,0,0,4,38,99101,0.4036,451110
06107,06,107,13,230,0,0,13,230,473446,0.2746,451110
06109,06,109,6,35,0,0,6,35,54993,1.091,451110
06111,06,111,52,547,35,435,87,982,842009,1.0332,451110
06113,06,113,13,91,0,0,13,91,217141,0.5987,451110
08001,08,001,17,226,8,94,25,320,520149,0.4806,451110
08003,08,003,3,20,0,0,3,20,16460,1.8226,451110
08005,08,005,44,651,18,104,62,755,654453,0.9474,451110
08007,08,007,5,46,0,0,5,46,13509,3.7012,451110
08013,08,013,53,678,29,358,82,1036,328658,2.495,451110
08014,08,014,10,397,0,0,10,397,73946,1.3523,451110
08015,08,015,13,72,0,0,13,72,19564,6.6449,451110
08019,08,019,3,10,0,0,3,10,9403,3.1905,451110
08031,08,031,46,888,17,271,63,1159,710800,0.8863,451110
08035,08,035,38,678,7,15,45,693,360206,1.2493,451110
08037,08,037,58,696,14,27,72,723,55650,12.938,451110
08041,08,041,60,1332,10,23,70,1355,730323,0.9585,451110
08043,08,043,3,20,0,0,3,20,49107,0.6109,451110
08045,08,045,14,69,3,5,17,74,61683,2.756,451110
08049,08,049,10,60,0,0,10,60,15724,6.3597,451110
08051,08,051,15,141,0,0,15,141,17018,8.8142,451110
08059,08,059,74,974,28,164,102,1138,580519,1.757,451110
08065,08,065,4,6,0,0,4,6,7403,5.4032,451110
08067,08,067,14,155,0,0,14,155,55983,2.5008,451110
08069,08,069,54,1227,6,15,60,1242,359363,1.6696,451110
08077,08,077,22,378,5,15,27,393,156131,1.7293,451110
08079,08,079,3,3,0,0,3,3,794,37.7834,451110
08083,08,083,3,14,0,0,3,14,26070,1.1507,451110
08085,08,085,10,39,0,0,10,39,42823,2.3352,451110
08093,08,093,3,3,0,0,3,3,17597,1.7048,451110
08097,08,097,31,218,0,0,31,218,17325,17.8932,451110
08101,08,101,12,135,0,0,12,135,168135,0.7137,451110
08105,08,105,3,15,0,0,3,15,11442,2.6219,451110
08107,08,107,23,269,3,69,26,338,24944,10.4233,451110
08113,08,113,14,123,0,0,14,123,8082,17.3224,451110
08117,08,117,54,580,3,10,57,590,30955,18.4138,451110
08123,08,123,13,128,8,42,21,170,331466,0.6335,451110
09001,09,001,94,845,17,356,111,1201,,,451110
09003,09,003,67,768,11,137,78,905,,,451110
09005,09,005,11,64,0,0,11,64,,,451110
09007,09,007,15,97,5,56,20,153,,,451110
09009,09,009,39,449,13,116,52,565,,,451110
09011,09,011,16,136,4,230,20,366,,,451110
09013,09,013,3,8,3,4,6,12,,,451110
09015,09,015,4,10,0,0,4,10,,,451110
10001,10,001,6,89,6,17,12,106,182400,0.6579,451110
10003,10,003,37,663,7,15,44,678,570567,0.7712,451110
10005,10,005,27,97,0,0,27,97,240668,1.1219,451110
11001,11,001,17,216,0,0,17,216,670587,0.2535,451110
12001,12,001,23,277,4,19,27,296,279729,0.9652,451110
12005,12,005,22,165,3,9,25,174,181055,1.3808,451110
12009,12,009,68,549,15,201,83,750,610723,1.359,451110
12011,12,011,130,1091,102,970,232,2061,1940907,1.1953,451110
12015,12,015,19,48,8,39,27,87,189900,1.4218,451110
12017,12,017,18,57,3,17,21,74,155173,1.3533,451110
12019,12,019,8,133,6,24,14,157,219650,0.6374,451110
12021,12,021,34,281,7,50,41,331,380221,1.0783,451110
12023,12,023,7,83,0,0,7,83,69832,1.0024,451110
12031,12,031,56,702,15,143,71,845,995708,0.7131,451110
12033,12,033,23,272,4,59,27,331,321296,0.8403,451110
12035,12,035,9,25,0,0,9,25,117515,0.7659,451110
12037,12,037,6,20,0,0,6,20,12276,4.8876,451110
12053,12,053,7,47,0,0,7,47,196621,0.356,451110
12055,12,055,3,10,0,0,3,10,102339,0.2931,451110
12057,12,057,75,785,22,179,97,964,1468560,0.6605,451110
12061,12,061,18,74,3,37,21,111,160986,1.3045,451110
12069,12,069,26,162,9,37,35,199,386829,0.9048,451110
12071,12,071,64,612,15,71,79,683,772902,1.0221,451110
12073,12,073,21,293,0,0,21,293,294128,0.714,451110
12081,12,081,23,143,8,23,31,166,405069,0.7653,451110
12083,12,083,21,180,3,8,24,188,378225,0.6345,451110
12085,12,085,29,162,15,105,44,267,159399,2.7604,451110
12086,12,086,161,1056,114,650,275,1706,2688237,1.023,451110
