country,lead_slope,suicide_slope,n_years
Afghanistan,-0.5067818090145099,-0.002395475171886846,34
Albania,-0.2473092360580568,-0.02872723495798283,34
Algeria,-0.48421667822765047,-0.03661065602750161,34
American Samoa,0.13504177433155157,0.014264176760885988,34
Andorra,-0.27667288670740814,-0.1312551594499606,34
Angola,0.12438498777692827,-0.06997432857142823,34
Antigua and Barbuda,-0.6761026725744793,-0.014030131958747057,34
Argentina,-1.0576163133689787,0.025511027654698776,34
Armenia,-1.5440122766997504,-0.00293218609625611,34
Australia,-1.0868611413292515,-0.060708991596638215,34
Austria,-0.7670731938884566,-0.25822577616501,34
Azerbaijan,-0.05183586692130706,-0.009745444614209344,34
Bahamas,-0.16124616531703417,-0.009636945393430012,34
Bahrain,-1.9853458890756142,-0.14656707008403191,34
Bangladesh,1.5818267549274176,-0.189570403468295,34
Barbados,-0.46177818411000493,-0.029882372941176263,34
Belarus,-0.6970677379678977,-0.3727233779984632,34
Belgium,-1.1217270668449124,-0.14669905278838616,34
Belize,-0.5334961860962503,-0.00786931477463649,34
Benin,-0.10778695920549912,0.050919574789916024,34
Bermuda,-0.8593928991596584,-0.07873559900687521,34
Bhutan,-0.5937731492742466,-0.006386625439266508,34
Bolivia,-0.5767145747899118,-0.0014522562566842497,34
Bosnia and Herzegovina,-0.8367189974025914,-0.26163315607333626,34
Botswana,-0.18222740886172326,-0.16359358281130432,34
Brazil,-0.6767452117647015,0.03522163845683684,34
Brunei,-0.2737203352177209,-0.015060525332314782,34
Bulgaria,-1.3962836799083123,-0.3066452120702794,34
Burkina Faso,-0.015088722077922483,-0.03653357005347548,34
Burundi,0.4568292374331521,-0.2530051460656973,34
Cambodia,0.18404685423987677,-0.054514223819709266,34
Cameroon,0.44656939174942395,0.051091279067990776,34
Canada,-0.8232010189457549,-0.07540443422459835,34
Cape Verde,-0.03486013017570321,0.05765342964094731,34
Central African Republic,0.08581674423223888,-0.0493955362872414,34
Chad,0.4128307500381935,0.11393065561497304,34
Chile,-0.498789554621846,-0.30518573677616456,34
China,-0.7838388067226832,-0.6031738937356711,34
Colombia,-0.5389670620320821,0.03849851996944241,34
Comoros,0.033920136058059616,-0.10415262106951793,34
Congo,0.5163844310160395,-0.1522504038961024,34
Cook Islands,-0.08359336027501772,-0.16037266906035003,34
Costa Rica,-0.805788281588993,0.0409985957066462,34
Cote d'Ivoire,0.2795731112299442,0.015936702215431604,34
Croatia,-0.8384776194041184,-0.2995867034377365,34
Cuba,-0.8455666455309332,-0.2798318285714268,34
Cyprus,-1.2327663720397153,-0.039065063666920884,34
Czechia,-0.9335959627196262,-0.22357457616501047,34
Democratic Republic of Congo,0.4938016129870089,0.00929290603514108,34
Denmark,-1.3050339230710386,-0.37981914255156474,34
Djibouti,0.1288334006111532,-0.03557313071046556,34
Dominica,-0.3292466206264292,0.005692690053475969,34
Dominican Republic,0.5596750010695087,0.06267593370511786,34
East Timor,0.0912939793735668,-0.029370051443850135,34
Ecuador,-0.583421376165006,0.036143910725745534,34
Egypt,1.6183767899159571,-0.008923826065698942,34
El Salvador,0.01305568006111354,-0.07816910901451449,34
Equatorial Guinea,-0.2892450696715013,-0.16811321084797476,34
Eritrea,0.13244701497326164,-0.014346628265851567,34
Estonia,-2.6717345016042517,-0.7185871364400211,34
Eswatini,-0.28990835064934806,-0.15286737983193038,34
Ethiopia,0.36082440993124393,-0.182832339648585,34
Fiji,0.175587647364401,-0.012160233613445214,34
Finland,-0.6392682213903698,-0.4596637617265061,34
France,-0.4414277799847178,-0.2957760074866289,34
Gabon,0.16987677708174073,-0.016670462796027474,34
Gambia,0.3343303944996155,-0.0002796409472877601,34
Georgia,-2.5189494004583413,0.038848497585943255,34
Germany,-0.8105758182582062,-0.1592165689839565,34
Ghana,-0.3122351410236799,0.0724470453017564,34
Greece,-0.8837117220779139,0.00728595329258963,34
Greenland,-0.8597213237585866,-1.2519598201680555,34
Grenada,-0.8758385663865472,-0.03130963844155828,34
Guam,0.082698512452254,0.18131326485866892,34
Guatemala,-0.14314085729564557,-0.13027023801374915,34
Guinea,0.16580062169595014,0.05593033827349112,34
Guinea-Bissau,0.699520181359812,0.05437630450725701,34
Guyana,-0.9092454233766154,-0.06902813796791193,34
Haiti,0.6262173372039688,-0.026871944980901365,34
Honduras,0.36200610679908185,-0.04036309595110732,34
Hungary,-0.8964619769289441,-0.640052529870126,34
Iceland,-0.9059630944232164,-0.11316623254392624,34
India,0.2248892082505721,-0.09214865859434451,34
Indonesia,0.09717197799847213,-0.0019568788846447078,34
Iran,-1.8246824568372684,-0.029001182597402534,34
Iraq,0.10180393689839923,0.02410327344537798,34
Ireland,-1.481376232238339,-0.16154344576012028,34
Israel,-1.1858081795263484,-0.12481370080977737,34
Italy,-0.6796191771581307,-0.07101023135217657,34
Jamaica,-0.027501761191751257,0.02351113661879279,34
Japan,-0.2910429749121455,-0.030464883346064377,34
Jordan,-0.24112948097784279,-0.044071072116118826,34
Kazakhstan,-1.9540990606569564,-0.45117235462183963,34
Kenya,0.05665975301757113,-0.06698584514896744,34
Kiribati,0.1300133486631015,-0.07804591214667618,34
Kuwait,-2.1719699145912768,-0.0009327546371275679,34
Kyrgyzstan,0.6387651398013803,-0.3297898619251301,34
Laos,0.267981370359052,-0.0368715831321616,34
Latvia,-1.6928406910618599,-0.7090830696714954,34
Lebanon,0.1402073084797545,-0.013478859954163421,34
Lesotho,-0.04728326157371887,0.12472636287242021,34
Liberia,0.5946351428571385,0.04226516317799841,34
Libya,0.19332305790679893,0.009414508983957246,34
Lithuania,-1.4625098420167906,-0.6330956614209201,34
Luxembourg,-0.8280084220779165,-0.3191073807028248,34
Madagascar,0.1978832407944993,-0.16581419350649226,34
Malawi,0.04507200137509701,-0.1198347535523291,34
Malaysia,-0.6276342012223012,-0.03413519275782994,34
Maldives,-0.08871157998471894,-0.03973113428571395,34
Mali,0.20326739449961653,0.01698137173414824,34
Malta,-1.5621548394193934,-0.048841875569136314,34
Marshall Islands,0.6997187905271168,-0.0802606247517182,34
Mauritania,0.3234319104660035,-0.009319086631015888,34
Mauritius,-0.6873112838808217,-0.23287452941176365,34
Mexico,0.0994384690603515,0.08623843463712695,34
Micronesia (country),-0.3203145975553812,-0.0808153557677609,34
Moldova,-2.1731970725744536,-0.2647872493506459,34
Monaco,-0.835815696440023,-0.03757171650114572,34
Mongolia,-1.9673736038196827,-0.06524964751718695,34
Montenegro,-0.4804067410236763,-0.17927581092436787,34
Morocco,-0.9407620895339853,-0.019439388006111294,34
Mozambique,0.2959453370511823,-0.03481323262032035,34
Myanmar,0.013867164247519513,-0.05348026071810486,34
Namibia,-0.1117978614209301,-0.07933720802138955,34
Nauru,0.6212114877005336,-0.11405639220779105,34
Nepal,-0.4212956485867002,0.003553244919786206,34
Netherlands,-0.8754284125286418,-0.021498503300229163,34
New Zealand,-1.340453724522527,-0.0989853472116108,34
Nicaragua,0.7572715208556086,0.022865989610390144,34
Niger,0.27323503804430743,0.06028886485867046,34
Nigeria,0.3460264235294098,-0.039980120687547166,34
Niue,-0.043740042016805,-0.1417051333078672,34
North Korea,0.5694248707410214,-0.08580583161191677,34
North Macedonia,-0.720105570970197,-0.0860693467838035,34
Northern Mariana Islands,0.20489373292589683,-0.004104167456073389,34
Norway,-0.8299010090145088,-0.13006031810542357,34
Oman,-0.7504677775401016,-0.007906783116883035,34
Pakistan,0.09154418380443068,0.020270878731856505,34
Palau,-0.07313125454545212,-0.07918913873185536,34
Palestine,-0.6890690716577452,-0.002411878351413217,34
Panama,-0.4735939092436953,0.020654851841100365,34
Papua New Guinea,0.3130734126814354,-0.0028365594041252673,34
Paraguay,0.05706369595110661,0.1590024438961027,34
Peru,-0.5073458366692092,-0.008048713705118178,34
Philippines,0.12999301329259066,-0.013075148846447688,34
Poland,-1.4417597312452137,-0.15505707242169386,34
Portugal,-1.3655838586707316,-0.16285390663101543,34
Puerto Rico,-0.6893706674560689,-0.15540405824293285,34
Qatar,-1.4037244655462042,-0.12123994357524719,34
Romania,-0.8696126997708062,-0.10978036941176289,34
Russia,-1.0838520557677422,-0.7026581889992243,34
Rwanda,0.14937687288006085,-0.5361466338426227,34
Saint Kitts and Nevis,-1.11139559083269,-0.05739704556149699,34
Saint Lucia,-0.752981200152785,-0.07818326540870842,34
Saint Vincent and the Grenadines,-0.7303049190221459,-0.042645286600457986,34
Samoa,0.2844400679908318,-0.08426482039724902,34
San Marino,-0.5108400257906768,-0.16644682291825683,34
Sao Tome and Principe,0.39014461787624,0.011663878059587327,34
Saudi Arabia,0.34935080748662634,-0.13160825521772193,34
Senegal,0.2197860631016024,0.006940409167303306,34
Serbia,-1.2116952015278704,-0.3697521828876969,34
Seychelles,-0.3547747644003021,-0.0771722312605035,34
Sierra Leone,0.4560175697478942,0.07994320404889164,34
Singapore,-0.9886557836516351,-0.21622667944996052,34
Slovakia,-1.011806977081732,-0.1878790631779974,34
Slovenia,-0.6572953746371214,-0.5567812195569092,34
Solomon Islands,0.8381804259740189,-0.03590838304048859,34
Somalia,0.17532454553093868,-0.06145949136745544,34
South Africa,0.029834938120704365,-0.05725985668449125,34
South Korea,-0.5674425678380403,0.24986757265087792,34
South Sudan,0.2677254708938106,-0.05775314576012158,34
Spain,-0.6410476993124475,-0.04488614276546955,34
Sri Lanka,-0.2036536957983171,-0.9503953750954842,34
Sudan,-1.5481333460656856,-0.011018485699006713,34
Suriname,-0.40801020397249504,0.08769707012986971,34
Sweden,-0.8723961893048067,-0.17713278770053456,34
Switzerland,-1.0329555708174107,-0.39113928326966896,34
Syria,-0.5596131448433811,-0.02784240911382712,34
Taiwan,-0.5122217682200126,0.07622536928953422,34
Tajikistan,0.5574896521008398,-0.09685783080213832,34
Tanzania,0.09920712436974874,-0.1289469596638643,34
Thailand,-0.6106080912146612,-0.0362494397249797,34
Togo,0.048603055614972863,0.04218173972498086,34
Tokelau,0.1238245043544695,-0.11796506525591947,34
Tonga,0.10079982765469904,-0.011929734346829497,34
Trinidad and Tobago,-0.866836677158128,-0.1391559724216955,34
Tunisia,-0.5506668294881535,-0.04939703509549228,34
Turkey,-0.9300263309396425,0.03005534117647011,34
Turkmenistan,-0.8633503616500969,-0.05649410855614845,34
Tuvalu,0.5353763501909857,0.0438078319327723,34
Uganda,0.10006281237586077,-0.10608902352940933,34
Ukraine,-0.054585666921304704,-0.20249669365927625,34
United Arab Emirates,-0.07609916317799827,-0.11776889191749329,34
United Kingdom,-0.8319927161191696,-0.06144931155080182,34
United States,-0.6799396430863213,0.07401975087853237,34
United States Virgin Islands,-1.8191543731092334,-0.0463231127272723,34
Uruguay,-1.0424569075630188,0.18745518739495695,34
Uzbekistan,0.17573983361345225,-0.023374718319327522,34
Vanuatu,0.20403719083269756,-0.06822318426279503,34
Venezuela,0.0054717474407899175,0.002013019129106781,34
Vietnam,-0.19268405286478119,0.011257182047364285,34
Yemen,-1.3403009981665286,-0.013183261268143426,34
Zambia,0.3669631830404883,-0.06440482230710352,34
Zimbabwe,-0.05792128326966764,-0.05243823376623306,34
