code,country,lead_death_rate,suicide_rate,lead_quartile
AFG,Afghanistan,126.9501,2.7447214,Q4 (highest)
ALB,Albania,49.13961,4.5088344,Q3
DZA,Algeria,72.20112,3.3672028,Q4 (highest)
ASM,American Samoa,27.511505,6.2576337,Q2
AND,Andorra,8.214614,7.3219147,Q1 (lowest)
AGO,Angola,38.042973,14.734449,Q3
ATG,Antigua and Barbuda,20.586466,0.8649333,Q1 (lowest)
ARG,Argentina,27.35114,10.676152,Q2
ARM,Armenia,67.89158,4.122488,Q4 (highest)
AUS,Australia,12.662588,11.844055,Q1 (lowest)
AUT,Austria,18.35633,11.190138,Q1 (lowest)
AZE,Azerbaijan,107.36641,3.0636122,Q4 (highest)
BHS,Bahamas,27.863308,2.46169,Q2
BHR,Bahrain,33.351097,3.7444546,Q2
BGD,Bangladesh,88.932144,4.857504,Q4 (highest)
BRB,Barbados,18.932623,3.8634703,Q1 (lowest)
BLR,Belarus,121.690445,15.447078,Q4 (highest)
BEL,Belgium,15.838003,13.704007,Q1 (lowest)
BLZ,Belize,29.195286,6.5494657,Q2
BEN,Benin,34.84166,11.349876,Q3
BMU,Bermuda,14.847918,2.9888668,Q1 (lowest)
BTN,Bhutan,39.552677,7.985338,Q3
BOL,Bolivia,46.656197,5.9336915,Q3
BIH,Bosnia and Herzegovina,56.8446,8.655337,Q4 (highest)
BWA,Botswana,22.980944,11.610224,Q2
BRA,Brazil,21.746567,7.2001996,Q1 (lowest)
BRN,Brunei,10.393692,3.6417568,Q1 (lowest)
BGR,Bulgaria,58.7903,7.867189,Q4 (highest)
BFA,Burkina Faso,24.657701,12.016865,Q2
BDI,Burundi,31.799658,15.989241,Q2
KHM,Cambodia,45.6813,3.8391151,Q3
CMR,Cameroon,51.885384,14.96352,Q3
CAN,Canada,12.090481,11.235062,Q1 (lowest)
CPV,Cape Verde,34.00116,14.883242,Q2
CAF,Central African Republic,49.643745,17.502327,Q3
TCD,Chad,58.580055,17.91884,Q4 (highest)
CHL,Chile,11.24945,9.372943,Q1 (lowest)
CHN,China,44.57718,5.638775,Q3
COL,Colombia,25.36606,6.11558,Q2
COM,Comoros,10.487661,8.644694,Q1 (lowest)
COG,Congo,47.568775,13.965798,Q3
COK,Cook Islands,22.89853,15.255951,Q1 (lowest)
CRI,Costa Rica,28.00386,7.7117333,Q2
CIV,Cote d'Ivoire,36.830666,13.310051,Q3
HRV,Croatia,34.581448,10.40104,Q2
CUB,Cuba,43.078648,10.720041,Q3
CYP,Cyprus,26.526785,3.6495793,Q2
CZE,Czechia,31.44062,9.9219475,Q2
COD,Democratic Republic of Congo,53.41102,15.906362,Q3
DNK,Denmark,11.3266115,8.727905,Q1 (lowest)
DJI,Djibouti,17.95168,13.8949,Q1 (lowest)
DMA,Dominica,30.836283,3.5310915,Q2
