county,percent_pre1950_housing,percent_pre1978_housing,population,total_n,total_percent,all_less5_total,capillary_greater5_total,venous_5to14_total,venous_greater15_total,venous_greater5_total,venous_greater5_percent,all_greater5_total,all_greater5_percent
Alcona,15.0,61.5,134.0,44,32.8,41,,0.0,0.0,0.0,0.0,,
Alger,25.7,64.1,137.0,55,40.1,51,,,0.0,,,,
Allegan,21.0,51.1,2656.0,966,36.4,929,30.0,,,7.0,0.7,37.0,3.8
Alpena,23.5,71.6,535.0,218,40.7,216,,0.0,0.0,0.0,0.0,,
Antrim,17.1,52.6,390.0,182,46.7,179,,0.0,0.0,0.0,0.0,,
Arenac,16.9,58.2,226.0,153,67.7,151,,,0.0,,,,
Baraga,30.9,71.7,143.0,98,68.5,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barry,24.5,57.3,1241.0,357,28.8,345,,,,,,12.0,3.4
Bay,32.1,75.6,2125.0,1182,55.6,1134,36.0,,,12.0,1.0,48.0,4.1
Benzie,17.1,46.3,307.0,180,58.6,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berrien,26.5,72.2,3815.0,1293,33.9,1245,22.0,,,26.0,2.0,48.0,3.7
Branch,27.8,65.3,1185.0,255,21.5,246,,,0.0,,,9.0,3.5
Calhoun,32.6,75.3,3338.0,1067,32.0,1013,17.0,29.0,8.0,37.0,3.5,54.0,5.1
Cass,20.3,59.9,961.0,369,38.4,360,,,0.0,,,9.0,2.4
Charlevoix,19.8,54.4,487.0,188,38.6,186,,,0.0,,,,
Cheboygan,23.0,53.5,408.0,175,42.9,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chippewa,22.0,58.6,704.0,230,32.7,225,,,0.0,,,,
Clare,12.0,58.8,661.0,307,46.4,306,0.0,,0.0,,,,
Clinton,22.1,52.8,1690.0,364,21.5,359,,,0.0,,,,
Crawford,10.5,55.6,224.0,70,31.3,69,0.0,,0.0,,,,
Delta,32.4,68.0,728.0,341,46.8,323,11.0,7.0,0.0,7.0,2.1,18.0,5.3
Dickinson,36.4,71.7,533.0,180,33.8,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eaton,20.1,56.4,2305.0,610,26.5,585,11.0,14.0,0.0,14.0,2.3,25.0,4.1
Emmet,22.8,48.3,616.0,235,38.1,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genesee,19.9,68.0,9867.0,4196,42.5,4090,56.0,,,50.0,1.2,106.0,2.5
Gladwin,12.0,49.5,499.0,215,43.1,213,,,0.0,,,,
Gogebic,46.4,76.7,237.0,115,48.5,108,,,0.0,,,7.0,6.1
Grand Traverse,14.8,43.5,2013.0,937,46.5,918,13.0,6.0,0.0,6.0,0.6,19.0,2.0
Gratiot,36.5,69.8,818.0,280,34.2,279,,0.0,0.0,0.0,0.0,,
Hillsdale,34.5,63.2,1071.0,361,33.7,348,,,0.0,,,13.0,3.6
Houghton,50.5,75.5,749.0,471,62.9,461,0.0,,,10.0,2.1,10.0,2.1
Huron,28.9,68.9,590.0,217,36.8,213,,0.0,,,,,
Ingham,23.9,68.2,6440.0,2693,41.8,2624,32.0,,,37.0,1.4,69.0,2.6
Ionia,33.2,63.0,1492.0,641,43.0,620,15.0,,,6.0,0.9,21.0,3.3
Iosco,17.7,65.6,493.0,224,45.4,215,,,,,,9.0,4.0
Iron,43.3,72.1,186.0,79,42.5,78,,0.0,0.0,0.0,0.0,,
Isabella,16.1,48.2,1337.0,453,33.9,447,,,0.0,,,6.0,1.3
Jackson,30.2,67.9,3412.0,2192,64.2,2080,79.0,,,33.0,1.5,112.0,5.1
Kalamazoo,22.0,62.6,6234.0,2082,33.4,2009,54.0,,,19.0,0.9,73.0,3.5
Kalkaska,11.2,49.3,367.0,101,27.5,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,23.1,59.2,17888.0,7767,43.4,7283,371.0,100.0,13.0,113.0,1.5,484.0,6.2
Keweenaw,44.5,77.6,29.0,19,65.5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,11.3,52.6,144.0,78,54.2,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lapeer,19.6,52.9,1672.0,647,38.7,629,,0.0,,,,18.0,2.8
Leelanau,16.0,46.5,313.0,164,52.4,157,,,0.0,,,7.0,4.3
Lenawee,30.9,67.2,2255.0,641,28.4,577,44.0,,,20.0,3.1,64.0,10.0
Livingston,11.4,39.0,3689.0,751,20.4,744,,,0.0,,,7.0,0.9
Luce,24.8,64.3,102.0,68,66.7,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mackinac,23.6,58.6,182.0,109,59.9,108,0.0,,0.0,,,,
Macomb,9.1,59.1,18754.0,6773,36.1,6690,60.0,,,23.0,0.3,83.0,1.2
Manistee,27.4,63.9,376.0,236,62.8,230,,0.0,,,,6.0,2.5
Marquette,29.0,69.4,1241.0,381,30.7,374,,,0.0,,,7.0,1.8
Mason,27.4,64.6,591.0,131,22.2,128,,,0.0,,,,
Mecosta,17.6,53.4,840.0,233,27.7,231,,0.0,0.0,0.0,0.0,,
Menominee,31.1,73.2,436.0,208,47.7,197,,,,,,11.0,5.3
Midland,14.2,58.7,1679.0,359,21.4,354,,,0.0,,,,
Missaukee,17.4,56.2,351.0,105,29.9,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,21.9,59.0,3208.0,990,30.9,976,8.0,,,6.0,0.6,14.0,1.4
Montcalm,25.0,57.7,1411.0,539,38.2,526,,,0.0,,,13.0,2.4
Montmorency,13.5,58.6,127.0,48,37.8,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muskegon,26.7,66.2,4150.0,1551,37.4,1480,35.0,29.0,7.0,36.0,2.3,71.0,4.6
Newaygo,17.9,53.6,1097.0,367,33.5,361,,,0.0,,,6.0,1.6
Oakland,14.1,60.5,27162.0,8597,31.7,8469,61.0,59.0,8.0,67.0,0.8,128.0,1.5
Oceana,23.9,57.8,604.0,218,36.1,215,,,0.0,,,,
Ogemaw,15.5,61.6,373.0,148,39.7,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ontonagon,39.2,73.2,59.0,35,59.3,34,0.0,,0.0,,,,
Osceola,18.7,56.6,522.0,218,41.8,216,,0.0,0.0,0.0,0.0,,
Oscoda,13.0,62.1,135.0,61,45.2,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otsego,11.2,50.3,488.0,165,33.8,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ottawa,14.8,45.3,7054.0,2369,33.6,2321,40.0,8.0,0.0,8.0,0.3,48.0,2.0
Presque Isle,22.0,66.3,184.0,83,45.1,82,,0.0,0.0,0.0,0.0,,
Roscommon,9.8,58.7,362.0,162,44.8,161,,0.0,0.0,0.0,0.0,,
Saginaw,26.3,73.1,4490.0,2495,55.6,2423,59.0,,,13.0,0.5,72.0,2.9
Saint Clair,25.6,59.4,3146.0,1422,45.2,1359,54.0,,,9.0,0.6,63.0,4.4
Saint Joseph,24.2,65.1,1568.0,603,38.5,576,,,0.0,,,27.0,4.5
Sanilac,30.5,64.6,871.0,215,24.7,209,,,0.0,,,6.0,2.8
Schoolcraft,26.8,63.3,139.0,73,52.5,72,,0.0,0.0,0.0,0.0,,
Shiawassee,30.4,68.2,1421.0,797,56.1,752,39.0,6.0,0.0,6.0,0.8,45.0,5.6
Tuscola,30.0,67.4,1107.0,583,52.7,578,,,0.0,,,,
Van Buren,22.7,58.1,1872.0,449,24.0,427,12.0,10.0,0.0,10.0,2.2,22.0,4.9
Washtenaw,16.8,56.5,7337.0,2000,27.3,1968,11.0,21.0,0.0,21.0,1.1,32.0,1.6
Wayne (excluding Detroit),21.7,74.5,,9868,,9692,64.0,,,112.0,1.1,176.0,1.8
Wexford,21.4,53.7,814.0,260,31.9,257,,,0.0,,,,
City of Detroit,57.9,93.2,,9075,,8258,155.0,588.0,74.0,662.0,7.3,817.0,9.0
MICHIGAN,23.4,64.8,228094.0,86437,37.9,83441,1558.0,1277.0,161.0,1438.0,1.7,2996.0,3.5
