county,percent_pre1950_housing,percent_pre1978_housing,children_under_age6,total_n,total_percent,all_less5_total,capillary_greater5_total,venous_5to14_total,venuous_greater15_total,venous_greater5_total,venous_greater5_percent,all_greater5_total,all_greater5_percent
Alcona,12.4,61.5,398.0,53,13.3,51,<6,<6,<6,<6,,<6,
Alger,29.5,64.1,427.0,92,21.5,90,<6,<6,<6,<6,,<6,
Allegan,23.2,51.1,8806.0,1208,13.7,1177,28,<6,<6,<6,,31,2.6
Alpena,25.3,71.6,1758.0,257,14.6,248,8,<6,<6,<6,,9,3.5
Antrim,18.8,52.6,1370.0,260,19.0,258,<6,<6,<6,<6,,<6,
Arenac,19.8,58.2,870.0,186,21.4,185,<6,<6,<6,<6,,<6,
Baraga,34.0,71.7,477.0,135,28.3,134,<6,<6,<6,<6,,<6,
Barry,27.1,57.3,4143.0,491,11.9,468,19,<6,<6,<6,,23,4.7
Bay,33.9,75.6,7322.0,1408,19.2,1358,33,13,<6,17,1.2,50,3.6
Benzie,18.6,46.3,1041.0,268,25.7,266,<6,<6,<6,<6,,<6,
Berrien,28.6,72.2,11681.0,1943,16.6,1884,29,25,<6,30,1.5,59,3.0
Branch,30.9,65.3,3506.0,668,19.1,645,19,<6,<6,<6,,23,3.4
Calhoun,36.1,75.3,10149.0,2390,23.5,2290,36,58,6,64,2.7,100,4.2
Cass,22.4,59.9,3444.0,426,12.4,414,8,<6,<6,<6,,12,2.8
Charlevoix,25.3,54.4,1624.0,295,18.2,294,<6,<6,<6,<6,,<6,
Cheboygan,20.9,53.5,1414.0,286,20.2,279,6,<6,<6,<6,,7,2.4
Chippewa,25.1,58.6,2345.0,440,18.8,436,<6,<6,<6,<6,,<6,
Clare,14.5,58.8,2083.0,446,21.4,442,<6,<6,<6,<6,,<6,
Clinton,22.5,52.8,5140.0,585,11.4,579,<6,<6,<6,<6,,6,1.0
Crawford,13.7,55.6,727.0,85,11.7,84,<6,<6,<6,<6,,<6,
Delta,33.3,68.0,2388.0,413,17.3,397,14,<6,<6,<6,,16,3.9
Dickinson,38.9,71.7,1575.0,318,20.2,317,<6,<6,<6,<6,,<6,
Eaton,20.4,56.4,7356.0,1140,15.5,1113,23,<6,<6,<6,,27,2.4
Emmet,23.0,48.3,2042.0,362,17.7,362,<6,<6,<6,<6,,<6,
Genesee,19.9,68.0,31997.0,6824,21.3,6646,108,65,<6,70,1.0,178,2.6
Gladwin,12.4,49.5,1495.0,291,19.5,291,<6,<6,<6,<6,,<6,
Gogebic,50.0,76.7,855.0,154,18.0,152,<6,<6,<6,<6,,<6,
Grand Traverse,14.7,43.5,6000.0,1371,22.9,1359,9,<6,<6,<6,,12,0.9
Gratiot,34.7,69.8,2754.0,496,18.0,491,<6,<6,<6,<6,,<6,
Hillsdale,36.5,63.2,3283.0,814,24.8,795,16,<6,<6,<6,,19,2.3
Houghton,53.4,75.5,2477.0,599,24.2,585,6,6,<6,8,1.3,14,2.3
Huron,31.8,68.9,1873.0,393,21.0,381,9,<6,<6,<6,,12,3.1
Ingham,24.9,68.2,19248.0,4747,24.7,4606,99,36,6,42,0.9,141,3.0
Ionia,35.8,63.0,4878.0,843,17.3,816,22,<6,<6,<6,,27,3.2
Iosco,12.7,65.6,1233.0,150,12.2,146,<6,<6,<6,<6,,<6,
Iron,44.1,72.1,573.0,138,24.1,135,<6,<6,<6,<6,,<6,
Isabella,16.3,48.2,4208.0,640,15.2,632,7,<6,<6,<6,,8,1.3
Jackson,33.0,67.9,11296.0,2757,24.4,2602,121,30,<6,34,1.2,155,5.6
Kalamazoo,22.5,62.6,18588.0,3257,17.5,3172,55,27,<6,30,0.9,85,2.6
Kalkaska,13.2,49.3,1180.0,217,18.4,216,<6,<6,<6,<6,,<6,
Kent,24.8,59.2,52655.0,10115,19.2,9645,333,111,26,137,1.4,470,4.6
Keweenaw,46.9,77.6,115.0,25,21.7,23,<6,<6,<6,<6,,<6,
Lake,12.5,52.6,585.0,120,20.5,118,<6,<6,<6,<6,,<6,
Lapeer,20.4,52.9,5687.0,919,16.2,890,25,<6,<6,<6,,29,3.2
Leelanau,17.9,46.5,1111.0,239,21.5,234,<6,<6,<6,<6,,<6,
Lenawee,33.6,67.2,6911.0,1196,17.3,1074,94,24,<6,28,2.3,122,10.2
Livingston,11.4,39.0,12104.0,1026,8.5,1017,<6,<6,<6,<6,,9,0.9
Luce,23.8,64.3,370.0,88,23.8,88,<6,<6,<6,<6,,<6,
Mackinac,23.4,58.6,587.0,130,22.1,129,<6,<6,<6,<6,,<6,
Macomb,9.3,59.1,57878.0,9525,16.5,9397,79,40,9,49,0.5,128,1.3
Manistee,28.8,63.9,1307.0,284,21.7,271,10,<6,<6,<6,,13,4.6
Marquette,27.9,69.4,4029.0,471,11.7,458,<6,8,<6,8,1.7,13,2.8
Mason,32.1,64.6,1864.0,414,22.2,387,25,<6,<6,<6,,27,6.5
Mecosta,18.2,53.4,2520.0,316,12.5,314,<6,<6,<6,<6,,<6,
Menominee,35.4,73.2,1375.0,261,19.0,245,12,<6,<6,<6,,16,6.1
Midland,15.2,58.7,5685.0,477,8.4,472,<6,<6,<6,<6,,<6,
Missaukee,21.2,56.2,1111.0,133,12.0,132,<6,<6,<6,<6,,<6,
Monroe,23.0,59.0,10355.0,1571,15.2,1553,16,<6,<6,<6,,18,1.1
Montcalm,27.3,57.7,4527.0,748,16.5,735,6,6,<6,7,0.9,13,1.7
Montmorency,18.1,58.6,404.0,83,20.5,82,<6,<6,<6,<6,,<6,
Muskegon,25.8,66.2,13224.0,2572,19.4,2415,79,72,6,78,3.0,157,6.1
Newaygo,19.3,53.6,3581.0,447,12.5,440,7,<6,<6,<6,,7,1.6
Oakland,14.7,60.5,83501.0,14308,17.1,14102,102,91,13,104,0.7,206,1.4
Oceana,25.8,57.8,2091.0,516,24.7,506,<6,<6,<6,<6,,10,1.9
Ogemaw,12.8,61.6,1289.0,102,7.9,101,<6,<6,<6,<6,,<6,
Ontonagon,39.1,73.2,251.0,48,19.1,46,<6,<6,<6,<6,,<6,
Osceola,22.6,56.6,1723.0,334,19.4,324,<6,<6,<6,6,1.8,10,3.0
Oscoda,17.8,62.1,521.0,35,6.7,32,<6,<6,<6,<6,,<6,
Otsego,12.2,50.3,1641.0,325,19.8,324,<6,<6,<6,<6,,<6,
Ottawa,15.7,45.3,21390.0,3012,14.1,2931,64,17,<6,17,0.6,81,2.7
Presque Isle,21.1,66.3,597.0,111,18.6,109,<6,<6,<6,<6,,<6,
Roscommon,13.1,58.7,1156.0,218,18.9,218,<6,<6,<6,<6,,<6,
Saginaw,28.1,73.1,14029.0,3670,26.2,3548,84,32,6,38,1.0,122,3.3
Saint Clair,25.8,59.4,11046.0,2731,24.7,2655,53,20,<6,23,0.8,76,2.8
Saint Joseph,27.5,65.1,5125.0,1012,19.7,971,31,9,<6,10,1.0,41,4.1
Sanilac,30.7,64.6,2879.0,523,18.2,517,<6,<6,<6,<6,,6,1.1
Schoolcraft,25.5,63.3,471.0,99,21.0,98,<6,<6,<6,<6,,<6,
Shiawassee,33.9,68.2,4622.0,1169,25.3,1131,21,17,<6,17,1.5,38,3.3
Tuscola,30.2,67.4,3579.0,886,24.8,874,10,<6,<6,<6,,12,1.4
Van Buren,23.3,58.1,5884.0,862,14.6,832,10,18,<6,20,2.3,30,3.5
Washtenaw,17.2,56.5,22833.0,2604,11.4,2572,17,12,<6,15,0.6,32,1.2
Wayne ex Det,22.6,74.5,82002.0,18348,22.4,17939,176,218,15,233,1.3,409,2.2
Wexford,23.0,53.7,2582.0,362,14.0,359,<6,<6,<6,<6,,<6,
"Detroit, City of",62.2,93.2,59755.0,22842,38.2,20966,330,1397,149,1546,6.8,1876,8.2
MICHIGAN,24.7,64.8,710976.0,143123,20.1,138070,2331,2437,285,2722,1.9,5053,3.5
