Unnamed: 0,county,total_n,all_greater5_total,all_greater5_percent,capillary_greater5_total,capillary_greater5_percent,venous_greater5_total,venous_greater5_percent,venous_5to14_total,venous_greater15_total,venous_greater15_percent
1,ALCONA,93,,,,,,,,0.0,
2,ALGER,65,0.0,,0.0,,0.0,,0.0,0.0,
3,ALLEGAN,1583,40.0,2.5,24.0,1.5,16.0,1.0,,,
4,ALPENA,348,6.0,1.7,,,,,,,
5,ANTRIM,322,,,,,,,,0.0,
6,ARENAC,265,,,,,,,,0.0,
7,BARAGA,147,,,,,0.0,,0.0,0.0,
8,BARRY,466,16.0,3.4,7.0,1.5,9.0,1.9,,,
9,BAY,1492,50.0,3.4,34.0,2.3,16.0,1.1,16.0,0.0,
10,BENZIE,282,7.0,2.5,,,,,,0.0,
11,BERRIEN,2166,76.0,3.5,41.0,1.9,35.0,1.6,29.0,6.0,0.3
12,BRANCH,672,26.0,3.9,14.0,2.1,12.0,1.8,,,
13,CALHOUN,2735,174.0,6.4,74.0,2.7,100.0,3.7,90.0,10.0,0.4
14,CASS,609,28.0,4.6,17.0,2.8,11.0,1.8,,,
15,CHARLEVOIX,300,,,,,0.0,,0.0,0.0,
16,CHEBOYGAN,265,0.0,,0.0,,0.0,,0.0,0.0,
17,CHIPPEWA,348,8.0,2.3,,,,,,0.0,
18,CLARE,391,8.0,2.0,,,,,,0.0,
19,CLINTON,739,6.0,0.8,,,,,,0.0,
20,CRAWFORD,145,,,,,0.0,,0.0,0.0,
21,DELTA,414,13.0,3.1,8.0,1.9,,,,0.0,
22,DICKINSON,242,,,,,,,,0.0,
23,EATON,1154,30.0,2.6,14.0,1.2,16.0,1.4,,,
24,EMMET,332,,,,,,,,0.0,
25,GENESEE,11703,210.0,1.8,64.0,0.5,146.0,1.2,126.0,20.0,0.2
26,GLADWIN,302,,,,,,,,0.0,
27,GOGEBIC,192,7.0,3.6,,,,,,,
28,GRAND TRAVERSE,1430,20.0,1.4,16.0,1.1,,,,,
29,GRATIOT,513,11.0,2.1,9.0,1.8,,,,0.0,
30,HILLSDALE,888,42.0,4.7,27.0,3.0,15.0,1.7,,,
31,HOUGHTON,562,21.0,3.7,,,16.0,2.8,16.0,0.0,
32,HURON,409,,,,,,,,0.0,
33,INGHAM,4712,123.0,2.6,52.0,1.1,71.0,1.5,63.0,8.0,0.2
34,IONIA,980,27.0,2.8,8.0,0.8,19.0,1.9,,,
35,IOSCO,263,9.0,3.4,7.0,2.7,,,,,
36,IRON,107,,,,,,,,0.0,
37,ISABELLA,610,,,,,,,,0.0,
38,JACKSON,2879,218.0,7.6,142.0,4.9,76.0,2.6,69.0,7.0,0.2
39,KALAMAZOO,3727,132.0,3.5,88.0,2.4,44.0,1.2,38.0,6.0,0.2
40,KALKASKA,241,8.0,3.3,,,,,,0.0,
41,KENT,9984,617.0,6.2,412.0,4.1,205.0,2.1,176.0,29.0,0.3
42,KEWEENAW,33,0.0,,0.0,,0.0,,0.0,0.0,
43,LAKE,102,,,,,0.0,,0.0,0.0,
44,LAPEER,1014,32.0,3.2,26.0,2.6,6.0,0.6,,,
45,LEELANAU,279,13.0,4.7,10.0,3.6,,,,0.0,
46,LENAWEE,1164,71.0,6.1,26.0,2.2,45.0,3.9,38.0,7.0,0.6
47,LIVINGSTON,1030,11.0,1.1,6.0,0.6,,,,,
48,LUCE,76,,,,,0.0,,0.0,0.0,
49,MACKINAC,107,,,,,0.0,,0.0,0.0,
50,MACOMB,11769,99.0,0.8,57.0,0.5,42.0,0.4,,,
51,MANISTEE,334,17.0,5.1,12.0,3.6,,,,0.0,
52,MARQUETTE,546,7.0,1.3,,,,,,0.0,
53,MASON,511,19.0,3.7,17.0,3.3,,,,0.0,
54,MECOSTA,381,8.0,2.1,,,,,,,
55,MENOMINEE,254,8.0,3.1,,,,,,,
56,MIDLAND,505,,,,,,,,0.0,
57,MISSAUKEE,117,0.0,,0.0,,0.0,,0.0,0.0,
58,MONROE,1432,22.0,1.5,7.0,0.5,15.0,1.0,,,
59,MONTCALM,833,15.0,1.8,9.0,1.1,6.0,0.7,,,
60,MONTMORENCY,78,,,,,0.0,,0.0,0.0,
61,MUSKEGON,2612,157.0,6.0,89.0,3.4,68.0,2.6,60.0,8.0,0.3
62,NEWAYGO,477,12.0,2.5,7.0,1.5,,,,0.0,
63,OAKLAND,15882,196.0,1.2,108.0,0.7,88.0,0.6,82.0,6.0,0.0
64,OCEANA,477,13.0,2.7,9.0,1.9,,,,0.0,
65,OGEMAW,271,,,,,0.0,,0.0,0.0,
66,ONTONAGON,42,,,0.0,,,,,0.0,
