County,children_under_age6,all_less5_total,capillary_greater5_total,venuous_5to14_total,venuous_greater15_total,venuous_greater5_total,venuous_greater5_percent,all_greater5_total,all_greater5_percent
Allegan,885,850,,,,,,35.0,4.0
Alpena,226,225,,0.0,0.0,0.0,0.0,,
Antrim,207,204,,0.0,0.0,0.0,0.0,,
Arenac,171,169,,,0.0,,,,
Baraga,119,118,0.0,,0.0,,,,
Barry,356,342,,,,,,14.0,3.9
Bay,1034,977,39.0,,,18.0,1.7,57.0,5.5
Benzie,168,166,,,0.0,,,,
Berrien,1480,1422,30.0,,,28.0,1.9,58.0,3.9
Branch,513,501,,,,,,12.0,2.3
Calhoun,1329,1257,18.0,45.0,9.0,54.0,4.1,72.0,5.4
Cass,365,353,,,0.0,,,12.0,3.3
Charlevoix,252,250,,,0.0,,,,
Cheboygan,194,193,0.0,,0.0,,,,
Chippewa,267,262,,,,,,,
Clare,342,341,0.0,,0.0,,,,
Clinton,462,454,,0.0,,,,8.0,1.7
Crawford,85,84,0.0,,0.0,,,,
Delta,373,354,12.0,7.0,0.0,7.0,1.9,19.0,5.1
Dickinson,155,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eaton,768,742,13.0,13.0,0.0,13.0,1.7,26.0,3.4
Emmet,284,284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genesee,5372,5229,66.0,68.0,9.0,77.0,1.4,143.0,2.7
Gladwin,264,262,,,0.0,,,,
Gogebic,147,140,,,0.0,,,7.0,4.8
Grand Traverse,684,668,9.0,7.0,0.0,7.0,1.0,16.0,2.3
Gratiot,402,399,,0.0,0.0,0.0,0.0,,
Hillsdale,607,591,,,0.0,,,16.0,2.6
Houghton,368,354,,,,,,14.0,3.8
Huron,264,259,,0.0,,,,,
Ingham,3802,3699,50.0,,,53.0,1.4,103.0,2.7
Ionia,621,599,12.0,,,10.0,1.6,22.0,3.5
Iosco,241,231,,,,,,10.0,4.1
Iron,98,97,,0.0,0.0,0.0,0.0,,
Isabella,409,405,,,0.0,,,,
Jackson,1983,1858,85.0,,,40.0,2.0,125.0,6.3
Kalamazoo,2453,2352,73.0,,,28.0,1.1,101.0,4.1
Kalkaska,130,129,0.0,,0.0,,,,
Kent,7185,6654,397.0,118.0,16.0,134.0,1.9,531.0,7.4
Keweenaw,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,99,98,,0.0,0.0,0.0,0.0,,
Lapeer,619,602,,0.0,,,,17.0,2.7
Leelanau,132,126,,,0.0,,,6.0,4.5
Lenawee,678,594,62.0,,,22.0,3.2,84.0,12.4
Livingston,662,657,,,0.0,,,,
Luce,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mackinac,98,97,0.0,,0.0,,,,
Macomb,6601,6526,53.0,,,22.0,0.3,75.0,1.1
Manistee,201,195,,0.0,,,,6.0,3.0
Marquette,358,349,,,0.0,,,9.0,2.5
Mason,298,274,,,0.0,,,24.0,8.1
Mecosta,234,232,,0.0,0.0,0.0,0.0,,
Menominee,175,166,,,,,,9.0,5.1
Midland,312,305,,,0.0,,,7.0,2.2
Missaukee,112,111,0.0,,0.0,,,,
Monroe,807,795,,,,,,12.0,1.5
Montcalm,764,750,,,0.0,,,14.0,1.8
Montmorency,61,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muskegon,1937,1835,48.0,45.0,9.0,54.0,2.8,102.0,5.3
Newaygo,351,346,,,0.0,,,,
Oakland,6971,6862,49.0,,,60.0,0.9,109.0,1.6
Oceana,374,365,,,0.0,,,9.0,2.4
Ogemaw,151,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ontonagon,28,27,0.0,,0.0,,,,
Osceola,243,240,,0.0,0.0,0.0,0.0,,
Oscoda,86,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otsego,248,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ottawa,1492,1455,30.0,7.0,0.0,7.0,0.5,37.0,2.5
Presque Isle,83,82,,0.0,0.0,0.0,0.0,,
Roscommon,177,176,,0.0,0.0,0.0,0.0,,
Saginaw,2462,2375,69.0,,,18.0,0.7,87.0,3.5
Saint Clair,2278,2174,93.0,,,11.0,0.5,104.0,4.6
Saint Joseph,745,716,,,0.0,,,29.0,3.9
Sanilac,324,312,,,0.0,,,12.0,3.7
Schoolcraft,72,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shiawassee,923,875,42.0,6.0,0.0,6.0,0.7,48.0,5.2
Tuscola,606,600,,,0.0,,,6.0,1.0
Van Buren,587,558,19.0,10.0,0.0,10.0,1.7,29.0,4.9
Washtenaw,1635,1609,11.0,,,15.0,0.9,26.0,1.6
Wayne,30764,29072,347.0,1208.0,137.0,1345.0,4.4,1692.0,5.5
Wexford,282,278,,,0.0,,,,
MICHIGAN,100279,96259,1880.0,1912.0,228.0,2140.0,2.1,4020.0,4.0
