Zip_Code,Pop_under_age_six,children_tested_n,Children_tested_percent,any_samples_n,any_samples_percent
48001,594.0,143.0,24.1,,
48002,184.0,16.0,8.7,0.0,0.0
48003,444.0,54.0,12.2,,
48005,231.0,25.0,10.8,0.0,0.0
48006,183.0,43.0,23.5,,
48009,1776.0,311.0,17.5,,
48014,377.0,74.0,19.6,,
48015,438.0,137.0,31.3,,
48017,695.0,149.0,21.4,0.0,0.0
48021,2121.0,545.0,25.7,12.0,2.2
48022,220.0,31.0,14.1,0.0,0.0
48023,207.0,49.0,23.7,,
48025,790.0,144.0,18.2,,
48026,885.0,165.0,18.6,,
48027,234.0,41.0,17.5,0.0,0.0
48028,28.0,,,0.0,0.0
48030,1309.0,285.0,21.8,7.0,2.5
48032,171.0,32.0,18.7,,
48033,931.0,317.0,34.0,,
48034,1082.0,258.0,23.8,,
48035,2760.0,442.0,16.0,6.0,1.4
48036,1481.0,286.0,19.3,,
48038,2458.0,409.0,16.6,,
48039,475.0,94.0,19.8,,
48040,645.0,108.0,16.7,,
48041,254.0,36.0,14.2,,
48042,2100.0,243.0,11.6,,
48043,751.0,192.0,25.6,8.0,4.2
48044,4808.0,519.0,10.8,,
48045,1084.0,205.0,18.9,0.0,0.0
48047,2840.0,383.0,13.5,,
48048,689.0,108.0,15.7,,
48049,327.0,53.0,16.2,0.0,0.0
48050,74.0,11.0,14.9,0.0,0.0
48051,1412.0,183.0,13.0,,
48054,302.0,55.0,18.2,0.0,0.0
48059,966.0,192.0,19.9,,
48060,3266.0,1290.0,39.5,83.0,6.4
48062,656.0,114.0,17.4,,
48063,221.0,45.0,20.4,,
48064,327.0,56.0,17.1,0.0,0.0
48065,561.0,87.0,15.5,,
48066,3554.0,658.0,18.5,6.0,0.9
48067,1421.0,296.0,20.8,,
48069,126.0,34.0,27.0,0.0,0.0
48070,496.0,82.0,16.5,0.0,0.0
48071,2132.0,492.0,23.1,7.0,1.4
48072,1184.0,205.0,17.3,,
48073,2047.0,417.0,20.4,,
48074,828.0,181.0,21.9,6.0,3.3
48075,1330.0,430.0,32.3,,
48076,1439.0,399.0,27.7,,
48079,611.0,130.0,21.3,,
48080,1366.0,241.0,17.6,,
48081,979.0,177.0,18.1,,
48082,1083.0,116.0,10.7,,
48083,1743.0,271.0,15.5,,
48084,1067.0,183.0,17.2,8.0,4.4
48085,1383.0,206.0,14.9,,
48088,1455.0,260.0,17.9,,
48089,2548.0,687.0,27.0,11.0,1.6
48091,2604.0,641.0,24.6,10.0,1.6
48092,1637.0,431.0,26.3,,
48093,1509.0,335.0,22.2,,
48094,1228.0,150.0,12.2,,
48095,306.0,44.0,14.4,0.0,0.0
48096,119.0,26.0,21.8,0.0,0.0
48097,312.0,90.0,28.8,,
48098,1068.0,137.0,12.8,0.0,0.0
48101,1576.0,362.0,23.0,,
