County,County Code,Year,Tests,Less than 5 mcg/dL,5-10 mcg/dL,10-15 mcg/dL,15+ mcg/dL,Total Elevated Blood Levels,county_fips,pct_elevated_5plus,pct_elevated_10plus,pct_elevated_15plus
Albany,1,2000,45,13.0,0.0,0.0,0.0,0.0,36001,0.0,0.0,0.0
Albany,1,2001,733,243.0,89.0,0.0,0.0,6.0,36001,0.82,0.0,0.0
Albany,1,2002,1024,359.0,83.0,0.0,0.0,0.0,36001,0.0,0.0,0.0
Albany,1,2003,1472,612.0,188.0,0.0,0.0,0.0,36001,0.0,0.0,0.0
Albany,1,2004,1694,652.0,256.0,0.0,0.0,10.0,36001,0.59,0.0,0.0
Albany,1,2005,2866,1184.0,512.0,0.0,0.0,48.0,36001,1.67,0.0,0.0
Albany,1,2006,2880,1419.0,417.0,0.0,0.0,17.0,36001,0.59,0.0,0.0
Albany,1,2007,2945,1306.0,353.0,0.0,0.0,31.0,36001,1.05,0.0,0.0
Albany,1,2008,2822,1084.0,215.0,0.0,0.0,6.0,36001,0.21,0.0,0.0
Albany,1,2009,2709,1076.0,142.0,0.0,0.0,8.0,36001,0.3,0.0,0.0
Albany,1,2010,2895,1359.0,146.0,0.0,0.0,0.0,36001,0.0,0.0,0.0
Albany,1,2011,2543,821.0,115.0,0.0,0.0,8.0,36001,0.31,0.0,0.0
Albany,1,2012,2260,1130.0,85.0,0.0,0.0,7.0,36001,0.31,0.0,0.0
Albany,1,2013,2603,865.0,46.0,0.0,0.0,0.0,36001,0.0,0.0,0.0
Albany,1,2014,2820,1248.0,84.0,0.0,0.0,0.0,36001,0.0,0.0,0.0
Albany,1,2015,2849,1296.0,62.0,0.0,0.0,7.0,36001,0.25,0.0,0.0
Albany,1,2016,3085,1247.0,92.0,0.0,0.0,9.0,36001,0.29,0.0,0.0
Albany,1,2017,3016,1043.0,70.0,0.0,0.0,0.0,36001,0.0,0.0,0.0
Albany,1,2018,3109,1065.0,84.0,0.0,0.0,0.0,36001,0.0,0.0,0.0
Albany,1,2019,3061,1169.0,75.0,0.0,0.0,6.0,36001,0.2,0.0,0.0
Albany,1,2020,2983,935.0,66.0,0.0,0.0,13.0,36001,0.44,0.0,0.0
Albany,1,2021,3362,1286.0,21.0,0.0,0.0,7.0,36001,0.21,0.0,0.0
Allegany,3,2000,3,0.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2001,116,6.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2002,168,31.0,6.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2003,204,6.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2004,250,28.0,12.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2005,320,69.0,19.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2006,303,38.0,18.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2007,343,58.0,21.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2008,351,65.0,8.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2009,405,47.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2010,477,77.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2011,241,32.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2012,240,27.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2013,367,46.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2014,422,90.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2015,393,64.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2016,441,75.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2017,494,105.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2018,475,97.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2019,435,131.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2020,442,157.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
Allegany,3,2021,593,237.0,0.0,0.0,0.0,0.0,36003,0.0,0.0,0.0
