FIPS,NAME,state_fips,county_fips,total_population,male_population,female_population,male_female_ratio,working_age_sex_ratio,male_working_age,female_working_age,veteran_pct,unemployment_rate,median_household_income,male_divorced_separated_pct
01001,"Autauga County, Alabama",01,001,58761,28663,30098,0.9523224134493986,0.9717019543973942,14319,14736,11.570416780168891,2.768471818282222,68315,59.37017177133509
01003,"Baldwin County, Alabama",01,003,233420,114077,119343,0.9558750827446939,0.9378816516429195,51606,55024,11.312501022706819,3.4434951701041596,71039,61.625835189309576
01005,"Barbour County, Alabama",01,005,24877,12973,11904,1.089801747311828,1.260104428543802,6516,5171,6.605495285410119,5.753791257805531,39712,34.82374029077873
01007,"Bibb County, Alabama",01,007,22251,11897,10354,1.1490245315819974,1.3337440952967756,6494,4869,7.766879562043795,8.706247230837395,50669,45.9604641168887
01009,"Blount County, Alabama",01,009,59077,29864,29213,1.0222845993222196,1.0547608404112652,14157,13422,6.683081252198382,5.969584625860634,57440,58.37131570951078
01011,"Bullock County, Alabama",01,011,10328,5542,4786,1.157960718763059,1.3637653736991486,2883,2114,4.660861032748682,3.7037037037037033,36136,38.32376578645235
01013,"Butler County, Alabama",01,013,18981,8928,10053,0.8880931065353626,0.8775464517573316,3920,4467,7.013497931221596,6.813378092751461,44429,50.67508071617258
01015,"Calhoun County, Alabama",01,015,116162,56185,59977,0.9367757640428831,0.9609952433223564,26264,27330,8.91335577756089,6.946770278661073,54339,47.64748958762415
01017,"Chambers County, Alabama",01,017,34612,16485,18127,0.9094168919291664,0.9493286631640397,8131,8565,7.225613098936442,3.5762267289360885,48805,50.73396655938457
01019,"Cherokee County, Alabama",01,019,25069,12261,12808,0.9572923173016864,1.0053522099447514,5823,5792,6.96062527650789,3.9671427237935224,46621,62.69482151835093
01021,"Chilton County, Alabama",01,021,45140,22048,23092,0.9547895375021652,0.9666084076901849,10508,10871,5.224335704951358,5.30093870789619,62471,57.06769960108689
01023,"Choctaw County, Alabama",01,023,12669,5980,6689,0.8940050829720436,0.9112848402447314,2681,2942,6.359065365276545,5.208115457017361,43299,57.39743058433485
01025,"Clarke County, Alabama",01,025,23058,11032,12026,0.9173457508731082,0.8995084653194976,4941,5493,6.815779224392143,12.459528860109412,47549,47.71764136093958
01027,"Clay County, Alabama",01,027,14209,6931,7278,0.9523220665017862,0.9455741626794258,3162,3344,6.311024320965737,5.748175182481752,48074,63.27998561409819
01029,"Cleburne County, Alabama",01,029,15144,7565,7579,0.9981527906056208,1.0830594562294593,3625,3347,7.608138143272354,2.6009582477754964,51553,60.06001000166694
01031,"Coffee County, Alabama",01,031,53559,26626,26933,0.9886013440760405,1.0348799742226518,12847,12414,15.698072968238252,4.781868203851697,62199,55.19036287923855
