FIPS,NAME,state_fips,county_fips,total_population,male_population,female_population,male_female_ratio,working_age_sex_ratio,male_working_age,female_working_age,veteran_pct,unemployment_rate,median_household_income,male_divorced_separated_pct,total_employees,mining_employees,mining_establishments,bar_establishments,bar_employees,extraction_employment_pct,alcohol_control_state,has_dry_counties,alcohol_strictness,state_name,suicide_rate_total_2022,suicide_rate_male_2022,rural_urban_code,latitude,longitude,land_area_sqmi,pop_density_sqmi,elevation_meters,elevation_feet,pct_hs_or_higher,pct_bachelors_or_higher,housing_vacancy_rate,median_home_value,homeownership_rate,pct_moved_diff_county,pct_moved_diff_state,pct_no_internet,pct_broadband,poverty_rate,pct_drive_alone,pct_long_commute_60plus,chr_premature_death_rate,chr_smoking_pct,chr_obesity_pct,chr_physical_inactivity,chr_excessive_drinking_pct,chr_teen_birth_rate,chr_uninsured_pct,chr_pcp_rate,chr_pop_per_pcp,chr_pop_per_pcp.1,chr_mh_provider_rate,chr_pop_per_mh_provider,chr_income_inequality,chr_children_single_parent,chr_social_associations,chr_injury_death_rate,chr_severe_housing_problems,chr_severe_housing_problems.1,chr_life_expectancy,chr_freq_mental_distress,chr_food_insecurity,chr_overdose_rate,chr_overdose_deaths,chr_insufficient_sleep,chr_pop_per_pcp.2,chr_pop_per_pcp.3,chr_disconnected_youth,chr_median_income,chr_homicide_rate,chr_suicide_rate,chr_suicide_deaths,chr_suicide_pop,chr_crude_suicide_rate,chr_firearm_fatality_rate,chr_firearm_deaths,chr_motor_vehicle_deaths,chr_severe_housing_problems.2,chr_severe_housing_problems.3,chr_pct_rural,liquor_stores,liquor_store_employees,total_alcohol_outlets,alcohol_outlets_per_10k,bars_per_10k,liquor_per_10k,alcohol_access,male_suicide_rate_cdc,male_suicide_deaths,male_suicide_pop,male_suicide_rate_true,total_veterans,gulf_war_2_vets,gulf_war_1_vets,vietnam_vets,pct_post911_vets,vet_employment_rate,vet_unemployment_rate,total_vets_working_age,median_age,pct_white_nh,pct_black,pct_native_american,pct_hispanic,pct_living_alone,dealers_per_10k,total_gun_related_estab,extraction_emp_change,extraction_pct_change,emp_2012,emp_2021,pct_pre1980_housing,match_key,mining_sites,lead_zinc_copper,superfund_sites,epa_predicted_bll
01001,"Autauga County, Alabama",1,1,58761,28663,30098,0.9523224134493986,0.9717019543973942,14319,14736,11.570416780168893,2.768471818282222,68315,59.37017177133509,11216.0,87.0,6.0,0.0,0.0,0.7756776034236804,1.0,1.0,4.0,Alabama,17.2,28.8,2.0,32.532237,-86.64644,594.456,98.84835883564132,131.0,429.79004,69.4013138250224,29.55857469891509,8.786850390481254,191800,75.4527523758293,3.925862068965517,3.081034482758621,9.462972924511384,89.066702528241,11.373968537166974,85.42784210721024,7.202594966390495,9407.9484384,0.169,0.389,0.291,0.1523782151,20.908880488,0.1001856044,0.0004399695,2272.8846154,1991.9666667,0.0003681454,2716.3181818,4.6376753942,0.2270250636,12.691429055,68.033478141,0.1537569573,0.1127935868,75.263497074,0.18,0.133,9.3507647172,16.0,0.375,2272.8846154,1991.9666667,0.0724250519,70148.0,6.6161632869,17.457479202,51.0,282214.0,18.071392631,17.362710567,49.0,18.06721513,0.1537569573,0.1127935868,0.406768132,3.0,12.0,3.0,0.510542706897432,0.0,0.510542706897432,very_restricted,16.2,66.0,408275.0,46.05240205142518,5097,2076,2070,246,40.73,69.45,0.6,3110,39.0,72.56,19.56,0.1,3.17,27.21,0.5105,3.0,87.0,,0.0,87.0,16.7,"autauga county, alabama",3.0,0.0,2.0,0.0522132266865362
01003,"Baldwin County, Alabama",1,3,233420,114077,119343,0.955875082744694,0.9378816516429196,51606,55024,11.31250102270682,3.44349517010416,71039,61.625835189309576,65335.0,36.0,8.0,21.0,139.0,0.0551006351878778,1.0,1.0,4.0,Alabama,17.2,28.8,3.0,30.659218,-87.746067,1589.836,146.8201751627212,49.0,160.76116,69.94407922309635,32.561578714181366,27.42400869613869,266000,77.87053148609061,6.805608381452924,2.0677016700667337,8.950243386709545,88.92094887777803,10.21395057049129,81.34699853587115,7.999501200236931,8981.5753533,0.15,0.372,0.276,0.1642256356,20.20223706,0.1099706666,0.000626844,1595.2933333,1196.2864078,0.0011037393,906.01102941,4.4824492469,0.1905128725,9.6533970764,77.507984659,0.1242786602,0.1230185411,76.738313887,0.173,0.118,25.729421883,178.0,0.351,1595.2933333,1196.2864078,0.0824827586,71704.0,3.3882026693,18.790126177,213.0,1122465.0,18.976092796,14.343431644,161.0,15.833331704,0.1242786602,0.1230185411,0.3758645536,27.0,109.0,48.0,2.0563790592065807,0.899665838402879,1.1567132208037016,wet,19.0,318.0,1671387.0,55.75181675534945,20740,4029,11665,1044,19.43,71.91,4.26,9152,43.7,82.32,8.28,0.22,4.8,28.36,1.1567,27.0,-28.0,-43.75,64.0,36.0,10.7,"baldwin county, alabama",25.0,0.0,6.0,0.0484650274699727
01005,"Barbour County, Alabama",1,5,24877,12973,11904,1.089801747311828,1.260104428543802,6516,5171,6.605495285410119,5.753791257805531,39712,34.82374029077873,6085.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,Alabama,17.2,28.8,6.0,31.870253,-85.405104,885.008,28.109350423950968,164.0,538.05776,56.599717114568605,11.88118811881188,22.76192923841344,102700,64.97338065661047,7.740890688259109,5.437246963562753,24.33451641526176,68.2231588287489,24.16365383735298,82.05251168924589,10.49082053203447,13138.848362,0.25,0.434,0.402,0.1227719794,36.618539443,0.1267763429,0.0004005768,2496.4,1235.3,0.000283332,3529.4285714,5.5767967895,0.5066045066,8.4121134434,85.215853364,0.150751073,0.107662697,72.377024232,0.205,0.178,,,0.439,2496.4,1235.3,,41151.0,13.005813033,13.426810027,18.0,124390.0,14.470616609,26.529463783,33.0,29.404446857,0.150751073,0.107662697,0.6591999366,0.0,,0.0,0.0,0.0,0.0,dry,15.0,26.0,172769.0,40.08324982656286,1303,210,691,77,16.12,35.69,6.61,594,40.6,44.56,46.88,0.25,4.83,34.39,,,0.0,,0.0,0.0,32.1,"barbour county, alabama",428.0,0.0,0.0,0.0725157842350339
01007,"Bibb County, Alabama",1,7,22251,11897,10354,1.1490245315819974,1.3337440952967756,6494,4869,7.766879562043795,8.706247230837395,50669,45.9604641168887,4008.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,Alabama,17.2,28.8,1.0,33.015893,-87.127148,622.47,35.74630102655549,118.0,387.13912,59.76766091051805,10.919937205651491,20.22993588326332,120100,75.73447893569845,4.6829578488372094,7.562681686046512,19.27660753880266,79.71175166297118,20.622960261086583,87.98363095238095,9.738165871275635,12675.434581,0.22,0.396,0.36,0.14785821,31.922979478,0.1137992832,0.0006673488,1498.4666667,709.83870968,0.0004998864,2000.4545455,5.66923661,0.3071337035,8.8979846065,99.933080526,0.1225895317,0.1040428062,72.251369089,0.194,0.149,22.385720895,15.0,0.4,1498.4666667,709.83870968,,54309.0,9.5358580047,17.050220543,18.0,112075.0,16.060673656,20.521971894,23.0,24.793230812,0.1225895317,0.1040428062,1.0,0.0,,0.0,0.0,0.0,0.0,dry,18.0,28.0,155538.0,47.07069008993864,1362,323,765,49,23.72,50.54,0.0,744,40.3,74.24,20.66,0.07,2.92,30.03,,,0.0,,0.0,0.0,26.3,"bibb county, alabama",65.0,0.0,0.0,0.0473487226777281
01009,"Blount County, Alabama",1,9,59077,29864,29213,1.0222845993222196,1.0547608404112652,14157,13422,6.683081252198382,5.969584625860634,57440,58.37131570951078,6765.0,24.0,4.0,0.0,0.0,0.3547671840354767,1.0,1.0,4.0,Alabama,17.2,28.8,1.0,33.977358,-86.56644,644.891,91.60772905808888,180.0,590.5512,61.06279246392434,14.741406766788348,12.363739514527698,159800,79.2749468232683,6.998905084513789,3.56531855197427,14.995838342735595,82.72449828909646,14.173187897053031,84.8946807638718,17.57819176209195,11541.495069,0.196,0.377,0.304,0.1494611482,25.123231038,0.1281997789,0.0002032486,4920.0833333,2833.9047619,0.0002688533,3719.5,4.6119463633,0.229694775,7.6218221236,97.729173191,0.1065786371,0.0924652524,73.376568119,0.188,0.137,21.173589095,37.0,0.373,4920.0833333,2833.9047619,0.0973301791,60553.0,5.9116795081,22.219251548,64.0,290599.0,22.023475649,18.238190771,53.0,30.543677459,0.1065786371,0.0924652524,0.9048939696,0.0,,0.0,0.0,0.0,0.0,dry,22.8,94.0,412077.0,62.95204929011519,3040,665,1369,104,21.88,59.29,14.3,1496,40.8,85.67,1.23,0.13,9.68,25.41,,,24.0,,0.0,24.0,23.2,"blount county, alabama",105.0,0.0,2.0,0.0546149359923345
01011,"Bullock County, Alabama",1,11,10328,5542,4786,1.157960718763059,1.3637653736991486,2883,2114,4.660861032748682,3.7037037037037033,36136,38.32376578645235,1958.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,Alabama,17.2,28.8,8.0,32.101759,-85.717261,622.815,16.58277337572152,148.0,485.56432,53.8569032979318,9.376746785913918,24.02554503413345,87700,64.66666666666666,10.561379445478591,1.7732928382482611,31.88405797101449,61.01449275362319,27.94301164725457,88.61103560750205,10.922529427867506,13837.899207,0.257,0.489,0.436,0.115288295,37.430167598,0.1221464572,0.0001937984,5160.0,1700.3333333,0.00019604,5101.0,7.1458197788,0.6304647952,5.8139534884,108.1740225,0.0962099125,0.1633877959,72.100111622,0.205,0.156,,,0.46,5160.0,1700.3333333,,35798.0,19.470946566,,,,,27.535205727,14.0,55.631275903,0.0962099125,0.1633877959,1.0,0.0,,0.0,0.0,0.0,0.0,dry,15.6,11.0,70535.0,39.69686033922772,380,171,118,5,45.0,35.25,0.0,278,39.2,20.58,68.91,0.0,8.78,31.74,,,,,,,21.0,"bullock county, alabama",2.0,0.0,0.0,0.086382349148542
01013,"Butler County, Alabama",1,13,18981,8928,10053,0.8880931065353626,0.8775464517573316,3920,4467,7.013497931221596,6.813378092751461,44429,50.67508071617258,5875.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,Alabama,17.2,28.8,6.0,31.751667,-86.681969,776.839,24.433634253687057,117.0,383.85828,68.46072666968189,13.048394391677972,27.49364514489069,94800,70.77548730893282,1.572159454274142,1.945214240034108,16.771841256485768,78.51633711961856,21.107656015440703,86.08331079253449,9.103680809216073,12718.633185,0.211,0.42,0.365,0.1282113141,34.834992142,0.1190345207,0.0002647744,3776.8,1036.1111111,0.0008579088,1165.625,4.8787334497,0.3927727917,9.0023300148,109.92284854,0.115037594,0.1158335828,73.1898895,0.199,0.138,17.290269037,10.0,0.409,3776.8,1036.1111111,,41852.0,17.455434095,11.883738132,11.0,97341.0,11.300479757,24.655592197,24.0,38.547416959,0.115037594,0.1158335828,0.6943467535,0.0,,0.0,0.0,0.0,0.0,dry,17.3,23.0,132804.0,51.52329749103943,1034,168,528,99,16.25,57.58,4.04,495,41.6,50.87,44.58,0.36,1.7,31.73,,,,,,,32.3,"butler county, alabama",206.0,0.0,4.0,0.0684005312781318
01015,"Calhoun County, Alabama",1,15,116162,56185,59977,0.9367757640428832,0.9609952433223564,26264,27330,8.91335577756089,6.946770278661073,54339,47.64748958762415,34539.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,Alabama,17.2,28.8,3.0,33.770516,-85.827909,605.889,191.72158596706657,214.0,702.09976,61.82235116747539,19.153437812773184,15.93845806609363,140500,70.9149083749133,8.177130513553063,2.702773325900634,14.52800214798738,83.3419103662766,18.03916332888296,85.22229948055136,8.337559161595673,13197.258124,0.208,0.389,0.341,0.1353990576,25.979876858,0.1321708558,0.0005863484,1705.4705882,1113.3461538,0.0015804747,632.72131148,4.8759708167,0.3271915817,13.623978202,97.019321704,0.105676464,0.1129611492,71.694077832,0.191,0.156,23.320487631,80.0,0.381,1705.4705882,1113.3461538,0.0818697649,52772.0,10.470133943,21.957144442,128.0,572051.0,22.375627348,26.571057476,152.0,21.688134596,0.105676464,0.1129611492,0.3649401843,5.0,19.0,5.0,0.4304333603071573,0.0,0.4304333603071573,very_restricted,21.1,170.0,805967.0,60.5143721633888,8128,1531,4686,197,18.84,62.68,7.3,4193,39.2,70.46,21.7,0.15,4.08,31.56,0.6026,7.0,0.0,,0.0,0.0,33.6,"calhoun county, alabama",299.0,11.0,38.0,0.0668400073433005
01017,"Chambers County, Alabama",1,17,34612,16485,18127,0.9094168919291664,0.9493286631640396,8131,8565,7.225613098936442,3.5762267289360885,48805,50.73396655938457,7552.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,Alabama,17.2,28.8,6.0,32.915504,-85.394032,596.561,58.01921345847281,262.0,859.58008,63.16684206265685,12.733748886910062,19.99147744566872,116900,72.17530244236475,4.165935800736713,1.754078231889142,19.23457353724416,78.16328083390398,17.87814631851329,85.5525238744884,5.630836200238714,12135.481512,0.203,0.439,0.35,0.128128424,30.473135525,0.1262688232,0.0004053154,2467.2142857,3787.5555556,0.0001173433,8522.0,4.7377073171,0.2532720691,17.66017197,94.64961783,0.1612665685,0.0997613365,72.46019745,0.195,0.133,14.901649116,15.0,0.434,2467.2142857,3787.5555556,0.1740216486,45563.0,11.019096943,18.701803096,33.0,167988.0,19.644260304,23.811224611,40.0,27.547742357,0.1612665685,0.0997613365,0.5074485218,0.0,,0.0,0.0,0.0,0.0,dry,20.7,49.0,236255.0,59.447983014862,1977,304,1244,46,15.38,63.13,0.8,979,42.2,54.3,40.76,0.03,3.26,28.08,,,,,,,38.0,"chambers county, alabama",7.0,0.0,2.0,0.0707635906171859
01019,"Cherokee County, Alabama",1,19,25069,12261,12808,0.9572923173016864,1.0053522099447514,5823,5792,6.96062527650789,3.9671427237935215,46621,62.69482151835093,4428.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,Alabama,17.2,28.8,8.0,34.069515,-85.654242,553.524,45.28981579841163,187.0,613.51708,62.603250013496734,14.592668574205042,31.9330019745353,158700,79.74392317695309,4.188966238783148,3.243330248279748,19.575872761828546,77.82334700410122,14.259063995457865,85.37553328703244,10.829658496564456,12412.728813,0.222,0.378,0.328,0.1435729023,29.602038816,0.1298407861,0.0004400704,2272.3636364,1012.08,0.0005533159,1807.2857143,4.5207715832,0.2929164008,9.2014722356,103.57487923,0.0742962621,0.0882416631,72.711629744,0.201,0.147,20.648891413,16.0,0.382,2272.3636364,1012.08,,52613.0,8.2891704751,23.149078643,32.0,129375.0,24.734299517,25.507246377,33.0,32.05145917,0.0742962621,0.0882416631,1.0,0.0,,0.0,0.0,0.0,0.0,dry,25.5,46.0,180624.0,75.0346627518147,1416,160,847,39,11.3,79.9,0.62,398,46.8,90.75,3.99,0.45,1.91,30.62,,,,,,,23.4,"cherokee county, alabama",253.0,0.0,1.0,0.0537632237347009
