FIPS,elevation_meters,elevation_feet
01001,131.0,429.79004
01003,49.0,160.76116
01005,164.0,538.05776
01007,118.0,387.13912
01009,180.0,590.5512
01011,148.0,485.56432
01013,117.0,383.85828
01015,214.0,702.09976
01017,262.0,859.58008
01019,187.0,613.51708
01021,180.0,590.5512
01023,109.0,357.61156
01025,101.0,331.36484
01027,346.0,1135.17064
01029,312.0,1023.62208
01031,127.0,416.66668
01033,212.0,695.53808
01035,78.0,255.90552
01037,155.0,508.5302
01039,77.0,252.62468
01041,113.0,370.73492
01043,202.0,662.72968
01045,88.0,288.71392
01047,39.0,127.95276
01049,404.0,1325.45936
01051,111.0,364.17324
01053,57.0,187.00788
01055,257.0,843.17588
01057,178.0,583.98952
01059,265.0,869.4226
01061,46.0,150.91864
01063,63.0,206.69292
01065,78.0,255.90552
01067,102.0,334.64567999999997
01069,73.0,239.50132
01071,374.0,1227.03416
01073,179.0,587.27036
01075,110.0,360.8924
01077,202.0,662.72968
01079,191.0,626.64044
01081,229.0,751.31236
01083,220.0,721.7848
01085,68.0,223.09712
01087,113.0,370.73492
01089,287.0,941.60108
01091,61.0,200.13124
01093,170.0,557.7428
01095,185.0,606.9553999999999
01097,61.0,200.13124
01099,116.0,380.57744
01101,73.0,239.50132
01103,213.0,698.81892
01105,88.0,288.71392
01107,95.0,311.6798
01109,139.0,456.03676
01111,305.0,1000.6562
01113,113.0,370.73492
01115,273.0,895.66932
01117,195.0,639.7638
01119,36.0,118.11024
01121,187.0,613.51708
01123,200.0,656.168
01125,97.0,318.24148
01127,169.0,554.46196
01129,41.0,134.51444
01131,76.0,249.34384
01133,226.0,741.46984
02013,5.0,16.4042
02016,172.0,564.30448
02020,1242.0,4074.80328
02050,177.0,580.70868
02060,34.0,111.54856
02063,120.0,393.7008
02066,2956.0,9698.16304
02068,953.0,3126.64052
02070,66.0,216.53544
02090,457.0,1499.34388
02100,973.0,3192.25732
02105,45.0,147.6378
02110,209.0,685.69556
02122,21.0,68.89764
02130,135.0,442.9134
02150,17.0,55.77428
02158,94.0,308.39896
02164,250.0,820.21
02170,975.0,3198.819
02180,427.0,1400.91868
02185,155.0,508.5302
02188,45.0,147.6378
02195,947.0,3106.95548
02198,540.0,1771.6536
02220,21.0,68.89764
02230,38.0,124.67192
02240,736.0,2414.69824
02275,209.0,685.69556
02282,490.0,1607.6116
02290,615.0,2017.7166
04001,1871.0,6138.45164
04003,1357.0,4452.09988
04005,2078.0,6817.58552
04007,1019.0,3343.17596
04009,844.0,2769.02896
04011,1718.0,5636.48312
04012,504.0,1653.54336
04013,269.0,882.54596
04015,1564.0,5131.23376
04017,1796.0,5892.38864
04019,1061.0,3480.97124
04021,518.0,1699.47512
04023,1255.0,4117.4542
04025,1811.0,5941.60124
04027,84.0,275.59056
05001,59.0,193.56956
05003,53.0,173.88452
05005,247.0,810.36748
05007,374.0,1227.03416
05009,369.0,1210.62996
05011,69.0,226.37796
05013,65.0,213.2546
05015,381.0,1250.00004
05017,36.0,118.11024
05019,94.0,308.39896
05021,87.0,285.43308
05023,206.0,675.85304
05025,68.0,223.09712
05027,96.0,314.96064
05029,204.0,669.2913599999999
05031,74.0,242.78216
05033,268.0,879.26512
05035,66.0,216.53544
05037,124.0,406.82416
05039,80.0,262.4672
05041,44.0,144.35696
05043,64.0,209.97376
05045,92.0,301.83728
05047,218.0,715.22312
05049,217.0,711.94228
05051,150.0,492.126
