FIPS,total_employees,mining_employees,mining_establishments,bar_establishments,bar_employees,extraction_employment_pct
01001,11216,87.0,6.0,0.0,0.0,0.7756776034236804
01003,65335,36.0,8.0,21.0,139.0,0.05510063518787787
01005,6085,0.0,0.0,0.0,0.0,0.0
01007,4008,0.0,0.0,0.0,0.0,0.0
01009,6765,24.0,4.0,0.0,0.0,0.3547671840354767
01011,1958,0.0,0.0,0.0,0.0,0.0
01013,5875,0.0,0.0,0.0,0.0,0.0
01015,34539,0.0,0.0,0.0,0.0,0.0
01017,7552,0.0,0.0,0.0,0.0,0.0
01019,4428,0.0,0.0,0.0,0.0,0.0
01021,7430,0.0,0.0,0.0,0.0,0.0
01023,2876,0.0,0.0,0.0,0.0,0.0
01025,6509,51.0,3.0,0.0,0.0,0.7835304962359809
01027,3718,0.0,0.0,0.0,0.0,0.0
01029,1664,0.0,0.0,0.0,0.0,0.0
01031,14107,0.0,0.0,6.0,50.0,0.0
01033,22725,94.0,6.0,4.0,7.0,0.41364136413641367
01035,2609,0.0,0.0,0.0,0.0,0.0
01037,1027,0.0,0.0,0.0,0.0,0.0
01039,10342,0.0,0.0,0.0,0.0,0.0
01041,2984,0.0,0.0,0.0,0.0,0.0
01043,25950,0.0,0.0,0.0,0.0,0.0
01045,10329,0.0,0.0,6.0,13.0,0.0
01047,8784,0.0,0.0,0.0,0.0,0.0
01049,19057,0.0,0.0,0.0,0.0,0.0
01051,15176,20.0,3.0,0.0,0.0,0.13178703215603585
01053,9640,168.0,3.0,0.0,0.0,1.7427385892116183
01055,27369,0.0,0.0,8.0,56.0,0.0
01057,3111,24.0,5.0,0.0,0.0,0.7714561234329798
01059,11238,44.0,3.0,0.0,0.0,0.39152874176899805
01061,3761,0.0,0.0,0.0,0.0,0.0
01063,1495,0.0,0.0,0.0,0.0,0.0
01065,1953,0.0,0.0,0.0,0.0,0.0
01067,3923,0.0,0.0,0.0,0.0,0.0
01069,43581,0.0,0.0,12.0,71.0,0.0
01071,12548,29.0,3.0,0.0,0.0,0.23111252789289127
01073,317209,940.0,23.0,48.0,338.0,0.2963345932807707
01075,3000,0.0,0.0,0.0,0.0,0.0
01077,24906,0.0,0.0,3.0,20.0,0.0
01079,3381,0.0,0.0,0.0,0.0,0.0
01081,47777,59.0,4.0,12.0,263.0,0.12349038240157398
01083,20801,35.0,4.0,0.0,0.0,0.16826114129128408
01085,1732,0.0,0.0,0.0,0.0,0.0
01087,4482,0.0,0.0,0.0,0.0,0.0
01089,176352,102.0,5.0,35.0,356.0,0.05783886771910724
01091,5736,0.0,0.0,0.0,0.0,0.0
01093,8948,0.0,0.0,0.0,0.0,0.0
01095,34387,41.0,3.0,5.0,10.0,0.11923110477796842
01097,147818,88.0,12.0,43.0,272.0,0.05953266855186783
01099,5036,0.0,0.0,0.0,0.0,0.0
01101,101354,23.0,3.0,12.0,27.0,0.02269274029638692
01103,45448,82.0,8.0,3.0,6.0,0.18042598134131316
01105,1509,0.0,0.0,0.0,0.0,0.0
01107,2549,0.0,0.0,0.0,0.0,0.0
01109,13107,0.0,0.0,0.0,0.0,0.0
01111,3821,50.0,3.0,0.0,0.0,1.308557969118032
01113,10785,16.0,3.0,0.0,0.0,0.1483541956420955
01115,16729,0.0,0.0,3.0,18.0,0.0
01117,84466,269.0,13.0,7.0,28.0,0.3184713375796179
01119,2617,0.0,0.0,0.0,0.0,0.0
01121,24910,368.0,3.0,0.0,0.0,1.4773183460457648
01123,10198,0.0,0.0,3.0,3.0,0.0
01125,78856,1575.0,23.0,24.0,396.0,1.997311555239931
01127,13937,227.0,9.0,0.0,0.0,1.6287579823491425
01129,5293,0.0,0.0,0.0,0.0,0.0
01131,1931,0.0,0.0,0.0,0.0,0.0
01133,7749,0.0,0.0,0.0,0.0,0.0
02013,1839,0.0,0.0,3.0,8.0,0.0
02016,2987,0.0,0.0,0.0,0.0,0.0
02020,135205,2934.0,57.0,34.0,356.0,2.1700380903073113
02050,2181,0.0,0.0,0.0,0.0,0.0
02060,420,0.0,0.0,0.0,0.0,0.0
02068,910,113.0,3.0,0.0,0.0,12.417582417582418
02070,1143,0.0,0.0,0.0,0.0,0.0
02090,25881,734.0,16.0,20.0,153.0,2.836057339360921
02100,560,0.0,0.0,0.0,0.0,0.0
02105,266,0.0,0.0,0.0,0.0,0.0
02110,10403,880.0,9.0,11.0,58.0,8.459098337018167
02122,15063,495.0,17.0,21.0,101.0,3.2861979685321647
02130,4285,18.0,3.0,11.0,54.0,0.42007001166861146
02150,4854,0.0,0.0,7.0,29.0,0.0
02158,594,0.0,0.0,0.0,0.0,0.0
02164,362,0.0,0.0,0.0,0.0,0.0
02170,21510,55.0,9.0,14.0,127.0,0.2556950255695026
02180,2058,18.0,6.0,3.0,15.0,0.8746355685131195
02185,4719,1375.0,14.0,0.0,0.0,29.13752913752914
02188,1628,582.0,3.0,0.0,0.0,35.749385749385745
02195,897,0.0,0.0,0.0,0.0,0.0
02198,990,0.0,0.0,3.0,11.0,0.0
02220,2712,0.0,0.0,0.0,0.0,0.0
02230,284,0.0,0.0,0.0,0.0,0.0
02240,1525,602.0,7.0,0.0,0.0,39.47540983606557
02261,2580,0.0,0.0,4.0,6.0,0.0
02275,583,0.0,0.0,0.0,0.0,0.0
02282,143,0.0,0.0,0.0,0.0,0.0
02290,297,3.0,3.0,0.0,0.0,1.0101010101010102
04001,5886,42.0,5.0,3.0,10.0,0.7135575942915392
04003,25143,62.0,7.0,19.0,124.0,0.246589508014159
04005,51131,23.0,6.0,17.0,160.0,0.04498249594179656
04013,1800495,922.0,67.0,335.0,4268.0,0.0512081399837267
05007,126598,49.0,6.0,9.0,30.0,0.03870519281505237
06001,679722,183.0,8.0,138.0,533.0,0.026922771368294685
06037,3629082,2173.0,86.0,678.0,3435.0,0.059877401502638955
06013,324805,115.0,10.0,64.0,327.0,0.03540585889995536
