state_fips,state_name,suicide_rate_total_2022,suicide_rate_male_2022
01,Alabama,17.2,28.8
02,Alaska,28.3,44.5
04,Arizona,19.3,31.7
05,Arkansas,21.7,36.5
06,California,11.0,17.5
08,Colorado,21.9,34.0
09,Connecticut,10.8,17.8
10,Delaware,13.4,21.5
12,Florida,14.5,24.0
13,Georgia,14.7,24.0
15,Hawaii,12.6,19.3
16,Idaho,23.3,37.1
17,Illinois,12.1,19.8
18,Indiana,16.6,27.2
19,Iowa,17.8,27.4
20,Kansas,19.1,29.5
21,Kentucky,19.0,30.4
22,Louisiana,14.4,24.6
23,Maine,19.1,30.8
24,Maryland,11.0,17.1
25,Massachusetts,9.4,14.8
26,Michigan,15.7,25.4
27,Minnesota,14.2,22.4
28,Mississippi,14.8,24.4
29,Missouri,19.4,31.5
30,Montana,29.8,46.9
31,Nebraska,15.2,24.3
32,Nevada,19.3,30.0
33,New Hampshire,18.3,30.2
34,New Jersey,8.3,12.9
35,New Mexico,25.9,40.0
36,New York,8.3,13.2
37,North Carolina,15.0,24.5
38,North Dakota,21.6,35.8
39,Ohio,15.8,25.0
40,Oklahoma,22.3,36.2
41,Oregon,19.6,31.3
42,Pennsylvania,14.8,23.7
44,Rhode Island,10.6,17.2
45,South Carolina,16.9,27.7
46,South Dakota,22.2,36.6
47,Tennessee,17.6,28.9
48,Texas,13.6,22.2
49,Utah,21.3,33.4
50,Vermont,21.2,34.5
51,Virginia,14.7,23.5
53,Washington,16.5,26.3
54,West Virginia,20.1,32.7
55,Wisconsin,17.5,28.1
56,Wyoming,30.7,50.5
