Year,Quarter,Dwelling Unit,City,Zip,Paint Inspection/Risk Assessment Date,Clear/Close Date,Property Status,Year Built,Finished Square Feet,Number of Rooms,Number of Rooms Treated,Windows,Location of Work,Type of Work,Relocation Cost,HUD Lead Hazard Reduction Cost,Match LHR Cost,Total LHR cost,Other Rehab Cost,Local government cost,Income,Occupants Younger Than 6,Occupants 6 and Older,BLL <10,BLL 10-20,BLL > 20,BLL Unknown,BLL Greater Than 5,New Georeferenced Column,Date Updated
2010,Fourth Quarter,Unit #1,St. Paul,55103.0,October 08 2010,December 02 2010,Vacant,1904,864,8,5,,Only Interior,Paint Stabilization and Window replacement,0.0,1439,1439,,0.0,,,0.0,0.0,,,,,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2010,Fourth Quarter,Unit #2,St. Paul,55104.0,July 22 2010,November 24 2010,Vacant,1891,896,10,6,,Only Interior,Paint Stabilization and Window replacement,0.0,2479,2479,,0.0,,,0.0,0.0,,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2019,Fourth Quarter,,Saint Paul,55117.0,September 17 2019,December 19 2019,Occupied Rental,1936,1042,14,9,20.0,Only Interior,Paint Stabilization and Window replacement,0.0,3272,4909,,0.0,,<30,1.0,3.0,,,,,0.0,"Saint Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2012,Fourth Quarter,Single Family,St. Paul,55104.0,September 09 2012,November 01 2012,Owner Occupied,1914,1090,14,1,11.0,Front Porch,Paint Stabilization and Window replacement,0.0,2023,2023,,0.0,,50-80,3.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2014,First Quarter,Single Family,St. Paul,55107.0,February 06 2014,March 19 2014,Owner Occupied,1885,1376,14,9,15.0,Interior Only,Window replacement and Paint stabilization,124.0,2714,2715,,0.0,,50-80,4.0,2.0,1.0,,,1.0,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2020,Fourth Quarter,,Saint Paul,55104.0,August 17 2020,October 02 2020,Occupied Rental,1912,866,11,8,24.0,Interior and exterior porch,Paint Stabilization and Window replacement,381.0,4350,6525,,0.0,,<30,3.0,3.0,,,,,0.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2022,Fourth Quarter,3,Saint Paul,55106.0,April 12 2022,December 13 2022,Occupied Rental,1883,1210,8,7,10.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,1953,8412.0,2449.0,6809.0,30-50,1.0,1.0,,,,,1.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2014,First Quarter,Single Family,St. Paul,55106.0,December 02 2013,January 09 2014,Owner Occupied,1937,1248,13,9,19.0,Interior Only,Window replacement and Paint stabilization,0.0,3287,3287,,0.0,,50-80,3.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Third Quarter,Single Family,St. Paul,55106.0,July 14 2010,September 23 2010,Owner Occupied,1924,1123,9,8,,Only Interior,Paint Stabilization and Window replacement,0.0,4200,4893,,0.0,,,3.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2019,Third Quarter,,Saint Paul,55130.0,May 24 2019,July 23 2019,Vacant,1912,1372,14,12,18.0,Only Interior,Paint Stabilization and Window replacement,0.0,3576,5365,,0.0,,na,0.0,0.0,,,,,0.0,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
