Grant,Lead Agency Name,Partner Name,Location Name,Provider Type,Street Address,City,State,Zip Code,Location County Served,Location School District,FY Year End Date,Fiscal Year,Full Day Funded Slots,Half Day Funded Slots,Total Funded Slots,Pre-K Identification Number,Master Provider Identification (MPI) Number,Master Provider ID Service Location Identification Number,Lead Agency Master Provider ID,Georeferenced Latitude & Longitude,State FIPS Code,County FIPS Code
PA PKC,WEE WONS INC,,WEE WONS,CHILD CARE PROVIDER,1702 ROUTE 940,POCONO PINES,PA,18350,MONROE,POCONO MOUNTAIN,06/30/2015,FY2014-2015,19,0,19,1126,100129310,2,100129310,,42,89
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,,CLEVELAND SCHOOL COMPREHENSIVE DAYCARE,SCHOOL DISTRICT,19TH AND ERIE AVE,PHILADELPHIA,PA,19140,PHILADELPHIA,PHILADELPHIA CITY,06/30/2015,FY2014-2015,40,0,40,1381,100137321,8,100137321,,42,101
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,BRIGHTSIDE ACADEMY PHILADELPHIA LLC,BRIGHTSIDE ACADEMY INC,CHILD CARE PROVIDER,2501 KENSINGTON AVE ACCA # 19,PHILADELPHIA,PA,19125,PHILADELPHIA,PHILADELPHIA CITY,06/30/2020,FY2019-2020,14,0,14,5517,100140532,30,100137321,POINT (-75.12854 39.98737),42,101
PA PKC,"JEFFERSON-CLARION HEAD START, INC.",,CLARION ELEMENTARY,HEAD START,800 BOUNDARY ST,CLARION,PA,16214,CLARION,CLARION AREA,06/30/2015,FY2014-2015,0,17,17,9866,102280149,10,102280149,POINT (-79.386091 41.206245),42,31
PA PKC,NORTHEASTERN CHILD CARE SERVICES INC,,TREASURE HOUSE CHILD DEVELOPMENT CENTERS-TAYLOR,CHILD CARE PROVIDER,700 S MAIN ST TAYLOR COMMUNITY CENTER,TAYLOR,PA,18517,LACKAWANNA,RIVERSIDE,06/30/2021,FY2020-2021,14,0,14,1342,100302505,2,100302505,POINT (-75.71794 41.3789),42,69
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,,CLEVELAND SCHOOL COMPREHENSIVE DAYCARE,SCHOOL DISTRICT,19TH AND ERIE AVE,PHILADELPHIA,PA,19140,PHILADELPHIA,PHILADELPHIA CITY,06/30/2016,FY2015-2016,40,0,40,1381,100137321,8,100137321,,42,101
PA PKC,BEGIN WITH US CC AND PRESCHOOL INC,,BEGIN WITH US CHILD CARE AND PRESCHOOL BLD B,CHILD CARE PROVIDER,729 GRANT AVE,ALTOONA,PA,16602,BLAIR,ALTOONA AREA,06/30/2015,FY2014-2015,30,0,30,2456,100141469,2,100141469,POINT (-78.384512673 40.511797664),42,13
PA PKC,POTTSTOWN SCHOOL DISTRICT,GREATER PHILADELPHIA YMCA,GPY POTTSTOWN EARLY LEARNING CENTER,CHILD CARE PROVIDER,1000 HERITAGE DR,POTTSTOWN,PA,19464,MONTGOMERY,POTTSTOWN,06/30/2020,FY2019-2020,40,0,40,21725,100226655,125,1427172,POINT (-75.6005 40.24715),42,91
PA PKC,WEE WONS INC,,WEE WONS,CHILD CARE PROVIDER,1702 ROUTE 940,POCONO PINES,PA,18350,MONROE,POCONO MOUNTAIN,06/30/2017,FY2016-2017,19,0,19,1126,100129310,2,100129310,,42,89
HSSAP,BUTLER COUNTY CHILDRENS CENTER,,BRUIN HEAD START,HEAD START,BRUIN ELEMENTARY SCHOOL 139 SCHOOL ST.,BRUIN,PA,16022,CLARION,BUTLER AREA,06/30/2016,FY2015-2016,0,0,10,12002,100134277,13,100134277,POINT (-79.72646 41.06002),42,31
