County,Beaver,Box Elder,Cache,Carbon,Daggett,Davis,Duchesne,Emery,Garfield,Grand,Iron,Juab,Kane,Millard,Morgan,Piute,Rich,Salt Lake,San Juan,Sanpete,Sevier,Summit,Tooele,Uintah,Utah,Wasatch,Washington,Wayne,Weber
2000,10,15,76,37,No Events,221,23,3,No Events,No Events,99.0,85,31,19.0,3.0,No Events,No Events,1996,2,52,15,16,32,81.0,348,2.0,77,5,311
2001,6,55,91,23,No Events,276,12,3,5,4,81.0,26,12,4.0,4.0,2,1,1821,4,42,8,10,51,67.0,382,11.0,43,1,388
2002,4,178,169,7,1,329,15,1,No Events,5,56.0,71,1,7.0,11.0,No Events,3,2289,4,108,30,17,44,94.0,442,5.0,31,No Events,491
2003,No Events,111,163,5,No Events,269,30,No Events,No Events,3,22.0,51,No Events,2.0,2.0,No Events,1,2738,No Events,147,19,20,48,79.0,243,6.0,9,1,446
2004,No Events,14,107,3,No Events,189,9,3,No Events,1,5.0,64,2,,12.0,1,1,1635,No Events,43,10,32,29,19.0,148,4.0,15,2,351
2005,No Events,80,144,6,No Events,153,1,2,1,1,2.0,54,No Events,2.0,2.0,No Events,1,1558,1,24,6,35,17,5.0,202,5.0,11,No Events,250
2006,No Events,33,26,19,1,103,No Events,No Events,No Events,No Events,,22,No Events,,2.0,No Events,No Events,347,1,12,3,32,16,1.0,129,1.0,1,No Events,152
2007,1,81,151,18,No Events,171,1,No Events,No Events,No Events,2.0,47,1,3.0,4.0,No Events,1,1177,No Events,43,7,15,15,1.0,361,12.0,3,No Events,369
2008,12,94,58,104,No Events,337,1,52,No Events,22,19.0,39,No Events,5.0,5.0,3,2,1374,106,49,60,14,37,47.0,280,,1,10,571
2009,No Events,30,24,12,No Events,219,No Events,4,No Events,No Events,1.0,10,1,4.0,7.0,No Events,No Events,1403,23,5,12,11,11,,151,3.0,1,1,399
2010,8,64,68,90,No Events,294,1,33,9,18,25.0,15,No Events,13.0,3.0,No Events,1,1585,172,55,28,29,8,25.0,185,3.0,54,3,141
2011,7,75,74,76,No Events,222,No Events,17,No Events,3,1.0,19,1,4.0,,8,No Events,1416,149,42,55,17,6,37.0,245,2.0,5,3,80
