state_fips,state_abbr,alcohol_control_state,has_dry_counties,alcohol_strictness
01,AL,1,1,4
02,AK,0,1,2
04,AZ,0,0,2
05,AR,0,1,4
06,CA,0,0,2
08,CO,0,0,2
09,CT,0,0,3
10,DE,0,0,2
11,DC,0,0,1
12,FL,0,1,2
13,GA,0,1,3
15,HI,0,0,2
16,ID,1,0,3
17,IL,0,0,2
18,IN,0,0,2
19,IA,1,0,3
20,KS,0,1,4
21,KY,0,1,4
22,LA,0,0,2
23,ME,1,0,3
24,MD,1,0,3
25,MA,0,0,3
26,MI,1,0,3
27,MN,0,1,3
28,MS,1,1,4
29,MO,0,0,2
30,MT,1,0,3
31,NE,0,0,2
32,NV,0,0,1
33,NH,1,0,3
34,NJ,0,0,2
35,NM,0,0,2
36,NY,0,0,3
37,NC,1,0,3
38,ND,0,0,2
39,OH,1,0,3
40,OK,0,0,4
41,OR,1,0,3
42,PA,1,0,4
44,RI,0,0,2
45,SC,0,1,3
46,SD,0,1,3
47,TN,0,1,4
48,TX,0,1,3
49,UT,1,0,5
50,VT,1,0,3
51,VA,1,1,3
53,WA,1,0,3
54,WV,1,1,3
55,WI,0,0,2
56,WY,1,0,2
