doc_ctrl_num,reporting_year,tri_chem_id,chem_name,state_abbr,state_county_fips_code,county_name,facility_name,fac_latitude,fac_longitude,rel_AIR FUG,rel_AIR STACK,rel_LAND TREA,rel_OTH DISP,rel_OTH LANDF,rel_RCRA C,rel_SI 5.5.3A,rel_SI 5.5.3B,rel_UNINJ I,rel_UNINJ IIV,rel_WATER,total_release_lb,air_release_lb
1322220797056,2022,N420,Lead compounds,PR,72059,GUAYANILLA MUNICIPIO,PREPA-SOUTH COAST POWER PLANT,0.0,0.0,0.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,83.3
1322221328798,2022,0007439921,Lead,PR,72145,VEGA BAJA MUNICIPIO,HUBBELL CARIBE LTD,0.0,0.0,,,,,,,,,,,,0.0,0.0
1322221350059,2022,N420,Lead compounds,PR,72091,MANATI MUNICIPIO,CELANESE MICROCIRCUITS INDUSTRIES LTD.,0.0,0.0,,,,,,,,,,,,0.0,0.0
1322221377106,2022,N420,Lead compounds,PR,72113,PONCE MUNICIPIO,ECW LANDFILL CORP.,0.0,0.0,,,,,,,,,,,,0.0,0.0
1322220810840,2022,N420,Lead compounds,PR,72123,SALINAS MUNICIPIO,PREPA - AGUIRRE POWER GENERATI ON COMPLEX,0.0,0.0,0.0,337.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,342.6,337.8
1322221450669,2022,0007439921,Lead,PR,72123,SALINAS MUNICIPIO,US ARMY NATIONAL GUARD CAMP SANTIAGO TRAINING CENTER-RANGES,0.0,0.0,,,,,,,,,,,,0.0,0.0
1322221175692,2022,0007439921,Lead,PR,72133,SANTA ISABEL MUNICIPIO,HAMILTON SUNDSTRAND DE PUERTO RICO INC.,0.0,0.0,,,,,,,,,,,,0.0,0.0
1322221488024,2022,N420,Lead compounds,PR,72057,GUAYAMA MUNICIPIO,AES PUERTO RICO LP,0.0,0.0,,,,,,,,,,,,0.0,0.0
1322220798779,2022,N420,Lead compounds,PR,72069,HUMACAO MUNICIPIO,LUTRON SM INC,0.0,0.0,0.37,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,1.5899999999999999
1322221287131,2022,N420,Lead compounds,VI,78030,ST. THOMAS ISLAND,VIRGIN ISLANDS WATER & POWER AUTHORITY,0.0,0.0,,,,,,,,,,,,0.0,0.0
