state,county,mining_site_count,lead_zinc_copper_sites
Alabama,Autauga,3,0
Alabama,Baldwin,25,0
Alabama,Barbour,428,0
Alabama,Bibb,65,0
Alabama,"Bibb, Tuscaloosa",1,0
Alabama,Blount,105,0
Alabama,Bullock,2,0
Alabama,Butler,206,0
Alabama,Calhoun,299,11
Alabama,"Calhoun, Cherokee, St. Clair, DeKalb",1,0
Alabama,Chambers,7,0
Alabama,Cherokee,253,0
Alabama,"Cherokee, Cleburne",2,0
Alabama,Chilton,65,0
Alabama,"Chilton, Clay, Coosa",1,0
Alabama,"Chilton, Coosa",1,0
Alabama,Choctaw,5,0
Alabama,Clarke,27,0
Alabama,Clay,248,18
Alabama,"Clay, Randolph",1,0
Alabama,Cleburne,132,9
Alabama,"Cleburne, Cherokee",2,0
Alabama,"Cleburne, Randolph",1,1
Alabama,Coffee,75,0
Alabama,Colbert,40,0
Alabama,Conecuh,43,0
Alabama,Coosa,119,0
Alabama,"Coosa, Chilton",1,0
Alabama,Covington,180,0
Alabama,Crenshaw,167,0
Alabama,Dale,14,0
Alabama,Dallas,14,0
Alabama,DeKalb,72,0
Alabama,"DeKalb, Calhoun, Cherokee",1,0
Alabama,Elmore,25,0
Alabama,Escambia,36,0
Alabama,Etowah,89,0
Alabama,"Etowah, Cherokee",1,0
Alabama,"Etowah, St. Clair",2,0
Alabama,Fayette,15,0
Alabama,Franklin,309,0
Alabama,Geneva,58,0
Alabama,Greene,7,0
Alabama,Hale,3,0
Alabama,Henry,178,0
Alabama,Houston,69,0
Alabama,Jackson,14,0
Alabama,Jefferson,170,2
Alabama,Lamar,6,0
Alabama,Lauderdale,7,0
Alabama,Lawrence,1,0
Alabama,Lee,11,0
Alabama,Limestone,7,0
Alabama,Lowndes,7,0
Alabama,Macon,21,0
Alabama,Madison,11,0
Alabama,Marengo,4,0
Alabama,Marion,19,0
Alabama,Marshall,9,0
Alabama,Mobile,75,0
Alabama,Monroe,17,0
Alabama,Montgomery,58,0
Alabama,Morgan,7,0
Alabama,Pickens,4,0
Alabama,Pike,302,0
Alabama,Randolph,151,24
Alabama,Russell,20,0
Alabama,Shelby,68,0
Alabama,St. Clair,59,1
Alabama,Sumter,12,0
Alabama,Talladega,181,0
Alabama,Tallapoosa,85,0
Alabama,Tuscaloosa,75,0
Alabama,"Tuscaloosa, Bibb",2,0
Alabama,Walker,7,0
Alabama,Washington,15,0
Alabama,Wilcox,5,0
Alabama,Winston,1,0
Alaska,Anchorage,1,0
Alaska,Bendeleben,1,0
Alaska,De Long Mountains,1,1
Alaska,Iditarod,1,0
Alaska,Livengood,2,0
Alaska,Mount Hayes,1,1
Arizona,Apache,502,1
Arizona,Cochise,1235,529
Arizona,"Cochise, Graham",1,0
Arizona,Coconino,491,35
Arizona,"Coconino, Navajo",2,0
Arizona,Gila,999,290
Arizona,"Gila, Maricopa",1,1
Arizona,Graham,392,163
Arizona,"Graham, Greenlee",1,0
Arizona,Greenlee,211,71
Arizona,La Paz,833,347
Arizona,"La Paz, Mohave",1,0
Arizona,"La Paz, Yuma",1,0
Arizona,Maricopa,831,157
Arizona,"Maricopa, Gila",1,0
Arizona,"Maricopa, Yavapai",2,0
Arizona,Mohave,1363,303
Arizona,"Mohave, Yavapai",1,0
Arizona,Navajo,217,5
Arizona,"Navajo, Apache",1,0
Arizona,Pima,1832,725
Arizona,"Pima, Santa Cruz",1,1
Arizona,Pinal,1028,479
Arizona,"Pinal, Gila",1,1
Arizona,"Pinal, Maricopa",1,0
Arizona,Santa Cruz,604,408
Arizona,Yavapai,1860,605
Arizona,"Yavapai, Maricopa",2,0
Arizona,Yuma,527,115
"Arizona, Utah, Colorado, New Mexico",San Miguel,1,0
Arkansas,Arkansas,5,0
Arkansas,Ashley,78,0
Arkansas,Baxter,45,17
Arkansas,Benton,29,1
Arkansas,Boone,86,64
Arkansas,Bradley,60,0
Arkansas,Calhoun,106,0
Arkansas,Carroll,19,0
Arkansas,Chicot,3,0
Arkansas,Clark,83,5
Arkansas,Clay,42,0
Arkansas,Cleburne,28,0
Arkansas,Cleveland,62,0
Arkansas,Columbia,58,0
Arkansas,Conway,23,0
Arkansas,Craighead,35,0
Arkansas,Crawford,13,1
Arkansas,Crittenden,11,0
Arkansas,Cross,26,0
Arkansas,Dallas,76,0
Arkansas,Desha,1,0
Arkansas,Drew,49,0
Arkansas,Faulkner,43,1
Arkansas,Franklin,33,0
Arkansas,Fulton,20,1
Arkansas,Garland,80,0
Arkansas,Grant,119,0
Arkansas,Greene,50,0
Arkansas,Hempstead,37,0
Arkansas,Hot Spring,84,1
Arkansas,Howard,95,7
Arkansas,"Howard, Clark, Pike",1,1
Arkansas,Independence,256,0
Arkansas,"Independence, Izard",2,0
Arkansas,"Independence, Izard, Stone, Sharp",1,0
Arkansas,Izard,81,0
Arkansas,Jackson,10,0
Arkansas,Jefferson,31,1
Arkansas,Johnson,15,0
Arkansas,Lafayette,91,0
Arkansas,Lawrence,65,24
Arkansas,Lee,2,0
Arkansas,Lincoln,42,0
Arkansas,Little River,55,0
Arkansas,Logan,55,0
Arkansas,Lonoke,8,0
Arkansas,Madison,17,2
Arkansas,Marion,219,187
Arkansas,Miller,76,0
Arkansas,Mississippi,1,0
Arkansas,Monroe,4,0
Arkansas,Montgomery,80,2
Arkansas,Nevada,78,0
Arkansas,Newton,52,33
Arkansas,Ouachita,78,0
Arkansas,Perry,26,0
Arkansas,Phillips,5,0
Arkansas,Pike,133,46
Arkansas,"Pike, Montgomery",1,0
Arkansas,"Pike, Polk",1,0
Arkansas,Poinsett,23,0
Arkansas,Polk,55,0
Arkansas,Pope,96,0
Arkansas,Pulaski,103,4
Arkansas,"Pulaski, Saline",1,0
Arkansas,Randolph,25,0
Arkansas,Saline,95,0
Arkansas,Scott,6,0
Arkansas,Searcy,29,21
Arkansas,Sebastian,11,0
Arkansas,Sevier,77,4
Arkansas,Sharp,61,14
Arkansas,St. Francis,12,0
Arkansas,Stone,31,1
Arkansas,Union,20,0
Arkansas,Van Buren,12,0
Arkansas,Washington,32,0
Arkansas,White,45,0
Arkansas,Woodruff,6,0
Arkansas,Yell,34,0
California,Alameda,286,11
California,"Alameda, San Mateo",1,0
California,Alpine,190,19
California,Amador,1146,28
California,"Amador, Calaveras, San Joaquin",1,0
California,Butte,878,6
California,"Butte, Yuba",3,0
California,Calaveras,2971,77
California,"Calaveras, Amador",1,0
California,"Calaveras, Tuolumne",1,0
California,Colusa,86,33
California,Contra Costa,228,33
California,Del Norte,485,58
California,El Dorado,2750,67
California,"El Dorado, Placer",3,0
California,Fresno,622,44
California,"Fresno, San Benito",1,1
California,Glenn,116,9
California,Humboldt,446,25
California,Imperial,591,37
California,Inyo,1945,477
California,Kern,1573,92
California,"Kern, San Bernardino",1,0
California,Kings,50,17
California,Lake,421,121
California,"Lake, Napa",1,1
California,"Lake, Napa, Yolo",1,1
California,Lassen,266,13
California,Los Angeles,736,32
California,Madera,529,63
California,Marin,132,21
California,Mariposa,1499,79
California,Mendocino,298,25
California,Merced,86,18
California,"Merced, San Benito, Santa Clara",1,1
California,Modoc,288,25
California,Mono,791,110
California,Monterey,366,34
California,Napa,327,80
California,"Napa, Yolo",1,0
California,Nevada,2289,76
California,"Nevada, Sierra",2,0
California,"Nevada, Yuba",2,0
California,Orange,128,13
California,Placer,1552,25
California,"Placer, El Dorado",1,0
California,"Placer, Nevada",1,0
California,"Placer, Yuba",1,0
California,Plumas,916,79
California,"Plumas, Yuba",1,0
California,Riverside,1408,79
California,Sacramento,169,0
California,San Benito,268,101
California,"San Benito, Merced",1,1
California,San Bernardino,4158,626
California,San Diego,1038,18
California,San Francisco,6,1
California,San Joaquin,97,0
California,San Luis Obispo,540,94
California,San Mateo,127,5
California,Santa Barbara,182,26
California,Santa Clara,372,79
California,Santa Cruz,72,0
California,Shasta,1088,176
California,"Shasta, Tehama",3,0
California,"Shasta, Trinity",1,0
California,Sierra,1113,9
California,"Sierra, Nevada",6,0
California,Siskiyou,2531,124
California,Solano,40,10
California,Sonoma,423,109
California,Stanislaus,213,15
California,Sutter,9,0
California,Tehama,176,14
California,Trinity,1555,73
California,Tulare,456,53
California,Tuolumne,1276,24
California,Ventura,174,4
California,Yolo,52,5
California,"Yolo, Napa, Lake",1,0
California,Yuba,198,11
California,"Yuba, Butte",2,0
Colorado,Adams,157,0
Colorado,Alamosa,47,5
Colorado,Arapahoe,104,0
Colorado,Archuleta,34,2
Colorado,Baca,43,34
Colorado,Bent,103,1
Colorado,Boulder,1152,44
Colorado,Chaffee,501,76
Colorado,Cheyenne,7,0
Colorado,Clear Creek,1332,144
Colorado,"Clear Creek, Jefferson",1,0
Colorado,Conejos,101,3
Colorado,"Conejos, Rio Grande",1,1
Colorado,Costilla,50,11
Colorado,Crowley,21,0
Colorado,Custer,265,52
Colorado,"Custer, Fremont",1,0
Colorado,Delta,75,0
Colorado,Denver,17,0
Colorado,Dolores,270,67
Colorado,"Dolores, Garfield, San Miguel, La Plata",1,0
Colorado,"Dolores, Montezuma",1,0
Colorado,"Dolores, San Miguel",2,2
Colorado,Douglas,207,3
Colorado,"Douglas, Arapahoe",1,0
Colorado,Eagle,152,24
Colorado,El Paso,316,6
Colorado,"El Paso, Teller",2,0
Colorado,Elbert,83,0
Colorado,Fremont,500,59
Colorado,"Fremont, Teller",1,0
Colorado,Garfield,84,14
Colorado,Gilpin,422,44
Colorado,Grand,131,26
Colorado,Gunnison,908,273
Colorado,"Gunnison, Pitkin",1,1
Colorado,"Gunnison, Saguache",2,0
Colorado,Hinsdale,163,74
Colorado,"Hinsdale, Ouray, San Juan",1,1
Colorado,Huerfano,98,15
Colorado,Jackson,145,46
Colorado,"Jackson, Grand",1,0
Colorado,Jefferson,441,20
Colorado,"Jefferson, Clear Creek",1,0
Colorado,"Jefferson, Park",1,0
Colorado,Kiowa,29,0
Colorado,Kit Carson,48,1
Colorado,La Plata,350,28
Colorado,"La Plata, Hinsdale",2,2
Colorado,"La Plata, Montezuma",1,1
Colorado,Lake,492,143
Colorado,Larimer,336,17
Colorado,"Larimer, Boulder",1,0
Colorado,Las Animas,91,1
Colorado,Lincoln,75,0
Colorado,Logan,106,1
Colorado,Mesa,541,7
Colorado,"Mesa, Montrose",1,1
Colorado,Mineral,169,42
Colorado,Moffat,280,13
Colorado,Montezuma,150,9
Colorado,"Montezuma, Dolores",1,1
Colorado,"Montezuma, La Plata",1,0
Colorado,Montrose,1547,24
Colorado,"Montrose, San Miguel",1,0
Colorado,Morgan,34,0
Colorado,Otero,81,0
Colorado,Ouray,264,55
Colorado,Park,472,98
Colorado,"Park, Lake",3,3
