county_fips,county_name,n_grid_cells,total_samples,mean_soil_lead_ppm
01107,Pickens County,1,1,15.0
02020,Anchorage Municipality,1,1,12.0
02050,Bethel Census Area,5,12,22.43333333333333
02066,Copper River Census Area,1,2,6.5
02100,Haines Borough,1,2,12.0
02110,Juneau City and Borough,1,1,20.0
02122,Kenai Peninsula Borough,3,34,7.118421052631579
02150,Kodiak Island Borough,1,1,19.0
02158,Kusilvak Census Area,1,1,17.0
02164,Lake and Peninsula Borough,1,1,-4.0
02170,Matanuska-Susitna Borough,1,2,12.0
02180,Nome Census Area,1,1,20.0
02185,North Slope Borough,2,3,13.25
02188,Northwest Arctic Borough,3,7,1313.3333333333333
02198,Prince of Wales-Hyder Census Area,1,2,13.5
02240,Southeast Fairbanks Census Area,2,36,15.690625
02290,Yukon-Koyukuk Census Area,6,9,13.916666666666666
04012,La Paz County,1,1,20.0
04015,Mohave County,1,10,89.0
04019,Pima County,1,2016,52.88938492063492
05001,Arkansas County,1,5,14.0
05041,Desha County,1,4,23.25
05077,Lee County,1,4,14.0
05105,Perry County,1,1,20.0
05123,St. Francis County,1,2,20.0
06007,Butte County,1,4,13.75
06017,El Dorado County,1,61,22.660655737704918
06027,Inyo County,1,1,15.0
06029,Kern County,2,37,12.13888888888889
06041,Marin County,1,21,9.066666666666666
06047,Merced County,1,19,57.8421052631579
06071,San Bernardino County,4,38,29.738636363636363
08023,Costilla County,1,13,15.692307692307692
08045,Garfield County,1,1,10.7
08051,Gunnison County,1,14,43.55714285714286
08073,Lincoln County,1,1,20.0
08083,Montezuma County,1,27,17.703703703703702
08085,Montrose County,1,3,-1.6666666666666667
08097,Pitkin County,1,11,17.272727272727273
08101,Pueblo County,1,24,28.675
08113,San Miguel County,1,2,15.3
12003,Baker County,1,3,15.666666666666666
12021,Collier County,1,5,5.2
12063,Jackson County,1,1,18.0
12065,Jefferson County,1,4,29.5
12083,Marion County,1,9,11.666666666666666
12105,Polk County,2,11,36.6
12123,Taylor County,1,4,9.0
13069,Coffee County,1,1,-10.0
13087,Decatur County,1,1,-4.0
15001,Hawaii County,1,1,16.0
16085,Valley County,1,1,15.0
17097,Lake County,1,1,31.0
17171,Scott County,1,2,17.0
17187,Warren County,1,1,25.0
17193,White County,1,1,18.5
18005,Bartholomew County,1,1,27.0
18103,Miami County,1,2,9.0
18141,St. Joseph County,1,1,30.0
18153,Sullivan County,1,1,25.0
19007,Appanoose County,1,4,19.5
19021,Buena Vista County,1,4,18.75
19061,Dubuque County,1,4,23.0
19065,Fayette County,1,2,15.5
19079,Hamilton County,1,20,16.15
19135,Monroe County,1,4,21.25
19145,Page County,1,4,20.0
19153,Polk County,1,5,16.8
19181,Warren County,1,2,22.5
19193,Woodbury County,1,2,17.5
20069,Gray County,1,3,19.833333333333332
21101,Henderson County,1,15,11.533333333333333
21111,Jefferson County,1,2,33.0
21141,Logan County,1,3,6.333333333333333
21213,Simpson County,1,5,11.2
21221,Trigg County,1,3,16.333333333333332
22119,Webster Parish,1,1,32.0
23009,Hancock County,1,1,20.0
26033,Chippewa County,1,30,43.333333333333336
26083,Keweenaw County,1,5,31.6
26093,Livingston County,1,1,10.0
26097,Mackinac County,1,1,-10.0
26103,Marquette County,1,1,10.0
26131,Ontonagon County,2,196,22.17611441695375
27115,Pine County,1,2,15.5
27135,Roseau County,1,1,10.0
27159,Wadena County,1,2,11.0
28045,Hancock County,1,2,8.0
28159,Winston County,1,1,15.0
29009,Barry County,1,12,23.75
29039,Cedar County,1,8,25.0
29063,DeKalb County,1,7,18.571428571428573
29067,Douglas County,1,6,25.833333333333332
29069,Dunklin County,1,6,15.0
29099,Jefferson County,1,9,35.55555555555556
29123,Madison County,1,15,46.333333333333336
29149,Oregon County,1,9,20.0
29165,Platte County,1,8,16.875
29177,Ray County,1,12,19.583333333333332
29195,Saline County,1,4,22.5
29197,Schuyler County,1,18,18.333333333333332
29199,Scotland County,1,31,20.451612903225808
29215,Texas County,1,4,25.0
29223,Wayne County,1,9,16.666666666666668
30017,Custer County,1,4,7.475
30021,Dawson County,1,6,0.39999999999999974
30053,Lincoln County,1,1,13.4
30063,Missoula County,2,4,40.0
30093,Silver Bow County,1,1,15.0
31063,Frontier County,1,2,7.0
32013,Humboldt County,1,4,16.0
32019,Lyon County,1,6,40.0
33003,Carroll County,1,1,30.0
33019,Sullivan County,1,18,15.0
35001,Bernalillo County,1,3,3.3333333333333335
35005,Chaves County,1,1,-10.0
35017,Grant County,1,29,35.172413793103445
35021,Harding County,1,1,15.0
35031,McKinley County,1,6,15.166666666666666
35057,Torrance County,1,1,15.0
36019,Clinton County,1,1,10.0
37023,Burke County,1,11,38.63636363636363
38001,Adams County,1,7,10.857142857142858
38009,Bottineau County,1,2,13.0
38049,McHenry County,1,4,14.25
38071,Ramsey County,1,2,14.5
38085,Sioux County,1,2,14.5
38089,Stark County,1,8,13.95
39097,Madison County,1,4,20.0
40049,Garvin County,1,4,12.25
40073,Kingfisher County,1,1,15.0
40081,Lincoln County,1,10,10.8
40153,Woodward County,1,1,15.0
41019,Douglas County,1,1,-20.0
41043,Linn County,1,2,6.5
41045,Malheur County,2,60,20.563492063492063
41047,Marion County,1,13,14.615384615384615
42049,Erie County,1,3,17.333333333333332
42065,Jefferson County,1,1,-10.0
45021,Cherokee County,1,3,9.9
45043,Georgetown County,1,8,27.375
45089,Williamsburg County,1,5,17.2
46101,Moody County,1,1,15.0
48031,Blanco County,1,1,9.0
48083,Coleman County,1,1,30.0
48215,Hidalgo County,1,48,17.547916666666666
48229,Hudspeth County,2,2,0.0
48377,Presidio County,1,1,15.0
48453,Travis County,1,1,14.0
49015,Emery County,1,1,15.0
49017,Garfield County,1,2,9.3
49027,Millard County,1,1,15.0
49031,Piute County,1,1,15.0
49051,Wasatch County,1,1,15.0
51183,Sussex County,1,1,-10.0
53003,Asotin County,1,6,7.333333333333333
53007,Chelan County,1,4,9.0
53029,Island County,1,2,6.5
53033,King County,1,4,21.5
53041,Lewis County,1,2,10.5
53053,Pierce County,1,2,7.5
53063,Spokane County,1,1,-10.0
53073,Whatcom County,1,2,10.0
55085,Oneida County,1,34,10.823529411764707
56013,Fremont County,1,5,12.132
56025,Natrona County,1,85,18.50588235294118
56029,Park County,2,76,59.885416666666664
56035,Sublette County,1,7,33.57142857142857
56037,Sweetwater County,1,55,17.09090909090909
56045,Weston County,1,2,20.25
