FIPS,county_name,total_pop_18_64,total_vets_working_age,vets_18_34,employed_vets_18_34,unemployed_vets_18_34,vets_35_54,employed_vets_35_54,unemployed_vets_35_54,vets_55_64,employed_vets_55_64,unemployed_vets_55_64,total_employed_vets,total_unemployed_vets,vet_employment_rate,vet_unemployment_rate
01001,"Autauga County, Alabama",34876,3110,408,364,0,1580,1133,13,1122,663,0,2160,13,69.45,0.6
01003,"Baldwin County, Alabama",133838,9152,1458,908,137,3880,3173,146,3814,2500,10,6581,293,71.91,4.26
01005,"Barbour County, Alabama",14800,594,77,14,0,286,68,15,231,130,0,212,15,35.69,6.61
01007,"Bibb County, Alabama",13802,744,14,0,0,384,193,0,346,183,0,376,0,50.54,0.0
01009,"Blount County, Alabama",34697,1496,289,286,3,676,449,103,531,152,42,887,148,59.29,14.3
01011,"Bullock County, Alabama",6439,278,19,15,0,97,32,0,162,51,0,98,0,35.25,0.0
01013,"Butler County, Alabama",10722,495,24,24,0,251,161,12,220,100,0,285,12,57.58,4.04
01015,"Calhoun County, Alabama",70395,4193,421,298,30,1843,1359,142,1929,971,35,2628,207,62.68,7.3
01017,"Chambers County, Alabama",20531,979,80,72,5,396,330,0,503,216,0,618,5,63.13,0.8
01019,"Cherokee County, Alabama",14516,398,24,24,0,241,235,2,133,59,0,318,2,79.9,0.62
01021,"Chilton County, Alabama",26830,802,108,55,0,430,390,0,264,172,0,617,0,76.93,0.0
01023,"Choctaw County, Alabama",7193,370,81,55,2,146,113,9,143,36,0,204,11,55.14,5.12
01025,"Clarke County, Alabama",13273,627,4,0,0,341,243,4,282,78,0,321,4,51.2,1.23
01027,"Clay County, Alabama",8307,353,25,25,0,138,99,0,190,18,0,142,0,40.23,0.0
01029,"Cleburne County, Alabama",8724,303,61,22,0,139,103,0,103,32,0,157,0,51.82,0.0
01031,"Coffee County, Alabama",30222,4258,641,404,16,2044,1821,75,1573,1102,8,3327,99,78.14,2.89
01033,"Colbert County, Alabama",33786,1574,464,340,0,644,562,30,466,312,0,1214,30,77.13,2.41
01035,"Conecuh County, Alabama",6494,273,9,0,0,132,46,0,132,108,0,154,0,56.41,0.0
01037,"Coosa County, Alabama",6098,359,13,13,0,206,129,5,140,81,0,223,5,62.12,2.19
01039,"Covington County, Alabama",21116,1097,191,180,0,407,299,0,499,268,0,747,0,68.09,0.0
