FIPS,county_name,total_veterans,gulf_war_2_vets,gulf_war_1_vets,vietnam_vets,korean_war_vets,wwii_vets,other_period_vets,pct_post911_vets
01001,"Autauga County, Alabama",5097,2076,2070,246,0,0,540,40.73
01003,"Baldwin County, Alabama",20740,4029,11665,1044,31,86,2387,19.43
01005,"Barbour County, Alabama",1303,210,691,77,0,0,276,16.12
01007,"Bibb County, Alabama",1362,323,765,49,14,0,158,23.72
01009,"Blount County, Alabama",3040,665,1369,104,0,43,507,21.88
01011,"Bullock County, Alabama",380,171,118,5,0,0,75,45.0
01013,"Butler County, Alabama",1034,168,528,99,0,0,155,16.25
01015,"Calhoun County, Alabama",8128,1531,4686,197,0,44,1265,18.84
01017,"Chambers County, Alabama",1977,304,1244,46,0,0,270,15.38
01019,"Cherokee County, Alabama",1416,160,847,39,0,13,232,11.3
01021,"Chilton County, Alabama",1799,296,947,38,0,65,282,16.45
01023,"Choctaw County, Alabama",645,185,295,35,0,16,65,28.68
01025,"Clarke County, Alabama",1225,110,826,68,0,5,134,8.98
01027,"Clay County, Alabama",711,93,404,17,0,0,182,13.08
01029,"Cleburne County, Alabama",890,196,456,41,0,10,96,22.02
01031,"Coffee County, Alabama",6183,2742,2288,169,0,47,687,44.35
01033,"Colbert County, Alabama",3227,791,1391,142,9,7,713,24.51
01035,"Conecuh County, Alabama",478,13,315,25,0,0,67,2.72
01037,"Coosa County, Alabama",690,115,346,27,0,0,103,16.67
01039,"Covington County, Alabama",2514,375,1216,166,0,12,480,14.92
01041,"Crenshaw County, Alabama",519,54,280,31,0,0,107,10.4
01043,"Cullman County, Alabama",4734,959,2279,157,0,43,913,20.26
01045,"Dale County, Alabama",5199,1542,2501,170,14,2,766,29.66
01047,"Dallas County, Alabama",1840,290,896,135,0,15,423,15.76
01049,"DeKalb County, Alabama",3209,459,1453,156,0,13,612,14.3
01051,"Elmore County, Alabama",6179,1805,3161,235,0,38,717,29.21
01053,"Escambia County, Alabama",2145,432,978,92,0,38,502,20.14
01055,"Etowah County, Alabama",5512,1184,2598,387,0,47,764,21.48
01057,"Fayette County, Alabama",783,102,441,21,0,17,104,13.03
01059,"Franklin County, Alabama",1184,315,578,64,0,0,128,26.6
01061,"Geneva County, Alabama",2075,650,940,110,5,27,192,31.33
01063,"Greene County, Alabama",491,146,199,22,0,0,111,29.74
01065,"Hale County, Alabama",868,314,365,53,0,5,82,36.18
01067,"Henry County, Alabama",1261,395,521,79,0,0,172,31.32
01069,"Houston County, Alabama",8199,2126,3879,372,3,96,1267,25.93
01071,"Jackson County, Alabama",2871,534,1444,179,0,7,304,18.6
01073,"Jefferson County, Alabama",34009,7566,16165,1700,249,389,5678,22.25
01075,"Lamar County, Alabama",665,180,305,18,0,7,85,27.07
01077,"Lauderdale County, Alabama",5578,1081,2829,198,0,74,839,19.38
01079,"Lawrence County, Alabama",1886,473,763,196,0,0,349,25.08
01081,"Lee County, Alabama",10309,3521,4387,374,25,139,1472,34.15
01083,"Limestone County, Alabama",7400,2343,3388,144,0,56,1001,31.66
01085,"Lowndes County, Alabama",457,95,177,65,0,0,106,20.79
01087,"Macon County, Alabama",1275,175,627,50,0,0,402,13.73
01089,"Madison County, Alabama",34224,11761,14041,1397,15,165,5517,34.36
01091,"Marengo County, Alabama",1241,307,538,73,0,0,230,24.74
01093,"Marion County, Alabama",1593,338,655,110,0,7,306,21.22
01095,"Marshall County, Alabama",5566,1349,2721,293,4,84,783,24.24
01097,"Mobile County, Alabama",26290,5530,13074,1238,18,231,4351,21.03
01099,"Monroe County, Alabama",925,224,347,8,0,10,172,24.22
01101,"Montgomery County, Alabama",15306,4666,6903,701,0,91,2427,30.48
01103,"Morgan County, Alabama",7442,2176,2916,438,0,71,1300,29.24
01105,"Perry County, Alabama",244,13,133,17,0,0,33,5.33
01107,"Pickens County, Alabama",1079,178,580,76,0,0,206,16.5
01109,"Pike County, Alabama",1960,390,908,173,0,39,364,19.9
01111,"Randolph County, Alabama",1031,162,535,41,0,0,260,15.71
01113,"Russell County, Alabama",5728,2546,1972,95,0,0,989,44.45
01115,"St. Clair County, Alabama",5237,1174,2459,455,3,17,683,22.42
01117,"Shelby County, Alabama",12047,2574,5733,759,0,180,1783,21.37
01119,"Sumter County, Alabama",347,92,113,5,0,4,96,26.51
01121,"Talladega County, Alabama",4708,1173,2609,137,0,44,445,24.92
01123,"Tallapoosa County, Alabama",2743,577,1438,132,0,16,337,21.04
01125,"Tuscaloosa County, Alabama",11597,2904,5725,281,0,112,2110,25.04
01127,"Walker County, Alabama",3194,527,1653,191,0,34,575,16.5
01129,"Washington County, Alabama",733,88,471,65,0,0,72,12.01
01131,"Wilcox County, Alabama",484,76,148,90,1,0,117,15.7
01133,"Winston County, Alabama",1267,211,585,70,0,1,248,16.65
02013,"Aleutians East Borough, Alaska",127,9,80,0,0,17,18,7.09
02016,"Aleutians West Census Area, Alaska",262,89,125,5,0,0,43,33.97
02020,"Anchorage Municipality, Alaska",24982,10140,10296,645,0,101,3109,40.59
02050,"Bethel Census Area, Alaska",697,227,363,5,0,0,94,32.57
02060,"Bristol Bay Borough, Alaska",57,17,16,4,0,0,16,29.82
02063,"Chugach Census Area, Alaska",556,175,281,5,0,8,75,31.47
02066,"Copper River Census Area, Alaska",294,27,192,9,0,0,64,9.18
02068,"Denali Borough, Alaska",173,16,106,27,0,0,14,9.25
02070,"Dillingham Census Area, Alaska",99,24,53,2,0,0,17,24.24
02090,"Fairbanks North Star Borough, Alaska",9600,4341,3466,288,0,23,1344,45.22
02100,"Haines Borough, Alaska",174,18,110,2,0,0,42,10.34
02105,"Hoonah-Angoon Census Area, Alaska",203,8,104,9,0,0,55,3.94
02110,"Juneau City and Borough, Alaska",2003,471,1066,72,0,4,329,23.51
02122,"Kenai Peninsula Borough, Alaska",4826,1155,2534,189,0,67,539,23.93
02130,"Ketchikan Gateway Borough, Alaska",947,208,503,15,0,0,154,21.96
02150,"Kodiak Island Borough, Alaska",1284,700,409,54,10,0,108,54.52
02158,"Kusilvak Census Area, Alaska",228,41,113,3,0,0,69,17.98
02164,"Lake and Peninsula Borough, Alaska",42,5,25,0,0,0,9,11.9
02170,"Matanuska-Susitna Borough, Alaska",10934,4050,4566,217,8,19,1684,37.04
02180,"Nome Census Area, Alaska",364,45,209,0,0,0,94,12.36
02185,"North Slope Borough, Alaska",477,108,280,0,0,5,83,22.64
02188,"Northwest Arctic Borough, Alaska",264,17,206,0,0,0,30,6.44
02195,"Petersburg Borough, Alaska",224,28,150,4,0,2,33,12.5
02198,"Prince of Wales-Hyder Census Area, Alaska",380,53,228,5,0,18,55,13.95
02220,"Sitka City and Borough, Alaska",533,114,258,46,8,2,56,21.39
02230,"Skagway Municipality, Alaska",49,24,14,1,0,0,5,48.98
02240,"Southeast Fairbanks Census Area, Alaska",722,277,294,37,0,0,84,38.37
02275,"Wrangell City and Borough, Alaska",245,26,98,44,0,3,30,10.61
02282,"Yakutat City and Borough, Alaska",81,1,61,2,0,2,4,1.23
02290,"Yukon-Koyukuk Census Area, Alaska",424,90,200,19,0,0,97,21.23
04001,"Apache County, Arizona",2767,350,1750,81,0,26,455,12.65
04003,"Cochise County, Arizona",17530,5174,8398,889,0,69,2138,29.52
04005,"Coconino County, Arizona",7271,2116,3385,227,0,38,1096,29.1
04007,"Gila County, Arizona",5114,619,2836,470,0,72,675,12.1
04009,"Graham County, Arizona",1695,235,873,75,0,96,309,13.86
04011,"Greenlee County, Arizona",470,110,206,0,0,0,117,23.4
04012,"La Paz County, Arizona",2199,107,1188,202,0,0,211,4.87
04013,"Maricopa County, Arizona",244160,58680,116533,13358,146,3496,33531,24.03
04015,"Mohave County, Arizona",23904,2899,13011,1564,0,263,3523,12.13
04017,"Navajo County, Arizona",6445,1041,3530,280,0,38,1071,16.15
04019,"Pima County, Arizona",79998,20836,37007,5268,98,792,10276,26.05
04021,"Pinal County, Arizona",35571,7382,18673,1945,14,203,4291,20.75
04023,"Santa Cruz County, Arizona",1714,328,922,68,0,33,185,19.14
04025,"Yavapai County, Arizona",25630,3564,13579,1964,69,488,3393,13.91
04027,"Yuma County, Arizona",14100,3456,6239,1450,0,113,1321,24.51
05001,"Arkansas County, Arkansas",759,171,367,54,0,2,111,22.53
05003,"Ashley County, Arkansas",832,176,371,32,0,98,87,21.15
05005,"Baxter County, Arkansas",4706,1016,2239,387,31,105,560,21.59
05007,"Benton County, Arkansas",14702,3984,6707,1032,39,149,1876,27.1
05009,"Boone County, Arkansas",2362,475,1131,274,0,33,244,20.11
05011,"Bradley County, Arkansas",548,114,316,34,0,4,68,20.8
05013,"Calhoun County, Arkansas",202,66,92,5,0,0,11,32.67
05015,"Carroll County, Arkansas",2316,294,1397,145,0,20,387,12.69
05017,"Chicot County, Arkansas",318,8,181,32,0,4,65,2.52
05019,"Clark County, Arkansas",933,158,474,48,0,29,115,16.93
05021,"Clay County, Arkansas",1008,196,423,30,0,0,296,19.44
05023,"Cleburne County, Arkansas",2339,310,1265,232,0,32,345,13.25
05025,"Cleveland County, Arkansas",394,94,152,83,0,8,17,23.86
05027,"Columbia County, Arkansas",1043,225,498,99,0,3,182,21.57
05029,"Conway County, Arkansas",1548,268,886,98,0,0,279,17.31
05031,"Craighead County, Arkansas",5181,1076,2515,498,0,29,796,20.77
05033,"Crawford County, Arkansas",4386,1182,2089,174,0,8,622,26.95
05035,"Crittenden County, Arkansas",2150,320,1153,70,0,2,557,14.88
05037,"Cross County, Arkansas",945,135,475,57,0,0,232,14.29
05039,"Dallas County, Arkansas",387,66,241,22,0,0,25,17.05
05041,"Desha County, Arkansas",471,150,212,6,0,21,63,31.85
05043,"Drew County, Arkansas",933,172,570,52,0,0,135,18.44
05045,"Faulkner County, Arkansas",5692,1570,2849,255,23,24,642,27.58
05047,"Franklin County, Arkansas",1404,446,504,34,0,14,345,31.77
05049,"Fulton County, Arkansas",847,99,515,59,0,7,102,11.69
05051,"Garland County, Arkansas",8258,1610,4329,434,0,168,947,19.5
05053,"Grant County, Arkansas",1207,393,556,16,0,3,183,32.56
05055,"Greene County, Arkansas",3046,668,1432,139,0,42,522,21.93
05057,"Hempstead County, Arkansas",893,191,445,13,0,17,208,21.39
05059,"Hot Spring County, Arkansas",2034,319,1237,53,0,18,329,15.68
05061,"Howard County, Arkansas",545,77,347,29,0,0,48,14.13
05063,"Independence County, Arkansas",2177,447,1174,117,0,0,296,20.53
05065,"Izard County, Arkansas",1193,137,591,76,0,5,308,11.48
05067,"Jackson County, Arkansas",792,68,333,68,0,0,293,8.59
05069,"Jefferson County, Arkansas",3692,805,1956,91,0,54,570,21.8
05071,"Johnson County, Arkansas",1648,448,794,32,0,12,268,27.18
05073,"Lafayette County, Arkansas",453,61,271,9,0,25,64,13.47
05075,"Lawrence County, Arkansas",827,157,436,83,0,1,126,18.98
05077,"Lee County, Arkansas",246,38,93,39,0,0,39,15.45
05079,"Lincoln County, Arkansas",576,104,340,12,0,0,76,18.06
05081,"Little River County, Arkansas",684,139,366,50,0,6,63,20.32
05083,"Logan County, Arkansas",1412,258,751,46,5,2,180,18.27
05085,"Lonoke County, Arkansas",6213,2544,2383,296,0,26,585,40.95
05087,"Madison County, Arkansas",956,152,500,59,0,0,96,15.9
05089,"Marion County, Arkansas",1760,220,1117,47,7,11,220,12.5
05091,"Miller County, Arkansas",2462,439,1086,85,0,11,597,17.83
05093,"Mississippi County, Arkansas",1854,296,795,179,0,9,472,15.97
05095,"Monroe County, Arkansas",462,61,268,41,0,11,74,13.2
05097,"Montgomery County, Arkansas",632,61,392,30,0,5,93,9.65
05099,"Nevada County, Arkansas",563,84,234,16,0,0,186,14.92
05101,"Newton County, Arkansas",699,145,333,66,0,9,127,20.74
05103,"Ouachita County, Arkansas",1667,408,643,124,0,0,352,24.48
05105,"Perry County, Arkansas",881,149,442,29,0,60,176,16.91
05107,"Phillips County, Arkansas",725,59,370,4,0,5,186,8.14
05109,"Pike County, Arkansas",743,138,383,51,0,16,130,18.57
05111,"Poinsett County, Arkansas",894,224,369,21,0,12,128,25.06
05113,"Polk County, Arkansas",1429,67,1003,80,2,35,180,4.69
